NAME,ORIGIN,POPULARITY,sex
Aakesh,Indian,NA,boy
Aaronas,Hebrew,NA,boy
Aaren,Hebrew,5384,boy
Aaronn,Hebrew,11065,boy
Aandaleeb,Indian,NA,boy
Aakav,Indian,NA,boy
Aaran,Hebrew,9256,boy
Aamin,Indian,NA,boy
Aatmadeva,Indian,NA,boy
Abarran,Hebrew,NA,boy
Aart,Celtic,NA,boy
Aaron,Hebrew,73,boy
Aaronandre,British,NA,boy
Ab,Hebrew,10873,boy
Aad,Danish,NA,boy
Abbondio,Latin,NA,boy
Aatmik,Indian,NA,boy
Aaryn,Hebrew,3543,boy
Aaro,Hebrew,9697,boy
Abbot,British,11480,boy
Aarondonald,British,NA,boy
Aalok,Sanskrit,11843,boy
Aadi,Sanskrit,4019,boy
Aarin,Hebrew,4936,boy
Aaric,Norse,5062,boy
Abbas,Hebrew,3432,boy
Abayomi,Egyptian,11451,boy
Aage,German,4677,boy
Aarron,Hebrew,9697,boy
Aakil,Indian,NA,boy
Abbott,British,3921,boy
Abda,Arabic,NA,boy
Abad,British,11696,boy
Abd al Hakim,Arabic,NA,boy
Abdal,Arabic,NA,boy
Abd al Fattah,Arabic,NA,boy
Abd al Hafiz,Arabic,NA,boy
Abd al Ati,Arabic,NA,boy
Abd al Aziz,Arabic,NA,boy
Abd al Halim,Arabic,NA,boy
Abd al Hadi,Arabic,NA,boy
Abdalah,Arabic,11704,boy
Abd al Jabir,Arabic,NA,boy
Abd al Hamid,Arabic,NA,boy
Abdall,Arabic,NA,boy
Abdallah,Arabic,3848,boy
Abd al Latif,Arabic,NA,boy
Abd al Jawwad,Arabic,NA,boy
Abd Allah,Arabic,NA,boy
Abdalla,Arabic,7979,boy
Abd al Karim,Arabic,NA,boy
Abd al Muhsin,Arabic,NA,boy
Abd al Qadir,Arabic,NA,boy
Abd al Muti,Arabic,NA,boy
Abd al Salam,Arabic,NA,boy
Abd al Rauf,Arabic,NA,boy
Abd al Razzaq,Arabic,NA,boy
Abd al Rahman,Arabic,NA,boy
Abd al Malik,Arabic,NA,boy
Abd al Wahhab,Arabic,NA,boy
Abdeel,Hebrew,NA,boy
Abd al Rahim,Arabic,NA,boy
Abd al Majid,Arabic,NA,boy
Abdelaziz,Arabic,11480,boy
Abdell,Arabic,NA,boy
Abdel,Arabic,6753,boy
Abdella,Arabic,NA,boy
Abdellah,Arabic,10258,boy
Abdelhadi,Arabic,12473,boy
Abdirahman,Arabic,2830,boy
Abdiel,Hebrew,1464,boy
Abdelrahman,Arabic,6472,boy
Abdolrahem,Arabic,NA,boy
Abdelrahim,Arabic,NA,boy
Abdi,Hebrew,9697,boy
Abdoulla,Arabic,NA,boy
Abdoull,Arabic,NA,boy
Abdoul,Arabic,6215,boy
Abdon,Hebrew,10258,boy
Abdoullah,Arabic,NA,boy
Abdual,Arabic,9953,boy
Abdul,Arabic,2586,boy
Abdu,Arabic,11094,boy
Abdualla,Arabic,NA,boy
Abdul Aziz,Arabic,NA,boy
Abdulah,Arabic,11998,boy
Abdulazeez,Arabic,9853,boy
Abdul Hamid,Arabic,NA,boy
Abdul Jabbar,Arabic,NA,boy
Abdul Karim,Arabic,NA,boy
Abdul Hakim,Arabic,NA,boy
Abdulkareem,Arabic,8872,boy
Abdull,Arabic,10518,boy
Abdullah,Arabic,1255,boy
Abdul Hafeez,Arabic,NA,boy
Abdullatif,Arabic,10873,boy
Abdul Latif,Arabic,NA,boy
Abdul Qadir,Arabic,NA,boy
Abdul Majid,Arabic,NA,boy
Abdur Rahim,Arabic,NA,boy
Abdul Rahman,Arabic,NA,boy
Abdulhadi,Arabic,9697,boy
Abdul Salam,Arabic,NA,boy
Abdulla,Arabic,7491,boy
Abdurrahman,Arabic,4730,boy
Abdulwahab,Arabic,10778,boy
Abebe,African,NA,boy
Abe,Hebrew,3848,boy
Abdus,Arabic,NA,boy
Abedellah,Arabic,NA,boy
Abednago,Aramaic,NA,boy
Abednego,Aramaic,10778,boy
Abeeri,Hebrew,NA,boy
Abelard,German,NA,boy
Abejundio,Spanish,NA,boy
Abejundo,Spanish,NA,boy
Abednigo,Hebrew,NA,boy
Aberham,Hebrew,11998,boy
Abelson,Hebrew,NA,boy
Abercrombie,Scottish,NA,boy
Abelardo,German,3457,boy
Abell,Hebrew,10178,boy
Abel,Hebrew,246,boy
Abele,Hebrew,NA,boy
Abhshalom,Hebrew,NA,boy
Abey,Hebrew,12473,boy
Abiatha,Hebrew,NA,boy
Abert,German,5959,boy
Abiathar,Hebrew,NA,boy
Abhiraja,Indian,NA,boy
Abidan,Hebrew,10873,boy
Abiather,Hebrew,NA,boy
Abimelech,Hebrew,NA,boy
Abiell,Hebrew,NA,boy
Abimelec,Hebrew,9697,boy
Abiel,Hebrew,3788,boy
Abid,Hebrew,8872,boy
Abidja,Hebrew,NA,boy
Abidjah,Hebrew,NA,boy
Abimael,Hebrew,4670,boy
Abie,Hebrew,10178,boy
Abija,Hebrew,NA,boy
Abiodun,African,9719,boy
Abiola,African,11480,boy
Abiri,Hebrew,NA,boy
Able,Hebrew,4872,boy
Abnar,Hebrew,NA,boy
Abo,Hebrew,NA,boy
Abishai,Hebrew,6913,boy
Abondio,Latin,NA,boy
Aboundio,Latin,NA,boy
Abna,Hebrew,NA,boy
Abner,Hebrew,1970,boy
Abot,British,NA,boy
Abott,British,NA,boy
Abram,Hebrew,742,boy
Abraham,Hebrew,295,boy
Abrahan,Hebrew,6623,boy
Abrahamo,Hebrew,NA,boy
Abrahim,Hebrew,5988,boy
Abrams,Hebrew,NA,boy
Abrian,Hebrew,6623,boy
Abnor,Hebrew,NA,boy
Abramo,Hebrew,NA,boy
Absolem,Hebrew,NA,boy
Abshalom,Hebrew,NA,boy
Abundio,Latin,12223,boy
Abriel,Hebrew,4327,boy
Abu,Arabic,11480,boy
Absalom,Hebrew,10258,boy
Abran,Hebrew,6623,boy
Absolom,Hebrew,NA,boy
Abrami,Hebrew,NA,boy
Absolon,Hebrew,NA,boy
Abundo,Latin,NA,boy
Abubakar,Arabic,4100,boy
Abyell,Hebrew,NA,boy
Absalon,Hebrew,10947,boy
Abyel,Hebrew,NA,boy
Accerly,British,NA,boy
Accacio,Greek,NA,boy
Acacio,Greek,NA,boy
Acel,German,5766,boy
Acelin,French,10178,boy
Acey,British,10778,boy
Acee,British,NA,boy
Ace,Latin,624,boy
Acer,British,11696,boy
Acheron,Greek,8872,boy
Achav,Hebrew,NA,boy
Achidan,Hebrew,NA,boy
Achiav,Hebrew,NA,boy
Achille,Greek,11262,boy
Achimelech,Hebrew,NA,boy
Achilleo,Greek,NA,boy
Achill,Greek,NA,boy
Achillea,Greek,NA,boy
Achilleus,Greek,12167,boy
Achillius,Greek,NA,boy
Achilles,Greek,1830,boy
Achillios,Greek,NA,boy
Achiram,Hebrew,NA,boy
Achmed,Arabic,NA,boy
Ackerleigh,British,NA,boy
Acim,Hebrew,NA,boy
Aciano,Spanish,11998,boy
Achmad,Arabic,NA,boy
Achishar,Hebrew,NA,boy
Ackerlea,British,NA,boy
Achim,Hebrew,NA,boy
Acie,British,8238,boy
Acilino,Latin,NA,boy
Ackley,British,10178,boy
Ackerly,British,NA,boy
Acklea,British,NA,boy
Ackerley,British,NA,boy
Acquila,Latin,NA,boy
Ackleigh,British,NA,boy
Acklie,British,NA,boy
Acton,British,NA,boy
Acquilino,Latin,NA,boy
Acquilla,Latin,NA,boy
