NAME,ORIGIN,POPULARITY,sex
Babsen,British,NA,boy
Bachelor,French,NA,boy
Babar,Indian,NA,boy
Babson,British,NA,boy
Babafemi,African,NA,boy
Baako,African,NA,boy
Babatunde,African,10668,boy
Badger,British,NA,boy
Baasu,Indian,NA,boy
Bain,Irish,6913,boy
Bahir,Arabic,NA,boy
Badr al Din,Arabic,NA,boy
Bail,British,NA,boy
Bailby,Latin,NA,boy
Babsson,British,NA,boy
Bacchus,Greek,NA,boy
Bajardo,French,NA,boy
Badar,Arabic,NA,boy
Bahati,African,11847,boy
Badir,Arabic,NA,boy
Baiardo,French,NA,boy
Babtysta,Latin,NA,boy
Badu,African,NA,boy
Baha,Arabic,11696,boy
Bahaullah,Arabic,NA,boy
Baillee,British,11455,boy
Bachellor,French,NA,boy
Baird,Scottish,11480,boy
Badru,Egyptian,NA,boy
Bahjat,Arabic,NA,boy
Bainbridge,Irish,NA,boy
Bakari,African,5988,boy
Bai,Chinese,11938,boy
Bakr,Arabic,9723,boy
Bala,Sanskrit,NA,boy
Baker,British,2130,boy
Balakrishna,Indian,NA,boy
Bake,British,NA,boy
Balbi,Latin,NA,boy
Balarabe,African,NA,boy
Balabhadra,Indian,NA,boy
Balbino,Latin,NA,boy
Balder,British,NA,boy
Baldassare,Babylonian,5959,boy
Baldomar,German,NA,boy
Balderic,German,NA,boy
Baldie,Scottish,NA,boy
Bald,German,NA,boy
Baldewin,German,NA,boy
Baldomero,German,9425,boy
Balbo,Latin,NA,boy
Baldev,Indian,NA,boy
Baldwin,Italian,10778,boy
Baldwyn,German,NA,boy
Baldrick,German,NA,boy
Baldwynn,German,NA,boy
Balderik,German,NA,boy
Baldovino,German,NA,boy
Balduin,German,NA,boy
Baley,British,9723,boy
Bale,British,11480,boy
Baldemar,German,7979,boy
Baldur,British,NA,boy
Balduino,German,NA,boy
Baldor,British,NA,boy
Baldric,German,NA,boy
Baldwinn,German,NA,boy
Balfor,Gaelic,NA,boy
Balfour,Gaelic,5721,boy
Ballbo,Latin,NA,boy
Balfer,Gaelic,NA,boy
Ballard,Norse,11455,boy
Balldwin,German,NA,boy
Balfore,Gaelic,NA,boy
Ballfour,Gaelic,NA,boy
Balraj,Indian,10778,boy
Baltazar,Babylonian,5221,boy
Baltasar,Babylonian,12272,boy
Balto,Babylonian,NA,boy
Balthazar,Babylonian,8872,boy
Balthasar,Babylonian,NA,boy
Balthazaar,Babylonian,NA,boy
Balthasaar,Babylonian,NA,boy
Bancrofft,British,NA,boy
Bancroft,British,NA,boy
Bank,British,NA,boy
Balu,Sanskrit,NA,boy
Ban,British,NA,boy
Bandele,African,NA,boy
Bannerman,French,NA,boy
Banfield,British,NA,boy
Barack,Swahili,6753,boy
Bannock,Scottish,NA,boy
Bar,Scottish,10873,boy
Banebridge,Irish,NA,boy
Baram,Hebrew,NA,boy
Bannoch,Scottish,NA,boy
Barak,Swahili,9697,boy
Baptist,Spanish,NA,boy
Barber,French,5533,boy
Bane,Slavic,3504,boy
Bard,Irish,10287,boy
Barcley,Scottish,NA,boy
Banning,Irish,11843,boy
Baraka,Swahili,7281,boy
Barclay,Scottish,11480,boy
Bardon,Irish,NA,boy
Barbour,French,NA,boy
Banner,French,4282,boy
Barden,British,NA,boy
Bardo,Irish,11704,boy
Bardolph,British,NA,boy
Barde,Scottish,NA,boy
Bardolf,British,NA,boy
Bardoul,British,NA,boy
Bardrich,German,NA,boy
Bardrick,German,NA,boy
Bardric,German,NA,boy
Bardou,British,NA,boy
Bardulph,British,NA,boy
Barend,German,NA,boy
Bardulf,British,NA,boy
Barek,Arabic,12272,boy
Barklay,Scottish,NA,boy
Baret,British,NA,boy
Barker,British,11599,boy
Baris,Irish,10778,boy
Barklie,Scottish,NA,boy
Barkley,Scottish,10378,boy
Barlow,British,8370,boy
Barksdale,British,5758,boy
Barnabie,Greek,NA,boy
Barlowe,British,NA,boy
Barnaby,Greek,10778,boy
Barnabee,Greek,NA,boy
Barnaba,Greek,NA,boy
Barnabus,Greek,NA,boy
Barnard,German,11283,boy
Barna,Greek,NA,boy
Barnabe,Greek,NA,boy
Barnabey,Greek,NA,boy
Barnabas,Spanish,7979,boy
Barnet,British,7080,boy
Barnebus,Greek,NA,boy
Barnes,British,11480,boy
Barnardo,German,NA,boy
Barney,Modern,10178,boy
Barnhard,German,NA,boy
Barnebas,Greek,NA,boy
Barnett,British,11599,boy
Barni,Greek,NA,boy
Barnham,British,NA,boy
Baron,Hebrew,2513,boy
Barnum,British,NA,boy
Barnie,Greek,8370,boy
Barnhardo,German,NA,boy
Baronet,British,NA,boy
Barny,Greek,7599,boy
Baronett,British,NA,boy
Barr,Scottish,7080,boy
Baronicio,German,NA,boy
Barratt,German,NA,boy
Barrat,German,NA,boy
Barrak,Swahili,NA,boy
Barrclay,Scottish,NA,boy
Barren,German,10178,boy
Barrington,British,7281,boy
Barrick,British,9256,boy
Barret,German,5660,boy
Barree,Irish,NA,boy
Barrette,French,7070,boy
Barrett,German,481,boy
Barrey,Irish,NA,boy
Barrt,NA,NA,boy
Barric,British,NA,boy
Barrlow,British,NA,boy
Bartalan,Aramaic,NA,boy
Bart,Hebrew,11480,boy
Barthold,Aramaic,NA,boy
Barten,British,NA,boy
Barthlomeo,Aramaic,NA,boy
Barthol,Aramaic,NA,boy
Barrton,British,NA,boy
Barron,German,3046,boy
Barth,Aramaic,8326,boy
Bartho,Aramaic,NA,boy
Bartholomaus,Aramaic,NA,boy
Barthelemy,Aramaic,NA,boy
Bartel,Aramaic,5717,boy
Barthram,Scandinavian,NA,boy
Bartholome,Aramaic,7080,boy
Bartin,Aramaic,NA,boy
Bartlet,Hebrew,NA,boy
Bartholomaios,Greek,NA,boy
Bartholomeus,Aramaic,NA,boy
Bartholoma,Aramaic,NA,boy
Bartholomew,Aramaic,7069,boy
Bartlitt,Hebrew,NA,boy
Bartlett,Aramaic,12207,boy
Bartolomej,Aramaic,NA,boy
Bartle,Aramaic,NA,boy
Bartley,Scottish,12167,boy
Bartlomiej,Aramaic,10115,boy
Bartolomeo,Aramaic,8913,boy
Bartolomeu,Aramaic,NA,boy
Bartome,Aramaic,NA,boy
Bartolommeo,Aramaic,NA,boy
Bartolome,Aramaic,11567,boy
Barton,British,7069,boy
Bartow,Aramaic,6011,boy
Baruj,Hebrew,NA,boy
Baruch,Hebrew,4562,boy
Bartram,Scandinavian,NA,boy
Bas,Dutch,9662,boy
