NAME,ORIGIN,POPULARITY,sex
Ealdraed,British,NA,boy
Eamon,Irish,2083,boy
Eadwinn,British,NA,boy
Eadward,British,NA,boy
Eadweard,British,NA,boy
Eanna,Irish,10959,boy
Eagle,American,10969,boy
Earnan,NA,NA,boy
Earlton,British,NA,boy
Eaman,Irish,NA,boy
Eban,Hebrew,9697,boy
Earvin,Gaelic,8537,boy
Eagan,Irish,7729,boy
Earl,British,2811,boy
Eadmund,British,NA,boy
Eamonn,Irish,5221,boy
Early,British,10778,boy
Eaton,British,10178,boy
Eagen,Irish,NA,boy
Eastman,British,5306,boy
Earland,British,6402,boy
Easton,British,103,boy
Eatton,British,NA,boy
Earle,British,10959,boy
Earnest,German,6108,boy
Eadgar,British,NA,boy
Earlston,British,NA,boy
Eb,Hebrew,5690,boy
Eames,Irish,8537,boy
Earlham,British,NA,boy
Ean,Scottish,1991,boy
Eann,Scottish,9723,boy
Ebbaneza,Hebrew,NA,boy
Ebenezar,Hebrew,NA,boy
Eben,Hebrew,3949,boy
Ebeneezer,Hebrew,NA,boy
Ebbie,Hebrew,11696,boy
Eberado,German,NA,boy
Eberhard,German,5377,boy
Ebby,Hebrew,10959,boy
Ebenezer,Hebrew,4369,boy
Eberlein,German,NA,boy
Ebeneser,Hebrew,NA,boy
Ebrahim,Hebrew,5062,boy
Eberardo,Spanish,11480,boy
Eberhardt,German,NA,boy
Ebner,Hebrew,NA,boy
Ebisu,Japanese,NA,boy
Eckard,German,NA,boy
Eberdt,German,NA,boy
Eberle,German,NA,boy
Eber,German,6913,boy
Eckhard,German,NA,boy
Ector,Greek,10969,boy
Ebenzer,Hebrew,NA,boy
Ebert,German,12335,boy
Eckardt,German,NA,boy
Edan,Scottish,4327,boy
Eberley,German,NA,boy
Eckhardt,German,NA,boy
Edbert,British,12179,boy
Eddrick,British,10778,boy
Edd,British,12473,boy
Ed,British,9697,boy
Eddison,British,5141,boy
Edelfieri,German,NA,boy
Edel,German,10178,boy
Edelin,German,9256,boy
Eder,Hebrew,2707,boy
Edelgiso,German,NA,boy
Edgerton,British,NA,boy
Edgard,British,7979,boy
Edem,NA,NA,boy
Ederick,British,11944,boy
Edoardo,NA,NA,boy
Ederic,British,NA,boy
Edmondo,British,7667,boy
Edison,British,1112,boy
Edik,British,NA,boy
Edmar,British,9697,boy
Edgar,British,651,boy
Edgardo,British,4670,boy
Edmond,British,3568,boy
Edmon,British,11847,boy
Edom,Hebrew,10778,boy
Edmundo,British,7491,boy
Edmund,British,2023,boy
Edric,British,4624,boy
Edrich,British,NA,boy
Ednan,Hebrew,NA,boy
Edouard,British,11480,boy
Edrian,Latin,6913,boy
Edson,British,3982,boy
Edrik,British,10959,boy
Edsel,German,9256,boy
Edvard,British,11896,boy
Edrick,British,5000,boy
Eduard,British,4805,boy
Edvardas,British,NA,boy
Eduardo,British,508,boy
Eduino,British,NA,boy
Edward,British,303,boy
Edyn,Hebrew,3266,boy
Edwardo,British,7491,boy
Eelia,Hebrew,NA,boy
Edwin,British,597,boy
Edwards,British,10969,boy
Edwyn,British,6913,boy
Efigenio,Greek,NA,boy
Efigenios,Greek,NA,boy
Eesaia,NA,NA,boy
Efigenius,Greek,NA,boy
Efi,Spanish,NA,boy
Efrain,Spanish,2170,boy
Efrayim,Spanish,10504,boy
Efim,NA,NA,boy
Efran,Spanish,11896,boy
Efren,Spanish,3065,boy
Efrem,Spanish,9723,boy
Efisio,Latin,NA,boy
Efrim,Spanish,NA,boy
Efron,Hebrew,NA,boy
Efraim,Spanish,4805,boy
Egan,Irish,6339,boy
Eero,NA,NA,boy
Egbert,British,11480,boy
Efryn,Hebrew,NA,boy
Egerton,British,NA,boy
Efroni,Hebrew,NA,boy
Egann,Irish,NA,boy
Egidio,Greek,9074,boy
Egide,Greek,NA,boy
Egil,Scandinavian,NA,boy
Egidius,Greek,NA,boy
Egidiusz,Polish,NA,boy
Egnatius,Latin,NA,boy
Eginhard,German,NA,boy
Egon,German,10367,boy
Eginhardt,German,NA,boy
Egor,Norse,8537,boy
Eginard,German,NA,boy
Egmond,German,NA,boy
Egmont,German,NA,boy
Eian,Hebrew,4143,boy
Eidan,Gaelic,4562,boy
Ehud,Hebrew,8444,boy
Eiden,Gaelic,3346,boy
Eigidio,Italian,NA,boy
Ehsan,Arabic,6913,boy
Eilam,Hebrew,8872,boy
Eilan,Hebrew,9256,boy
Eigil,Scandinavian,NA,boy
Eikichi,Japanese,NA,boy
Eilad,Hebrew,NA,boy
Eilif,Norse,NA,boy
Eilgin,Gaelic,NA,boy
Eilert,Scandinavian,5539,boy
Einer,Scandinavian,4650,boy
Eilon,Hebrew,11710,boy
Eilginn,Gaelic,NA,boy
Einar,Scandinavian,11480,boy
Einion,Welsh,NA,boy
Eion,Scottish,8580,boy
Eitan,Hebrew,2942,boy
Einhardt,German,NA,boy
Eirik,NA,NA,boy
Eino,Scandinavian,5998,boy
Einhard,German,NA,boy
Ekkehard,German,NA,boy
Eizer,Hebrew,NA,boy
Ekon,Nigerian,NA,boy
Ekewaka,NA,NA,boy
Elad,Hebrew,9256,boy
Ejnar,Scandinavian,NA,boy
Ekkehardt,German,NA,boy
Elado,Spanish,NA,boy
Eladio,Spanish,8537,boy
Elazar,Hebrew,6472,boy
Elam,Hebrew,2840,boy
Elbert,British,6472,boy
Elami,Hebrew,NA,boy
Elbrecht,German,NA,boy
Elber,British,10178,boy
Elbridge,British,8444,boy
Elchanan,Hebrew,11599,boy
Eldin,German,6215,boy
Elchana,Hebrew,NA,boy
Eldon,British,3746,boy
Eldous,German,NA,boy
Eldis,German,NA,boy
Eldorado,Spanish,NA,boy
Eldor,British,4201,boy
Elden,British,4510,boy
Eldrid,British,5533,boy
Elder,British,4730,boy
Eldred,British,11094,boy
Eldrege,German,NA,boy
Eldrich,German,12223,boy
Eldwin,British,11094,boy
Eldwynn,British,NA,boy
Eldrick,German,11480,boy
Eleazer,Hebrew,10367,boy
Eldridge,German,10778,boy
Eldrige,German,7643,boy
Eldritch,British,NA,boy
Eldwyn,British,NA,boy
Eleisha,Welsh,12167,boy
Eldredge,German,7154,boy
Elemer,British,7154,boy
Eleazar,Hebrew,2547,boy
Eleutherius,NA,NA,boy
Elex,Greek,9697,boy
Eleutherios,NA,NA,boy
Elek,Greek,8872,boy
Eleodoro,Spanish,11896,boy
Elford,British,7442,boy
Elger,British,5247,boy
Elfred,British,5839,boy
Elgar,British,10539,boy
Elgin,Gaelic,6472,boy
Elhanan,Hebrew,NA,boy
Elgine,Gaelic,NA,boy
Eliachim,Hebrew,NA,boy
Elhannan,Hebrew,NA,boy
Eliam,Hebrew,2468,boy
Elias,Hebrew,152,boy
Elian,Spanish,1171,boy
Eliakim,Hebrew,7729,boy
Elifalet,Hebrew,NA,boy
Eliezer,Hebrew,1946,boy
Eligius,Latin,NA,boy
Elie,Hebrew,4063,boy
Elimelech,Hebrew,5296,boy
Elihu,Hebrew,6339,boy
Elija,Hebrew,5875,boy
Eliron,Hebrew,NA,boy
Eliott,Hebrew,3568,boy
Elijah,Hebrew,15,boy
Eliphalet,Hebrew,NA,boy
Eliphelet,Hebrew,NA,boy
Elishua,Hebrew,11480,boy
Elison,British,8872,boy
Elisher,Hebrew,NA,boy
Eliot,Hebrew,2036,boy
Eliseo,Hebrew,1672,boy
Eliyahu,Hebrew,2563,boy
Eligio,Latin,7729,boy
Eliso,Hebrew,NA,boy
Elifelet,Hebrew,NA,boy
Eliu,Hebrew,10178,boy
Eljah,Hebrew,NA,boy
Eliran,Hebrew,11696,boy
Eljasz,NA,NA,boy
Eljin,Gaelic,12335,boy
Elisson,British,NA,boy
Ellgar,British,NA,boy
Elldred,British,NA,boy
Ellard,German,6864,boy
Ellary,British,8537,boy
Ellbridge,British,NA,boy
Ellerey,British,NA,boy
