NAME,ORIGIN,POPULARITY,sex
Fa,NA,NA,boy
Fabianno,Latin,NA,boy
Fabion,Latin,10378,boy
Fabek,Latin,NA,boy
Fabian,Latin,732,boy
Faber,Latin,5446,boy
Fabiano,Latin,10959,boy
Fabricius,Latin,NA,boy
Fadil,NA,NA,boy
Faebian,Latin,NA,boy
Fadelio,Latin,NA,boy
Fabrizius,Latin,NA,boy
Fabroni,French,NA,boy
Fabriano,Latin,NA,boy
Fabyan,Latin,11710,boy
Fabe,Latin,NA,boy
Fabert,Latin,NA,boy
Factor,British,NA,boy
Fadi,Arabic,8872,boy
Fabron,French,NA,boy
Fagin,Irish,NA,boy
Fabio,Irish,3921,boy
Fabiyus,Latin,NA,boy
Fabyen,Latin,NA,boy
Fabrizio,Latin,5000,boy
Fabius,Latin,8428,boy
Faebien,Latin,NA,boy
Fabre,French,NA,boy
Fagan,Irish,NA,boy
Fabien,Latin,9697,boy
Fabritius,Latin,NA,boy
Fabianus,Latin,NA,boy
Fain,British,11480,boy
Fahim,NA,NA,boy
Fahd,Arabic,6753,boy
Fahad,Arabic,4100,boy
Fairchild,British,NA,boy
Faine,British,NA,boy
Fairbairn,Scottish,NA,boy
Fairlee,British,NA,boy
Fairbanks,British,5375,boy
Fakhir,NA,NA,boy
Fairlay,British,NA,boy
Fakhr al Din,NA,NA,boy
Faisal,Arabic,3848,boy
Fakhri,NA,NA,boy
Fairfax,British,NA,boy
Fakhruddin,NA,NA,boy
Fairleigh,British,NA,boy
Falak,NA,NA,boy
Falan,NA,NA,boy
Fairlie,British,NA,boy
Falco,Latin,10367,boy
Fakhry,NA,NA,boy
Falito,Hebrew,NA,boy
Falcon,Latin,5660,boy
Falconner,Latin,NA,boy
Falkner,Latin,NA,boy
Falken,Latin,NA,boy
Fallow,British,NA,boy
Fallows,British,NA,boy
Fane,British,NA,boy
Falk,Latin,NA,boy
Falconer,Latin,NA,boy
Farag,Arabic,NA,boy
Faraj,Arabic,10778,boy
Falke,Latin,NA,boy
Faolan,Irish,9697,boy
Faramond,British,NA,boy
Fargo,American,NA,boy
Farid,Indian,5062,boy
Farlay,British,NA,boy
Faraji,Swahili,11843,boy
Fariji,NA,NA,boy
Faramund,British,NA,boy
Fariq,NA,NA,boy
Farand,French,NA,boy
Fareed,NA,NA,boy
Farlee,British,NA,boy
Faris,British,3101,boy
Farley,British,11847,boy
Farlie,British,NA,boy
Farly,British,NA,boy
Farleigh,British,NA,boy
Farlow,British,NA,boy
Farnall,British,NA,boy
Farnlea,British,NA,boy
Farmer,British,6627,boy
Farnum,British,5513,boy
Farnlee,British,NA,boy
Farnleigh,British,NA,boy
Farquar,Scottish,NA,boy
Farnham,British,NA,boy
Farnly,British,NA,boy
Farnley,British,NA,boy
Farnam,British,NA,boy
Farnell,British,NA,boy
Farouk,Arabic,8238,boy
Farold,British,NA,boy
Faro,British,NA,boy
Faron,British,9256,boy
Farquarson,Scottish,NA,boy
Farquhar,Scottish,NA,boy
Farquharson,Scottish,NA,boy
Farr,British,NA,boy
Farrand,French,NA,boy
Farrel,Irish,12211,boy
Farrant,French,NA,boy
Farrer,British,NA,boy
Farrimond,British,NA,boy
Farrar,British,9940,boy
Farrimund,British,NA,boy
Farrier,British,NA,boy
Farrill,Irish,NA,boy
Farrell,Irish,8872,boy
Farrish,Irish,NA,boy
Fathi,NA,NA,boy
Farryll,Irish,NA,boy
Farrleigh,British,NA,boy
Faruqh,Arabic,NA,boy
Faulconner,Latin,NA,boy
Farris,British,6623,boy
Farrley,British,NA,boy
Faulconer,Latin,NA,boy
Faruq,Arabic,10778,boy
Fats,NA,NA,boy
Fausto,Latin,4872,boy
Favian,Latin,4282,boy
Faust,Latin,5632,boy
Faulkner,Latin,NA,boy
Fawnus,Latin,NA,boy
Faustus,Latin,NA,boy
Faustino,Latin,6623,boy
Favio,Irish,10178,boy
Faunus,Latin,NA,boy
Faxon,British,NA,boy
Fawke,British,NA,boy
Fawzi,NA,NA,boy
Faybian,Latin,11843,boy
Fayaz,NA,NA,boy
Faydor,German,NA,boy
Faybien,Latin,NA,boy
Fayard,NA,NA,boy
Faybion,Latin,NA,boy
Faybionn,Latin,NA,boy
Fearghal,NA,NA,boy
Fearghus,Scottish,NA,boy
Fayiz,NA,NA,boy
Fearghall,Irish,NA,boy
Fearghas,Scottish,NA,boy
Feargus,Scottish,NA,boy
Faysal,Arabic,11599,boy
Fedelio,Latin,NA,boy
Fedele,Latin,4963,boy
Feisal,Arabic,NA,boy
Feidhlim,Irish,NA,boy
Federigo,German,NA,boy
Feggan,Irish,NA,boy
Fegan,Irish,NA,boy
Felan,Irish,NA,boy
Fedor,German,8537,boy
Feiwel,Yiddish,NA,boy
Feilding,British,NA,boy
Felicio,Latin,NA,boy
Federico,Spanish,3654,boy
Felder,NA,NA,boy
Felic,Latin,NA,boy
Felicjan,NA,NA,boy
Feliciano,Latin,7491,boy
Felike,Latin,NA,boy
Feivel,Yiddish,NA,boy
Felix,Latin,460,boy
Felipe,Spanish,1532,boy
Felippe,Spanish,NA,boy
Feliks,Latin,10178,boy
Felim,Irish,NA,boy
Felipo,Greek,NA,boy
Felten,British,NA,boy
Feltin,British,NA,boy
Felizio,Latin,NA,boy
