NAME,ORIGIN,POPULARITY,sex
Gab,Hebrew,NA,boy
Gabe,Hebrew,4181,boy
Gabrian,Hebrew,10778,boy
Gabbo,British,NA,boy
Gable,French,8537,boy
Gaeton,Italian,6675,boy
Gaddiel,Arabic,7281,boy
Gaddo,NA,NA,boy
Gaelle,Irish,6913,boy
Gabriello,Hebrew,NA,boy
Gaille,Irish,NA,boy
Gabrielli,Hebrew,NA,boy
Gaillen,Greek,NA,boy
Gaell,Irish,10873,boy
Gadi,Hebrew,11599,boy
Gaer,Irish,NA,boy
Gage,French,518,boy
Gahan,Scottish,11480,boy
Gaige,French,2578,boy
Gabie,Hebrew,12272,boy
Gaetan,Italian,11847,boy
Gabby,Hebrew,5000,boy
Gaddis,NA,NA,boy
Gaillardet,British,NA,boy
Gaillard,British,3972,boy
Gaelan,Greek,11696,boy
Gafni,Hebrew,NA,boy
Gad,Hebrew,9256,boy
Gadish,Arabic,NA,boy
Gaetano,Italian,5988,boy
Gaine,Irish,NA,boy
Gadiel,Arabic,3125,boy
Gaillhard,British,NA,boy
Gabor,NA,NA,boy
Gainer,Irish,NA,boy
Gaius,Latin,6339,boy
Gair,Irish,NA,boy
Gainor,Irish,NA,boy
Gaines,NA,NA,boy
Galal,NA,NA,boy
Gains,NA,NA,boy
Galbreath,Irish,NA,boy
Galan,Greek,11896,boy
Galbraith,Irish,NA,boy
Galeazzo,NA,NA,boy
Galeno,Greek,NA,boy
Galil,Hebrew,NA,boy
Galbrait,Irish,NA,boy
Gallbreath,Irish,NA,boy
Galileo,Italian,6623,boy
Gallatin,American,NA,boy
Gallo,Spanish,NA,boy
Gall,Irish,NA,boy
Gallagher,Irish,10614,boy
Gallard,French,NA,boy
Galin,Greek,11188,boy
Gallway,Gaelic,NA,boy
Gallton,British,NA,boy
Galliard,French,NA,boy
Gallven,Irish,NA,boy
Galloway,Gaelic,11599,boy
Galo,Spanish,10258,boy
Gallvin,Irish,NA,boy
Gallbraith,Irish,NA,boy
Gallchobhar,NA,NA,boy
Galvin,Irish,6472,boy
Galven,Irish,NA,boy
Galt,British,NA,boy
Galten,British,NA,boy
Galton,British,NA,boy
Galvan,Irish,NA,boy
Gamali,Arabic,NA,boy
Galtero,German,NA,boy
Galvon,Irish,NA,boy
Galway,Irish,NA,boy
Gamble,Norse,8537,boy
Gamblen,Norse,NA,boy
Gamal,Arabic,10778,boy
Gamaliel,Hebrew,4562,boy
Gambling,Norse,NA,boy
Gan,NA,NA,boy
Gammel,Norse,NA,boy
Gar,NA,NA,boy
Gamel,Norse,10518,boy
Gamlin,Norse,NA,boy
Gamliel,Hebrew,NA,boy
Gamul,Arabic,NA,boy
Ganesh,Sanskrit,9723,boy
Gambo,NA,NA,boy
Garan,Irish,12167,boy
Gannon,Irish,1412,boy
Gannet,German,NA,boy
Gannett,German,NA,boy
Gardell,British,12090,boy
Gardenner,British,NA,boy
Garald,Scandinavian,9841,boy
Gard,British,7338,boy
Gardnard,British,NA,boy
Gardnar,British,NA,boy
Gared,British,11710,boy
Garek,British,10115,boy
Garett,NA,NA,boy
Garin,Irish,9256,boy
Gari,British,12503,boy
Garen,Irish,5875,boy
Garey,British,10969,boy
Garion,Irish,7729,boy
Gareth,Welsh,2888,boy
Garfield,British,9723,boy
Garith,Welsh,NA,boy
Garlind,French,NA,boy
Garjana,NA,NA,boy
Garlan,French,8370,boy
Garlend,French,NA,boy
Garmann,German,NA,boy
Garlin,French,8073,boy
Garlen,French,7154,boy
Garmin,British,NA,boy
Garmen,British,NA,boy
Garnier,British,NA,boy
Garran,Irish,11696,boy
Garold,Scandinavian,12207,boy
Garon,Irish,9697,boy
Garman,British,5452,boy
Garlyn,French,6210,boy
Garmon,British,5738,boy
Garllan,French,NA,boy
Garnock,Welsh,NA,boy
Garner,British,5758,boy
Garreth,Welsh,10178,boy
Garrat,British,NA,boy
Garreck,British,NA,boy
Garrard,British,5839,boy
Garnar,British,NA,boy
Garred,British,12106,boy
Garrett,German,574,boy
Garratt,British,11957,boy
Garrad,British,11896,boy
Garrick,British,4936,boy
Garretson,NA,NA,boy
Garret,Welsh,4562,boy
Garraway,British,NA,boy
Garren,Irish,5875,boy
Garrin,Irish,10178,boy
Garrie,British,10491,boy
Garric,NA,NA,boy
Garrey,British,6402,boy
