NAME,ORIGIN,POPULARITY,sex
Iakob,Hebrew,NA,boy
Iain,Scottish,4510,boy
Iago,Welsh,11599,boy
Iakobos,Hebrew,NA,boy
Icarus,Greek,6913,boy
Iacovo,Hebrew,NA,boy
Ibn,NA,NA,boy
Ian,Scottish,124,boy
Iacopo,Hebrew,NA,boy
Iann,NA,NA,boy
Idwal,NA,NA,boy
Idowu,NA,NA,boy
Idi,NA,NA,boy
Ido,Hebrew,10873,boy
Ieki,NA,NA,boy
Iakov,Hebrew,NA,boy
Iefan,Welsh,NA,boy
Iakona,NA,NA,boy
Ichabod,Hebrew,NA,boy
Ieke,NA,NA,boy
Idan,Hebrew,6339,boy
Iddo,Hebrew,11998,boy
Iason,NA,NA,boy
Iaian,NA,NA,boy
Ibrahim,Arabic,774,boy
Iezekiel,NA,NA,boy
Idogbe,NA,NA,boy
Ichiro,NA,NA,boy
Iarlaith,NA,NA,boy
Ifigenios,Greek,NA,boy
Ifigenio,Greek,NA,boy
Ibraheem,Arabic,3598,boy
Ifan,Welsh,NA,boy
Ieuan,Welsh,12335,boy
Ifor,Scandinavian,NA,boy
Igal,NA,NA,boy
Ieremiya,NA,NA,boy
Ignac,NA,NA,boy
Ignacio,NA,NA,boy
Ignace,NA,NA,boy
Iggie,NA,NA,boy
Ignacius,NA,NA,boy
Iggy,NA,NA,boy
Ignati,NA,NA,boy
Ignatious,NA,NA,boy
Ignacy,NA,NA,boy
Ihan,NA,NA,boy
Ignatios,NA,NA,boy
Igor,Russian,7281,boy
Iishim,NA,NA,boy
Ignazio,NA,NA,boy
Ikaros,Greek,NA,boy
Ikaikalani,NA,NA,boy
Ignatius,Latin,3827,boy
Ikabod,Hebrew,NA,boy
Ihsan,Arabic,5062,boy
Ikem,NA,NA,boy
Ihor,NA,NA,boy
Ike,Hebrew,4063,boy
Ikarus,Greek,NA,boy
Ikaika,NA,NA,boy
Ignaz,NA,NA,boy
Ilario,Latin,9266,boy
Ilan,Hebrew,2722,boy
Ikey,Hebrew,11847,boy
Ilia,Russian,6472,boy
Ihab,Arabic,12106,boy
Ignatz,NA,NA,boy
Ikavod,Hebrew,NA,boy
Ilie,Greek,NA,boy
Illario,Latin,NA,boy
Ilias,Greek,5141,boy
Ikie,Hebrew,7442,boy
Ilio,NA,NA,boy
Illtud,NA,NA,boy
Ilija,NA,NA,boy
Ilja,NA,NA,boy
Ilon,Hebrew,NA,boy
Illya,Russian,11696,boy
Ilwyd,NA,NA,boy
Illtyd,NA,NA,boy
Illarion,NA,NA,boy
Imad,Arabic,8238,boy
Imam,NA,NA,boy
Ilya,Russian,4624,boy
Immanuele,Hebrew,NA,boy
Imamu,NA,NA,boy
Immanuel,Hebrew,1913,boy
Immannuel,NA,NA,boy
Imanuel,Hebrew,9256,boy
Imray,Hungarian,NA,boy
Imanoel,NA,NA,boy
Imre,Hungarian,11599,boy
Imrie,Hungarian,NA,boy
Indalecio,NA,NA,boy
Ince,Hungarian,NA,boy
