NAME,ORIGIN,POPULARITY,sex
Jacan,Hebrew,12503,boy
Jabesh,Hebrew,NA,boy
Jabbar,Arabic,10778,boy
Jabari,Swahili,1791,boy
Jabir,Arabic,9256,boy
Jabin,Hebrew,8872,boy
Jack,British,56,boy
Jacindo,Spanish,NA,boy
Jacek,NA,NA,boy
Jacian,British,9697,boy
Jace,Hebrew,117,boy
Jacenty,NA,NA,boy
Jaan,NA,NA,boy
Jabr,NA,NA,boy
Jacinto,Spanish,5875,boy
Jackman,British,10178,boy
Jachin,Hebrew,8872,boy
Jaason,NA,NA,boy
Jacko,Hebrew,NA,boy
Jaco,Hebrew,11599,boy
Jabar,Arabic,9025,boy
Jacin,NA,NA,boy
Jach,NA,NA,boy
Jackson,British,26,boy
Jacksen,British,6753,boy
Jacen,Hebrew,2640,boy
Jacksyn,NA,NA,boy
Jaap,Hebrew,NA,boy
Jabez,Hebrew,6108,boy
Jachim,Hebrew,NA,boy
Jabes,Hebrew,8872,boy
Jacob,Hebrew,12,boy
Jacoby,Hebrew,1443,boy
Jacobus,Hebrew,11847,boy
Jacques,French,3504,boy
Jacomus,NA,NA,boy
Jacq,British,NA,boy
Jacobo,Hebrew,3368,boy
Jacobi,Hebrew,2438,boy
Jacson,British,10778,boy
Jaeger,German,5221,boy
Jacqin,British,NA,boy
Jadan,NA,NA,boy
Jacopo,Italian,11998,boy
Jacquet,Hebrew,NA,boy
Jago,British,8872,boy
Jaffar,Arabic,11599,boy
Jacques Ives,NA,NA,boy
Jaeden,Hebrew,2811,boy
Jaelon,NA,NA,boy
Jader,Hebrew,8872,boy
Jaedon,Hebrew,5660,boy
Jafar,Arabic,6753,boy
Jadon,Hebrew,2052,boy
Jaelan,NA,NA,boy
Jagadis,NA,NA,boy
Jagu,NA,NA,boy
Jahan,Sanskrit,6339,boy
Jagur,German,11094,boy
Jagger,British,1176,boy
Jagannath,NA,NA,boy
Jahdai,NA,NA,boy
Jagjit,NA,NA,boy
Jahi,NA,NA,boy
Jahmal,Arabic,7069,boy
Jahiro,NA,NA,boy
Jai,Latin,2083,boy
Jaillin,NA,NA,boy
Jailin,NA,NA,boy
Jaice,British,3746,boy
Jaimini,Sanskrit,NA,boy
Jaillen,NA,NA,boy
Jailon,NA,NA,boy
Jaidev,NA,NA,boy
Jaidin,Hebrew,11480,boy
Jairome,Greek,NA,boy
Jairaj,NA,NA,boy
Jaisen,Hebrew,8238,boy
Jair,Spanish,1845,boy
Jainendra,NA,NA,boy
Jairo,Spanish,1791,boy
Jaimison,British,9025,boy
Jakeb,Hebrew,7729,boy
Jakeem,Hebrew,5660,boy
Jake,British,447,boy
Jaison,Hebrew,6108,boy
Jak,British,7069,boy
Jairus,Hebrew,4282,boy
Jakson,British,5141,boy
Jakie,Hebrew,12106,boy
Jakub,Hebrew,3368,boy
Jakim,Hebrew,10178,boy
Jakeh,NA,NA,boy
Jaja,NA,NA,boy
Jaladhi,Indian,NA,boy
Jakov,Hebrew,11710,boy
Jalan,NA,NA,boy
Jakob,Hebrew,1137,boy
Jalenn,American,12179,boy
Jallal,Arabic,NA,boy
Jalal,Arabic,6753,boy
Jaladi,Indian,NA,boy
Jaleel,NA,NA,boy
Jaliyl,Arabic,11248,boy
Jamael,Arabic,11480,boy
Jalil,Arabic,3598,boy
Jamaal,Arabic,3543,boy
Jalon,Greek,6472,boy
Jamal,Arabic,1385,boy
Jamarcus,NA,NA,boy
