NAME,ORIGIN,POPULARITY,sex
Lachman,German,NA,boy
Labron,French,11599,boy
Lad,British,7750,boy
Lafayette,French,7729,boy
Ladislao,NA,NA,boy
Laddey,British,NA,boy
Labrun,French,NA,boy
Ladell,British,10778,boy
Ladislav,NA,NA,boy
Laikin,NA,NA,boy
Ladislaus,Slavic,5367,boy
Ladle,British,NA,boy
Laakea,NA,NA,boy
Laddy,British,6864,boy
Ladislas,Slavic,NA,boy
Lado,NA,NA,boy
Lakon,NA,NA,boy
Laird,Scottish,8238,boy
Lachmann,German,NA,boy
Lahahana,NA,NA,boy
Lajos,NA,NA,boy
Lacrosse,French,NA,boy
Lachlan,Irish,1348,boy
Laffit,NA,NA,boy
Lahar,NA,NA,boy
Ladale,American,11696,boy
Lacko,Slavic,NA,boy
Ladd,British,7281,boy
Lajon,American,12503,boy
Laike,NA,NA,boy
Laddie,British,11567,boy
Laban,Hebrew,9723,boy
Lakshmidas,NA,NA,boy
Lamair,NA,NA,boy
Lalo,Latin,10873,boy
Lakshman,Indian,11843,boy
Lale,Latin,11696,boy
Lallo,Latin,NA,boy
Lamarcus,American,5296,boy
Lamby,NA,NA,boy
Lancashire,British,NA,boy
Lambart,Scandinavian,NA,boy
Lamont,Norse,2722,boy
Lamario,American,8905,boy
Lammond,Norse,NA,boy
Lambert,Scandinavian,8238,boy
Lamark,NA,NA,boy
Lamarque,NA,NA,boy
Lamberto,Scandinavian,11599,boy
Lamond,Norse,10178,boy
Lamarre,German,NA,boy
Lanchester,British,NA,boy
Lamonte,Norse,5221,boy
Lamarr,German,6472,boy
Lamar,German,1582,boy
Lancester,British,NA,boy
Lancaster,British,5632,boy
Landen,British,766,boy
Lance,French,1205,boy
Lancelot,French,9256,boy
Land,Spanish,NA,boy
Landan,British,3682,boy
Landbert,Scandinavian,NA,boy
Landers,British,11599,boy
Landis,British,5141,boy
Lambirt,Scandinavian,NA,boy
Landiss,British,NA,boy
Landon,British,76,boy
Landor,British,NA,boy
Lander,British,7069,boy
Landin,British,3827,boy
Lando,British,6623,boy
Langhorn,British,NA,boy
Langdon,British,7491,boy
Langden,British,NA,boy
Lanier,French,7729,boy
Landolfo,NA,NA,boy
Landyn,British,920,boy
Landry,British,950,boy
Lanford,NA,NA,boy
Lange,Norse,7643,boy
Langsdon,British,NA,boy
Langhorne,British,NA,boy
Langford,British,7087,boy
Langsden,British,NA,boy
Lankester,British,NA,boy
Langly,British,NA,boy
Langton,British,NA,boy
Langworth,British,NA,boy
Lantz,French,8872,boy
Lansing,American,11696,boy
Langward,British,NA,boy
Langston,British,1231,boy
Lanza,German,NA,boy
Lap,NA,NA,boy
Lanzo,German,NA,boy
Laranz,Latin,NA,boy
Larenzo,Spanish,6472,boy
Laramy,NA,NA,boy
Larrens,Latin,NA,boy
Laredo,NA,NA,boy
Lapo,Italian,NA,boy
Larell,American,10178,boy
Larie,Latin,10854,boy
Larrance,Latin,NA,boy
Larance,Latin,11944,boy
Laroyce,American,11142,boy
Largo,Spanish,NA,boy
Larenz,Latin,8238,boy
Larran,NA,NA,boy
Laron,American,4100,boy
Larnell,British,10504,boy
Larrence,Latin,NA,boy
Larrey,Latin,5897,boy
Larron,Modern,10440,boy
Larry,British,1187,boy
Larimore,French,NA,boy
Lary,Latin,12167,boy
Laroy,American,10178,boy
Larkin,Irish,2396,boy
Lasairiona,NA,NA,boy
Lars,Scandinavian,2811,boy
Larrimore,French,NA,boy
Larmor,French,NA,boy
Lasalle,French,11262,boy
Lasean,American,11480,boy
Laslo,Slavic,NA,boy
Lassarina,NA,NA,boy
Lasse,NA,NA,boy
Lassy,NA,NA,boy
Lathrop,British,NA,boy
Latham,Scandinavian,7281,boy
