NAME,ORIGIN,POPULARITY,sex
Obadya,Hebrew,NA,boy
Oakly,British,10969,boy
Obadias,Hebrew,NA,boy
Oak,British,4730,boy
Oakes,British,7281,boy
Oaklee,British,1700,boy
Obie,Hebrew,7979,boy
Oaks,British,10778,boy
Octavius,Latin,4181,boy
Octave,Latin,8444,boy
Obed,Hebrew,3013,boy
Obike,NA,NA,boy
Oakley,British,651,boy
Obasi,NA,NA,boy
O-,Irish,NA,boy
Ocia,NA,NA,boy
Obama,African,7791,boy
Ochs,British,NA,boy
Oberon,German,7729,boy
Obafemi,NA,NA,boy
Oberron,German,NA,boy
O'Brien,Irish,9723,boy
Obert,German,8141,boy
Octavian,Latin,3982,boy
Obi,Nigerian,10178,boy
Octavious,Latin,5988,boy
Octavo,Latin,NA,boy
Obediah,Hebrew,11599,boy
Oates,German,NA,boy
Obadiah,Hebrew,2853,boy
Oakleigh,British,2426,boy
Octavio,Latin,2378,boy
Odd,NA,NA,boy
Octavus,Latin,11683,boy
Odall,British,NA,boy
Odie,British,10178,boy
Odilo,German,NA,boy
Odion,NA,NA,boy
Odilon,German,10337,boy
Odilio,German,NA,boy
Octovien,Latin,NA,boy
Odhran,Irish,NA,boy
Odis,German,10778,boy
Odolf,German,NA,boy
Odon,British,12503,boy
Odolff,German,NA,boy
Odin,Norse,755,boy
Odo,Scandinavian,NA,boy
Odovacar,NA,NA,boy
Odran,Irish,NA,boy
Odulf,German,NA,boy
Oeberon,German,NA,boy
Ogaleesha,NA,NA,boy
Odysse,Greek,NA,boy
Odysseus,Greek,5875,boy
Ofir,Hebrew,11696,boy
Ogbonna,NA,NA,boy
Ofer,NA,NA,boy
Ofeer,Hebrew,NA,boy
Ogdon,British,NA,boy
Ogden,British,10178,boy
Ogdan,British,NA,boy
Ogunsanwo,NA,NA,boy
Ogunsheye,NA,NA,boy
Ogun,NA,NA,boy
Ogunkeye,NA,NA,boy
Ohed,Hebrew,NA,boy
Ohanzee,NA,NA,boy
Ohad,Hebrew,12272,boy
Ohndrae,Greek,NA,boy
Ohene,NA,NA,boy
Ohndre,Greek,NA,boy
Oisin,Gaelic,6623,boy
Okechukwu,NA,NA,boy
Ohnjel,Greek,NA,boy
Okeke,NA,NA,boy
O'Keefe,Irish,NA,boy
Ohngel,Greek,NA,boy
Ohnrey,Greek,NA,boy
Okafo,NA,NA,boy
Okpara,NA,NA,boy
Okonkwo,NA,NA,boy
Okeli,NA,NA,boy
Olaniyonu,NA,NA,boy
Olaff,Norse,NA,boy
Olakeakua,NA,NA,boy
Oktawjan,NA,NA,boy
Olave,Norse,NA,boy
Olaf,Norse,8872,boy
Olatokunbo,NA,NA,boy
Olatunde,NA,NA,boy
Olav,Norse,9065,boy
Ole,Norse,6472,boy
Oleksei,NA,NA,boy
Olen,British,4143,boy
Oleksey,NA,NA,boy
Oleg,Russian,7979,boy
Oleksi,NA,NA,boy
Oleksiy,NA,NA,boy
Olavi,NA,NA,boy
Oles,NA,NA,boy
Olexei,Russian,NA,boy
Olexey,NA,NA,boy
Olexi,NA,NA,boy
Olexiy,NA,NA,boy
Olindo,Latin,4581,boy
Oliverio,Latin,10178,boy
Olimpo,Greek,NA,boy
Oli,NA,NA,boy
Olimpio,Greek,NA,boy
Olin,British,3065,boy
Oliver,Latin,19,boy
Olivor,Latin,NA,boy
Oliviero,Latin,NA,boy
Olivier,Latin,3523,boy
Oliwjer,NA,NA,boy
Olivero,Latin,NA,boy
Olley,Latin,NA,boy
Olle,Norse,10258,boy
Olivio,Latin,5717,boy
Olliver,Latin,6215,boy
Olof,Norse,4990,boy
Olorun,NA,NA,boy
Ollivor,Latin,NA,boy
Olumide,NA,NA,boy
Olushegun,NA,NA,boy
Olumiji,NA,NA,boy
Olujimi,NA,NA,boy
Olukayode,NA,NA,boy
Olusegun,NA,NA,boy
Olutosin,NA,NA,boy
Olufemi,NA,NA,boy
Olusijibomi,NA,NA,boy
Olov,Norse,NA,boy
Oluyemi,NA,NA,boy
Olympio,Greek,NA,boy
Omanand,NA,NA,boy
Olympus,Greek,NA,boy
Omari,Swahili,1012,boy
Oluwatobi,NA,NA,boy
Omotunde,NA,NA,boy
Olushola,NA,NA,boy
Olyn,British,11599,boy
Olympios,Greek,NA,boy
Omero,Greek,9723,boy
Omer,Hebrew,3285,boy
Omarr,Hebrew,10873,boy
Omar,Persian,412,boy
Omri,Hebrew,5384,boy
Omid,NA,NA,boy
Ondray,NA,NA,boy
Ondrey,Greek,NA,boy
Ona'je,NA,NA,boy
Ondrae,NA,NA,boy
Ondrej,Greek,10440,boy
Ondrei,Greek,NA,boy
Oneal,Irish,9256,boy
Ondre,Greek,11599,boy
Onfre,German,NA,boy
Onesimo,NA,NA,boy
Onfroi,German,NA,boy
Onjel,Greek,NA,boy
Onesiphorus,NA,NA,boy
Onofre,Italian,11847,boy
Onofredo,German,NA,boy
Onjello,Greek,NA,boy
Onnjelo,Greek,NA,boy
Onophrio,Italian,NA,boy
Onofrio,Italian,8386,boy
Onorio,NA,NA,boy
Onslow,British,4830,boy
Onwoachi,NA,NA,boy
Onofrius,Italian,NA,boy
Onorato,NA,NA,boy
Or,Hebrew,10778,boy
Oran,Irish,6215,boy
Orazio,Italian,10378,boy
Onslowe,British,NA,boy
Ophir,Hebrew,11704,boy
Oral,Latin,11426,boy
Oratio,Latin,NA,boy
Ordell,NA,NA,boy
Oren,Irish,2609,boy
Orenthal,Irish,12272,boy
Orford,British,NA,boy
Orestes,Greek,10367,boy
Oreste,Greek,10281,boy
Orfeo,Greek,NA,boy
Orion,Greek,600,boy
Orlan,Spanish,11843,boy
Orin,Irish,3220,boy
Orman,German,9074,boy
Orlando,Spanish,1212,boy
Orlondo,Spanish,11455,boy
Orland,Spanish,11480,boy
Oro,Spanish,NA,boy
Ormond,British,11424,boy
Orlin,Spanish,6753,boy
Ormand,German,7338,boy
Orren,Irish,11480,boy
Oron,Hebrew,6331,boy
Ormondo,French,NA,boy
Orpheus,Greek,9660,boy
Ornet,French,NA,boy
Orran,Irish,12167,boy
Orsin,Latin,NA,boy
Orrick,British,NA,boy
Orsis,Latin,NA,boy
Orsino,Latin,NA,boy
Orric,British,NA,boy
Orrin,British,4143,boy
Orrel,Latin,5839,boy
Orson,Latin,3125,boy
Orsen,Latin,11847,boy
Orsini,Latin,NA,boy
Ortensio,NA,NA,boy
Orry,Latin,11480,boy
Orsonio,Latin,NA,boy
Ortiz,NA,NA,boy
Orton,British,6544,boy
Orv,French,NA,boy
Orvell,French,6271,boy
Orval,British,10491,boy
Orvelle,French,NA,boy
Orvil,French,11911,boy
Orvin,British,10778,boy
Orville,French,7979,boy
Osborn,Norse,7281,boy
Osage,Native American,NA,boy
Osbert,British,11567,boy
Orwynn,British,NA,boy
Osama,NA,NA,boy
Oryon,Greek,10778,boy
Orwin,British,4998,boy
Osbourne,Norse,11599,boy
Osborne,Norse,9256,boy
Osburn,Norse,5034,boy
Osbourn,Norse,NA,boy
Osier,British,NA,boy
Osei,Ghanaian,10258,boy
Osip,Hebrew,NA,boy
Osburne,Norse,NA,boy
Osgood,British,5690,boy
O'Shay,Irish,9697,boy
Osiris,NA,NA,boy
O'Shea,Irish,3712,boy
Osher,Hebrew,9266,boy
Oscar,British,325,boy
Oshea,NA,NA,boy
Osker,British,12503,boy
Oskar,British,2262,boy
Osman,Scandinavian,3201,boy
Osmar,British,3504,boy
Osmonde,Scandinavian,NA,boy
Osment,Scandinavian,NA,boy
Osmond,Scandinavian,7729,boy
Osmin,Scandinavian,7979,boy
Osred,British,NA,boy
Osmund,Scandinavian,7442,boy
Osmunde,Scandinavian,NA,boy
Osmont,Scandinavian,NA,boy
Osric,British,11480,boy
Ossian,Gaelic,10778,boy
Ossin,Gaelic,NA,boy
Ossie,German,11696,boy
Osrick,British,NA,boy
Osten,Latin,10959,boy
Osvaldo,German,2036,boy
Ostyn,French,12473,boy
Osvald,German,NA,boy
Oswald,German,5062,boy
Ostynn,French,NA,boy
Ostin,French,6472,boy
Oswinn,British,NA,boy
Osvin,British,11599,boy
Oswell,German,4998,boy
Oswin,British,5296,boy
Oswaldo,German,3949,boy
Oswyn,British,10969,boy
Oszkar,NA,NA,boy
Oswynn,British,NA,boy
Otakar,NA,NA,boy
Ota,German,5320,boy
Othello,German,8872,boy
Otello,NA,NA,boy
Ot,German,NA,boy
Otess,German,NA,boy
Otha,German,11696,boy
