NAME,ORIGIN,POPULARITY,sex
Paavo,Latin,NA,boy
Paahana,NA,NA,boy
Packard,German,11911,boy
Pablos,Spanish,NA,boy
Packert,NA,NA,boy
Paco,Spanish,10178,boy
Padhraig,Latin,NA,boy
Pakelika,NA,NA,boy
Pablo,Spanish,793,boy
Paddie,Latin,NA,boy
Padric,Latin,11847,boy
Paladio,Spanish,NA,boy
Packer,NA,NA,boy
Packston,British,NA,boy
Paddey,Latin,NA,boy
Palakika,NA,NA,boy
Paden,British,5221,boy
Paley,British,11065,boy
Pain,Latin,NA,boy
Paki,NA,NA,boy
Pacificus,Spanish,NA,boy
Paddy,Irish,10873,boy
Padraic,Latin,9256,boy
Padraig,Latin,5660,boy
Paciano,Spanish,NA,boy
Pace,Hebrew,4670,boy
Pacorro,Spanish,NA,boy
Packey,Latin,NA,boy
Pacifico,Spanish,5340,boy
Paice,Hebrew,NA,boy
Pagiel,Hebrew,NA,boy
Pal,Latin,11696,boy
Palmar,British,NA,boy
Palladius,Spanish,NA,boy
Pall,British,NA,boy
Palmiro,NA,NA,boy
Palmerston,British,NA,boy
Pallmer,British,NA,boy
Panan,NA,NA,boy
Palomo,Latin,NA,boy
Pan,NA,NA,boy
Paolo,Latin,3827,boy
Paquito,Spanish,NA,boy
Pari,NA,NA,boy
Parkin,British,NA,boy
Paltiel,Hebrew,NA,boy
Pancho,Spanish,10969,boy
Parke,British,9025,boy
Panchito,Latin,NA,boy
Par,Greek,11480,boy
Parley,NA,NA,boy
Panini,NA,NA,boy
Parmenios,Spanish,NA,boy
Parnel,Latin,NA,boy
Parkman,British,NA,boy
Parkins,British,NA,boy
Parnell,Latin,11480,boy
Pardon,NA,NA,boy
Parks,British,4805,boy
Parken,British,NA,boy
Parmenius,Spanish,NA,boy
Parmenio,Spanish,NA,boy
Parr,British,NA,boy
Parkes,British,NA,boy
Parrey,Welsh,NA,boy
Parriss,French,NA,boy
Parrie,Welsh,7637,boy
Parrnell,Latin,NA,boy
Parsafal,French,NA,boy
Parry,Welsh,11307,boy
Parsifal,French,NA,boy
Parson,British,10178,boy
Parsefal,French,NA,boy
Parsons,British,NA,boy
Parvez,Persian,NA,boy
Parthenios,Greek,NA,boy
Parthenius,Greek,NA,boy
Parwiz,Persian,NA,boy
Parthalan,Irish,NA,boy
Parvaiz,Persian,NA,boy
Parviz,Persian,NA,boy
Parton,British,NA,boy
Paschal,Latin,10178,boy
Paten,British,11065,boy
Pasqual,Latin,12043,boy
Pascual,Latin,5758,boy
Pascal,Latin,5062,boy
Paschalis,Latin,NA,boy
Paterson,Scottish,NA,boy
Pascoe,Latin,NA,boy
Patric,Latin,8905,boy
Pathalan,Irish,NA,boy
Pasquale,Latin,6472,boy
Patrick,Latin,315,boy
Patrece,Latin,12043,boy
Patricio,Latin,3220,boy
Patanjali,NA,NA,boy
Patin,British,NA,boy
Pascuale,Latin,NA,boy
Patrizius,Latin,NA,boy
Pats,Latin,NA,boy
Patrik,Latin,10178,boy
Paton,British,10873,boy
Patricius,NA,NA,boy
Patrizio,Latin,11948,boy
Patterson,Scottish,10778,boy
Pattison,Scottish,NA,boy
Patryk,Latin,7491,boy
Patten,Latin,NA,boy
Pattin,British,NA,boy
Pauel,Latin,NA,boy
Patton,British,3482,boy
Patxi,NA,NA,boy
Paulin,Latin,9137,boy
Paulinus,Latin,NA,boy
Paul,Latin,379,boy
Paulos,Latin,11847,boy
Paulo,Latin,3746,boy
Paulino,Latin,6472,boy
Pavel,Latin,4730,boy
Paxon,British,6339,boy
Payce,Hebrew,10969,boy
Pazel,Hebrew,NA,boy
Pawnee,Native American,9142,boy
Paulus,Latin,11113,boy
Pavle,Latin,7729,boy
Paxtun,British,NA,boy
Pawel,Latin,10178,boy
Peal,British,NA,boy
Pearson,Greek,3949,boy
Peabody,British,NA,boy
Pears,Greek,NA,boy
Peak,NA,NA,boy
Pearce,Greek,5384,boy
Pearse,NA,NA,boy
Pearcy,Latin,NA,boy
Pedahel,Hebrew,NA,boy
Peasly,British,NA,boy
Peaseley,British,NA,boy
Pearsson,British,NA,boy
Pedram,NA,NA,boy
Pedayel,Hebrew,NA,boy
Pedael,Hebrew,NA,boy
Peder,Greek,10969,boy
Pedro,Spanish,727,boy
Peel,British,NA,boy
Peerce,British,NA,boy
Pedrio,Spanish,NA,boy
Pei,NA,NA,boy
Peirce,British,10969,boy
Peer,French,7707,boy
Pekelo,Hawaiian,NA,boy
Pekka,Greek,NA,boy
Pelagios,Greek,NA,boy
Pelagius,Greek,NA,boy
Pelike,NA,NA,boy
Peleg,NA,NA,boy
Pembrook,Celtic,NA,boy
Pell,British,NA,boy
Peniamina,NA,NA,boy
Peleke,NA,NA,boy
Pembroke,Celtic,1819,boy
Pelayo,Greek,NA,boy
Penekiko,NA,NA,boy
Peleh,Hebrew,NA,boy
Pendo,NA,NA,boy
Pellam,British,NA,boy
Pendleton,British,11480,boy
Pelham,British,9142,boy
Penlea,British,NA,boy
Penly,British,NA,boy
Peni'amina,NA,NA,boy
Penleigh,British,NA,boy
Penley,British,10778,boy
Pennlea,British,NA,boy
Pennleigh,British,NA,boy
Pepe,Spanish,12106,boy
Penn,British,3746,boy
Pennley,British,NA,boy
Peppi,Hebrew,6627,boy
Pepik,NA,NA,boy
Per,Greek,11847,boy
Pepito,Spanish,NA,boy
Pepi,NA,NA,boy
Percey,Latin,5632,boy
Perce,French,NA,boy
Perceval,French,NA,boy
Percevall,French,NA,boy
Percival,French,8238,boy
Percivall,French,NA,boy
Peregrine,Latin,6339,boy
Peregrino,Latin,NA,boy
Percie,Latin,6351,boy
Pericles,Greek,12223,boy
Perdido,Latin,NA,boy
Peregrinus,NA,NA,boy
Perkin,British,NA,boy
Perfecto,Spanish,11847,boy
Peregryn,Latin,NA,boy
Peretz,Hebrew,7491,boy
Perkins,British,12179,boy
Perkyn,British,NA,boy
Pessach,Hebrew,NA,boy
Persius,NA,NA,boy
Pernell,Latin,9697,boy
Percy,Latin,4181,boy
Peregrin,Latin,9723,boy
Perez,Hebrew,10178,boy
Persons,British,NA,boy
Perse,NA,NA,boy
Perseus,Greek,3543,boy
Pesach,Hebrew,10178,boy
Person,British,NA,boy
Petar,Greek,7979,boy
Petroc,NA,NA,boy
Petr,Greek,10778,boy
Petre,Greek,8913,boy
Pete,Greek,4282,boy
Peter,Greek,385,boy
Peterson,Greek,8238,boy
Petronije,NA,NA,boy
Petrolino,Spanish,NA,boy
Petronio,NA,NA,boy
Petros,Greek,10178,boy
Petronius,NA,NA,boy
Peveril,French,NA,boy
Petuel,Sanskrit,NA,boy
Peverel,French,NA,boy
Petrov,Greek,NA,boy
Phelim,Irish,NA,boy
Peverall,French,NA,boy
Pezi,NA,NA,boy
Pharamond,British,NA,boy
Pharamund,British,NA,boy
Peverell,French,NA,boy
Philemon,Greek,7281,boy
Philander,Greek,12207,boy
Phauns,German,NA,boy
Phelps,British,11696,boy
Phelan,Irish,10778,boy
Philbert,German,11599,boy
Phenix,Greek,4936,boy
Philip,Greek,849,boy
Philipe,NA,NA,boy
Philibert,German,5375,boy
Philips,Greek,11911,boy
Philippus,Greek,NA,boy
Philippos,Greek,11710,boy
Phillippe,NA,NA,boy
Philipson,British,NA,boy
Philipp,Greek,7491,boy
Phillbert,German,NA,boy
Philo,Greek,8537,boy
Phillips,Greek,11599,boy
Phillip,Greek,853,boy
Phineas,Hebrew,2458,boy
Phinean,Irish,NA,boy
Phinian,Irish,NA,boy
Phinehas,NA,NA,boy
Phirun,NA,NA,boy
Phoebus,Greek,NA,boy
Phoibos,Greek,NA,boy
Phipps,British,NA,boy
Phonz,German,NA,boy
Phips,British,NA,boy
Phuoc,NA,NA,boy
Pierce,Greek,896,boy
Phons,German,NA,boy
Pich,NA,NA,boy
Phyllip,Greek,11132,boy
Piao,NA,NA,boy
Piero,Spanish,8238,boy
Pickford,British,NA,boy
Phyfe,Scottish,NA,boy
Piaras,NA,NA,boy
Pierson,Greek,2343,boy
Pierre,French,2158,boy
Pierino,NA,NA,boy
Pierre Jean,NA,NA,boy
Piersson,Greek,NA,boy
Piers,Greek,10178,boy
Pike,British,9256,boy
Piet,Greek,NA,boy
Pieter,Greek,9723,boy
Pietro,Spanish,4936,boy
Pi'ilani,NA,NA,boy
Pilipo,Greek,NA,boy
Pij,NA,NA,boy
Pim,NA,NA,boy
Pinkus,NA,NA,boy
Pincas,NA,NA,boy
Pin,NA,NA,boy
Pinkney,NA,NA,boy
Piotr,Greek,11480,boy
Pincus,NA,NA,boy
Pippo,Spanish,NA,boy
Pink,Latin,11599,boy
Pip,Spanish,NA,boy
Pipo,Hebrew,NA,boy
Pirmin,NA,NA,boy
Pinchas,NA,NA,boy
Pious,NA,NA,boy
Pino,Hebrew,9514,boy
Pinchos,NA,NA,boy
Pio,Latin,10778,boy
Pitia,NA,NA,boy
Pinhas,NA,NA,boy
Pitt,British,NA,boy
Pista,NA,NA,boy
Pitney,British,NA,boy
Pius,Latin,11480,boy
Pittney,British,NA,boy
Placidus,Spanish,NA,boy
Plantagenet,French,NA,boy
Placedo,Spanish,NA,boy
Placyd,Spanish,NA,boy
Placijo,Spanish,NA,boy
Placido,Spanish,11599,boy
Pizi,NA,NA,boy
Placydo,Spanish,NA,boy
Plasedo,Spanish,NA,boy
Pollack,British,NA,boy
Plato,Greek,9940,boy
Platon,Greek,8238,boy
Polloch,British,NA,boy
Pollyrd,British,NA,boy
Pluto,Greek,NA,boy
Pollard,British,8073,boy
Pol,Latin,11480,boy
Platt,French,5839,boy
Pommeray,French,NA,boy
Platyahu,Hebrew,NA,boy
Poindexter,NA,NA,boy
Pomeroy,French,NA,boy
Pollock,British,NA,boy
Pompey,Latin,5149,boy
Pollux,Greek,10258,boy
Pompeyo,Latin,NA,boy
Pollerd,British,NA,boy
Platya,Hebrew,NA,boy
Pompeo,Latin,NA,boy
Pomponio,Latin,NA,boy
Ponce,Spanish,10894,boy
Pompi,Latin,NA,boy
Pons,Latin,NA,boy
Pompilio,Latin,NA,boy
Pommeroy,French,NA,boy
Ponthos,Latin,NA,boy
Pontius,Latin,NA,boy
Ponthus,Latin,NA,boy
Pontus,NA,NA,boy
Pope,Greek,5533,boy
Porat,Hebrew,NA,boy
Poriel,Hebrew,NA,boy
Porphyrios,NA,NA,boy
Poseidon,Greek,5758,boy
Porfirio,Greek,7069,boy
Porcius,NA,NA,boy
Porthos,French,NA,boy
Porter,French,787,boy
Powel,British,NA,boy
Portland,British,7729,boy
Porphirios,Greek,NA,boy
Poul,Latin,11878,boy
Potter,British,11480,boy
Power,NA,NA,boy
Powell,British,7069,boy
Powhatan,Native American,NA,boy
Prabhat,NA,NA,boy
Pravoslav,NA,NA,boy
Pradosh,NA,NA,boy
Pradeep,Indian,11363,boy
Pramod,NA,NA,boy
Pratap,Indian,NA,boy
Prakash,NA,NA,boy
Prentice,British,8872,boy
Pravin,NA,NA,boy
Premo,Italian,NA,boy
Predrag,NA,NA,boy
Prasad,NA,NA,boy
Pratt,British,11451,boy
Prentis,British,9852,boy
Prem,NA,NA,boy
Preemo,Italian,NA,boy
Prentiss,British,9256,boy
Prescot,British,NA,boy
Presleigh,British,2853,boy
Presley,British,417,boy
Presslee,British,NA,boy
Prescott,British,4872,boy
Presly,British,10778,boy
Prestley,British,11847,boy
Prewett,French,NA,boy
Prestcott,British,NA,boy
Priestley,British,NA,boy
Preston,British,318,boy
Prewitt,French,NA,boy
Pressley,British,6108,boy
Prestcot,British,NA,boy
Procopius,Spanish,NA,boy
Procopio,Spanish,8915,boy
Princeton,Latin,805,boy
Prinz,Latin,11599,boy
Prewet,French,NA,boy
Price,French,3788,boy
Prewit,French,NA,boy
Primo,Italian,9697,boy
Prior,Latin,NA,boy
Prince,Latin,654,boy
Prinze,Latin,NA,boy
Prockter,Latin,NA,boy
Priestly,British,5513,boy
Prime,Italian,11480,boy
Proctor,Latin,7640,boy
Procter,Latin,NA,boy
Priscus,NA,NA,boy
Printz,Latin,NA,boy
Printze,Latin,NA,boy
Prokhor,NA,NA,boy
Prokop,NA,NA,boy
Prokhop,NA,NA,boy
Prokopios,Spanish,NA,boy
Promise,NA,NA,boy
Prophet,NA,NA,boy
Propertius,NA,NA,boy
Prophyrios,Greek,NA,boy
Prosperus,Latin,NA,boy
Prosper,Latin,6913,boy
Prospero,Latin,9514,boy
Proverb,British,NA,boy
Properzio,NA,NA,boy
Pryce,French,4730,boy
Prym,NA,NA,boy
Purvis,French,10477,boy
Pryor,Latin,6753,boy
Puck,NA,NA,boy
Pryderi,NA,NA,boy
Puali,NA,NA,boy
Puckeridge,NA,NA,boy
Purviss,French,NA,boy
Publio,NA,NA,boy
Pythias,NA,NA,boy
Purcell,French,9261,boy
Pyotr,Greek,NA,boy
Przbyslaw,NA,NA,boy
Pruitt,French,11480,boy
Prudentius,Spanish,NA,boy
Pyke,British,NA,boy
Purves,French,NA,boy
Prudencio,Spanish,11704,boy
