NAME,ORIGIN,POPULARITY,sex
Qasim,Arabic,5062,boy
Qhama,NA,NA,boy
Quennell,French,12106,boy
Qadeer,Arabic,NA,boy
Quang,NA,NA,boy
Qi,NA,NA,boy
Quennel,French,11938,boy
Quantrell,British,10258,boy
Quade,Gaelic,5000,boy
Quenten,Latin,11696,boy
Quentrell,British,9865,boy
Qadar,Arabic,NA,boy
Quiller,British,NA,boy
Qadry,Arabic,11283,boy
Quilo,Greek,NA,boy
Quigley,Irish,11480,boy
Quanah,Native American,11847,boy
Quimby,Norse,NA,boy
Quent,Latin,8444,boy
Quinlan,Irish,3409,boy
Quinntan,British,NA,boy
Quinnton,British,8872,boy
Quillen,Irish,9723,boy
Quintain,British,NA,boy
Quindlen,Irish,NA,boy
Quinntin,British,9256,boy
Quinnten,British,10178,boy
Quintan,British,9697,boy
Qadir,Arabic,8238,boy
Quinnell,Irish,12167,boy
Quenton,Latin,5560,boy
Quint,Latin,8872,boy
Quinten,Latin,2367,boy
Quinto,NA,NA,boy
Quintin,Latin,2074,boy
Quintinus,NA,NA,boy
Quirino,NA,NA,boy
Quinton,British,1163,boy
Quintrell,British,8872,boy
Quintyn,British,7069,boy
Quintynn,British,NA,boy
Quintus,Latin,5875,boy
Qusay,NA,NA,boy
Quirinus,NA,NA,boy
