NAME,ORIGIN,POPULARITY,sex
Rabih,NA,NA,boy
Rabeah,NA,NA,boy
Rabbi,Arabic,NA,boy
Raad,NA,NA,boy
Rachim,Hebrew,NA,boy
Radfurd,British,NA,boy
Rab,German,NA,boy
Rabbie,German,NA,boy
Rabi,Arabic,10584,boy
Rad,British,10778,boy
Radcliffe,British,11938,boy
Raclaw,NA,NA,boy
Racham,Hebrew,NA,boy
Radburn,British,NA,boy
Radford,British,9697,boy
Radleigh,British,NA,boy
Radames,Egyptian,10873,boy
Radlee,British,8537,boy
Radborn,British,NA,boy
Radbert,British,NA,boy
Radcliff,British,NA,boy
Radburne,British,NA,boy
Radek,Slavic,9256,boy
Radborne,British,NA,boy
Radbourn,British,NA,boy
Radferd,British,NA,boy
Radimir,Slavic,NA,boy
Radim,NA,NA,boy
Radhi,NA,NA,boy
Rabee,Arabic,NA,boy
Radbourne,British,NA,boy
Radlea,British,NA,boy
Radley,British,3201,boy
Radly,British,10959,boy
Radmund,NA,NA,boy
Radomir,NA,NA,boy
Radmond,NA,NA,boy
Radoje,NA,NA,boy
Radoman,NA,NA,boy
Radnor,British,NA,boy
Radoslav,NA,NA,boy
Radovan,NA,NA,boy
Raeborne,British,NA,boy
Radwan,Arabic,11480,boy
Raeburn,British,4710,boy
Radoslaw,NA,NA,boy
Raemond,German,10827,boy
Raeborn,British,NA,boy
Raebourn,British,NA,boy
Raedwulf,NA,NA,boy
Rafaelo,Hebrew,NA,boy
Raechard,German,NA,boy
Rafael,Spanish,541,boy
Rafal,Hebrew,11451,boy
Rafat,NA,NA,boy
Rafer,Spanish,10614,boy
Raemondo,German,NA,boy
Rafaello,Hebrew,NA,boy
Raferty,Irish,NA,boy
Rafee,Arabic,11948,boy
Rafaele,NA,NA,boy
Rafel,Spanish,11710,boy
Rafaelle,Hebrew,NA,boy
Rafe,Scandinavian,3220,boy
Raff,British,NA,boy
Raffaello,Spanish,NA,boy
Raffael,Hebrew,10178,boy
Raffarty,Irish,NA,boy
Rafello,Spanish,NA,boy
Raffertey,Irish,NA,boy
Raffaelo,Spanish,NA,boy
Rafferty,Irish,8872,boy
Raffy,Arabic,12207,boy
Raffi,Arabic,6753,boy
Rafi,Arabic,7491,boy
Raghnall,Latin,NA,boy
Rafik,Arabic,11843,boy
Rafiki,NA,NA,boy
Raghid,NA,NA,boy
Raghu,NA,NA,boy
Ragnor,Norse,NA,boy
Rahim,Arabic,4805,boy
Rafiq,Arabic,10178,boy
Raham,Hebrew,NA,boy
Raghallach,NA,NA,boy
Rai,Japanese,6472,boy
Ragnar,Norse,4805,boy
Rahman,NA,NA,boy
Raheem,Arabic,2302,boy
Rahiem,Arabic,8537,boy
Rahm,Sanskrit,10178,boy
Raice,British,10854,boy
Rainart,German,NA,boy
Raiden,Japanese,801,boy
Rainault,Latin,NA,boy
Raimundo,German,12167,boy
Raimondo,German,9073,boy
Rainer,German,4562,boy
Raimund,German,6627,boy
Raimond,German,12179,boy
Rainhardt,German,NA,boy
Raines,British,11998,boy
Rains,British,NA,boy
Rainhard,German,NA,boy
Rainger,French,NA,boy
Rainor,German,NA,boy
Rais,NA,NA,boy
