NAME,ORIGIN,POPULARITY,sex
Ubadah,Arabic,NA,boy
Udell,British,10894,boy
Ubaldo,NA,NA,boy
Udel,British,NA,boy
Uberto,Italian,NA,boy
Udo,NA,NA,boy
Udolfo,British,NA,boy
Udall,British,NA,boy
Uday,NA,NA,boy
Uchechi,NA,NA,boy
Udolf,British,NA,boy
Uilleam,NA,NA,boy
Ugo,Italian,12106,boy
Ull,Norse,NA,boy
Ulisse,Latin,NA,boy
Udi,Hebrew,NA,boy
Ullmar,British,NA,boy
Ulf,German,NA,boy
Ulick,Irish,NA,boy
Udolph,British,NA,boy
Udayasuryan,NA,NA,boy
Ulbricht,German,NA,boy
Udayan,Indian,NA,boy
Ulisses,NA,NA,boy
Ullric,German,NA,boy
Uilleac,NA,NA,boy
Ujala,NA,NA,boy
Ulises,Latin,1845,boy
Uisdean,NA,NA,boy
Ulberto,German,NA,boy
Ukiah,Native American,10873,boy
Udale,British,NA,boy
Ulmar,British,NA,boy
Ulrich,German,7491,boy
Ulmer,British,4448,boy
Ulryk,NA,NA,boy
Ullrich,German,NA,boy
Ulric,German,8872,boy
Ulrick,German,11307,boy
Ultan,NA,NA,boy
Ulrik,German,10778,boy
Umberto,Italian,11696,boy
Ulyses,NA,NA,boy
Ulysses,Latin,2426,boy
Umbro,French,NA,boy
Umi,African,11480,boy
Umed,Indian,NA,boy
Umber,French,11878,boy
Un,NA,NA,boy
Upshaw,British,NA,boy
Upwood,British,NA,boy
Umee,NA,NA,boy
Umar,Arabic,2676,boy
Un hyea,NA,NA,boy
Unwyn,British,NA,boy
Umer,Arabic,8238,boy
Updyke,British,NA,boy
Upton,British,10778,boy
Unwin,British,NA,boy
Unwinn,British,NA,boy
Updike,British,NA,boy
Une,NA,NA,boy
Urbain,Latin,4998,boy
Undeio,NA,NA,boy
Uncas,Native American,NA,boy
Urbaine,Latin,NA,boy
Urbano,Latin,10959,boy
Urbane,Latin,5427,boy
Urban,Latin,5062,boy
Urien,NA,NA,boy
Urias,Hebrew,7979,boy
Urbanus,Latin,NA,boy
Uriah,Hebrew,1030,boy
Urjasz,NA,NA,boy
Urijah,Hebrew,1845,boy
Uri,Hebrew,5062,boy
Uriyah,Hebrew,4454,boy
Ursel,Italian,7154,boy
Uria,Hebrew,9263,boy
Urs,NA,NA,boy
Uriel,Hebrew,1016,boy
Urso,Italian,NA,boy
Ursinus,Italian,NA,boy
Urija,Hebrew,NA,boy
Ursino,Italian,NA,boy
Ursus,Italian,NA,boy
Urson,Latin,NA,boy
Ursins,Italian,NA,boy
Utende,NA,NA,boy
Usama,NA,NA,boy
Urvil,NA,NA,boy
Ussher,Latin,NA,boy
Usamah,Arabic,10816,boy
Uther,British,NA,boy
Utendi,NA,NA,boy
Uthman,NA,NA,boy
Usman,NA,NA,boy
Uwe Jens,NA,NA,boy
Usher,Latin,4805,boy
Uttam,NA,NA,boy
Uwe,NA,NA,boy
Uwolowu,NA,NA,boy
Uziel,Hebrew,4454,boy
Uzuri,NA,NA,boy
Uziah,Hebrew,8872,boy
Uzziel,Hebrew,6472,boy
Uzziah,Hebrew,4562,boy
