NAME,ORIGIN,POPULARITY,sex
Vaesna,NA,NA,boy
Vadim,NA,NA,boy
Vail,British,4369,boy
Valentyn,Latin,NA,boy
Vachel,French,7217,boy
Valente,Portuguese,5296,boy
Vachell,French,NA,boy
Valentino,Latin,1286,boy
Vali,Norse,11599,boy
Valeryan,Latin,NA,boy
Vaclav,NA,NA,boy
Valentin,Latin,1651,boy
Valther,German,NA,boy
Vandan,NA,NA,boy
Vaile,British,11599,boy
Valerian,Latin,11998,boy
Valentinian,Latin,NA,boy
Vandyke,Danish,NA,boy
Vance,British,1750,boy
Vane,British,7442,boy
Valter,German,NA,boy
Valdemar,German,10778,boy
Valeri,NA,NA,boy
Valeriano,NA,NA,boy
Valmiki,NA,NA,boy
Vaill,British,NA,boy
Valentinus,Latin,NA,boy
Vander,Greek,4063,boy
Valerio,Latin,11480,boy
Vallen,Latin,7729,boy
Valerius,Latin,NA,boy
Vangelios,Greek,NA,boy
Valerien,Latin,NA,boy
Vanek,Hebrew,NA,boy
Vanja,NA,NA,boy
Vann,Danish,5000,boy
Vanko,Hebrew,NA,boy
Vangelo,Greek,NA,boy
Vangelis,Greek,NA,boy
Vanni,NA,NA,boy
Varden,French,5690,boy
Vardhamma,NA,NA,boy
Varesh,NA,NA,boy
Vardinon,NA,NA,boy
Varen,NA,NA,boy
Vardon,French,NA,boy
Varick,German,8872,boy
Vasileos,Greek,NA,boy
Varil,NA,NA,boy
Varoun,Indian,NA,boy
Varrick,German,NA,boy
Varten,Persian,NA,boy
Vasile,Greek,5774,boy
Vartan,NA,NA,boy
Vasili,Greek,9256,boy
Vasilije,Greek,11843,boy
Vasileios,Greek,NA,boy
Vasilis,Greek,11710,boy
Vasilios,Greek,5988,boy
Vasilus,Greek,NA,boy
Vasant,NA,NA,boy
Vasily,Greek,11480,boy
Vasco,NA,NA,boy
Vasos,Greek,NA,boy
Vasilij,Greek,NA,boy
Vassilij,Greek,NA,boy
Varun,Indian,4510,boy
Vaso,Greek,5796,boy
Vassily,Greek,NA,boy
Vasu,NA,NA,boy
Vasilius,Greek,NA,boy
Vaughn,Welsh,1608,boy
Vasya,Greek,NA,boy
Vatsyayana,NA,NA,boy
Veejay,Sanskrit,NA,boy
Vaughan,Welsh,6913,boy
Velimir,NA,NA,boy
Veit,NA,NA,boy
Velichko,NA,NA,boy
Venedictos,Latin,NA,boy
Velcho,Welsh,NA,boy
Velibor,NA,NA,boy
Veliko,NA,NA,boy
Veleslav,NA,NA,boy
Venceslav,NA,NA,boy
Veltry,Modern,NA,boy
Venceslao,Slavic,NA,boy
Velin,NA,NA,boy
Venezio,Italian,NA,boy
Velyo,NA,NA,boy
Veneziano,Italian,NA,boy
Velvel,NA,NA,boy
Venturo,Spanish,NA,boy
Verdon,French,7442,boy
Venturio,Spanish,NA,boy
Venetziano,Italian,NA,boy
Venanzio,NA,NA,boy
Venyamin,Hebrew,NA,boy
Veniamin,Hebrew,10293,boy
Vergilius,NA,NA,boy
Vergil,Latin,7979,boy
Verdun,French,5842,boy
Verle,NA,NA,boy
Verge,Latin,5121,boy
Vergilio,Latin,NA,boy
Verill,German,NA,boy
Verlin,NA,NA,boy
Verllin,NA,NA,boy
Vernal,French,12272,boy
Vern,French,10178,boy
Verlon,NA,NA,boy
Vernard,French,12167,boy
Vermont,French,4395,boy
Vernados,German,NA,boy
Vernee,French,10428,boy
Vernin,French,NA,boy
Vernen,French,5185,boy
