NAME,ORIGIN,POPULARITY,sex
Waddell,Scandinavian,11938,boy
Wagner,German,8537,boy
Wadly,British,NA,boy
Wade,Scandinavian,794,boy
Wadleigh,British,NA,boy
Wadell,Scandinavian,11878,boy
Waggoner,German,NA,boy
Wajih,NA,NA,boy
Waights,British,NA,boy
Wainewright,British,NA,boy
Wail,NA,NA,boy
Wake,British,7069,boy
Wahib,Arabic,NA,boy
Wadham,British,NA,boy
Wagoner,German,NA,boy
Wakelea,British,NA,boy
Waits,British,NA,boy
Waddsworth,British,NA,boy
Waide,NA,NA,boy
Waheeb,Arabic,NA,boy
Waine,NA,NA,boy
Wain,British,6890,boy
Wakely,British,8238,boy
Wakeleigh,British,NA,boy
Wakefield,British,12167,boy
Wakeman,British,NA,boy
Wakeley,British,NA,boy
Wainright,British,NA,boy
Wainwright,British,5338,boy
Wadsworth,British,5688,boy
Waite,British,7217,boy
Wadley,British,12211,boy
Wakil,NA,NA,boy
Walcott,British,NA,boy
Wakoyantanke,NA,NA,boy
Wald,German,NA,boy
Waldemar,German,11480,boy
Waldenn,British,NA,boy
Walder,German,NA,boy
Waldi,British,NA,boy
Walden,British,4730,boy
Waldon,British,9995,boy
Waldorp,German,NA,boy
Waldo,German,9256,boy
Waleed,Arabic,4730,boy
Waldorf,German,NA,boy
Waldron,German,7154,boy
Waldwick,German,NA,boy
Walid,Arabic,5758,boy
Walena,NA,NA,boy
Walenkino,NA,NA,boy
Waldwyck,German,NA,boy
Walfred,German,5686,boy
Walford,British,4852,boy
Wallach,Welsh,NA,boy
Walerian,NA,NA,boy
Walfried,German,NA,boy
Walsh,British,11957,boy
Wallace,French,1933,boy
Wallcott,British,NA,boy
Waller,German,7177,boy
Wallas,Welsh,NA,boy
Walt,German,5474,boy
Wallcot,British,NA,boy
Walter,German,564,boy
Walton,British,5560,boy
Walther,German,11843,boy
Waltham,British,NA,boy
Walwin,Welsh,NA,boy
Walwynn,Welsh,NA,boy
Walwynne,Welsh,NA,boy
Walwyn,British,NA,boy
Walwinn,Welsh,NA,boy
Walworth,British,NA,boy
Wambleeska,NA,NA,boy
Wapiti,Native American,NA,boy
Wanhahtah,NA,NA,boy
Wanamaker,German,NA,boy
Wanonsay,NA,NA,boy
Warburton,British,NA,boy
Wannamaker,German,NA,boy
Wani,NA,NA,boy
Wanekia,NA,NA,boy
Ward,British,4063,boy
Warden,British,10778,boy
Wardell,British,10778,boy
Warde,British,NA,boy
Wardlea,British,NA,boy
Warfield,British,7154,boy
Wardleigh,British,NA,boy
Ware,British,5067,boy
Wardley,British,NA,boy
Warithu din,NA,NA,boy
Warford,British,NA,boy
Waring,British,6544,boy
Warley,British,NA,boy
Warick,German,NA,boy
Warner,German,3266,boy
Warrick,German,7979,boy
Warwick,British,10178,boy
Warren,French,764,boy
Warrin,British,NA,boy
Washborn,British,NA,boy
Warton,British,NA,boy
Warriner,British,NA,boy
Warrens,NA,NA,boy
Washington,British,8537,boy
Washburne,British,NA,boy
Washburn,British,NA,boy
Washbourne,British,NA,boy
Wassily,Greek,NA,boy
Wasim,Arabic,11599,boy
Waterford,British,NA,boy
Watts,NA,NA,boy
Waunakee,Native American,NA,boy
Wat,German,NA,boy
Watkin,NA,NA,boy
Watson,British,2665,boy
Watkins,British,6331,boy
Watt,Scottish,9074,boy
Wayde,Scandinavian,4936,boy
Waverlee,British,10178,boy
Way,British,5513,boy
Waydell,Scandinavian,NA,boy
Waylon,British,353,boy
Wayland,British,4670,boy
Waylin,British,5474,boy
Waylan,British,4562,boy
Waylen,British,3598,boy
Wayn,British,NA,boy
Wayne,British,1470,boy
Waynewright,British,NA,boy
Wayneright,British,NA,boy
Wazir,NA,NA,boy
Wayte,British,NA,boy
Waynwright,British,NA,boy
Weatherby,British,NA,boy
Weatherly,British,11710,boy
Weatherbie,British,NA,boy
Weatherbey,British,NA,boy
Weaver,British,7640,boy
Weatherill,British,NA,boy
Weatherell,British,NA,boy
Weatherley,British,NA,boy
Web,British,NA,boy
Webbster,British,NA,boy
Webb,British,6913,boy
Weber,British,11480,boy
Webster,British,7491,boy
Wedgwood,British,NA,boy
Webley,British,NA,boy
Weissman,German,NA,boy
Wedgewood,British,NA,boy
Welbey,German,NA,boy
Weissmann,German,NA,boy
Welbourne,British,NA,boy
Welby,German,11944,boy
Welborne,British,NA,boy
Welbie,German,NA,boy
Weeb,British,NA,boy
Welch,Welsh,4908,boy
Weldon,British,4562,boy
Welburn,British,5425,boy
Welden,British,11710,boy
Welborn,British,6094,boy
Welford,British,10510,boy
Wellburn,British,NA,boy
Wellborn,British,NA,boy
Wellbey,German,NA,boy
Wellby,German,NA,boy
Wellbourn,British,NA,boy
Wellington,British,5296,boy
Wellford,British,NA,boy
Welldon,British,NA,boy
Welton,British,10258,boy
Welsh,Welsh,NA,boy
Wells,British,2506,boy
Welwyn,Welsh,NA,boy
Wenceslas,Slavic,NA,boy
Wenceslaus,Slavic,5428,boy
Wenczeslaw,Slavic,NA,boy
Werhner,NA,NA,boy
Werner,German,7729,boy
Wentworth,British,5612,boy
Wenzel,Slavic,5843,boy
Wendel,German,10778,boy
Wendale,German,NA,boy
Wernhar,German,NA,boy
Wescott,British,NA,boy
Wessel,NA,NA,boy
Wesbrook,British,NA,boy
Wernher,German,NA,boy
West,British,3504,boy
Wesley,British,204,boy
Wesly,British,6472,boy
Westbey,British,NA,boy
Wessley,British,11843,boy
Wescot,British,NA,boy
Westbie,British,NA,boy
Wes,British,2262,boy
Westcot,British,NA,boy
Westbrooke,British,NA,boy
Westbrook,British,NA,boy
Westcott,British,NA,boy
Westen,British,3788,boy
Westby,British,NA,boy
Westerley,British,NA,boy
Westin,British,1634,boy
Westerly,British,NA,boy
Weston,British,212,boy
Westleigh,British,11424,boy
Wetherell,British,NA,boy
Wetherby,British,NA,boy
Westley,British,1791,boy
Wetherbie,British,NA,boy
Wetherill,British,NA,boy
Wetherleigh,British,NA,boy
Wheatly,British,NA,boy
Wheatleigh,British,NA,boy
Wetherbey,British,NA,boy
Wheatlea,British,NA,boy
Wetherly,British,NA,boy
Wheaton,British,5842,boy
Wheelwright,British,NA,boy
Wethrill,British,NA,boy
Wetherley,British,NA,boy
Wheeler,British,6623,boy
Wheatley,British,NA,boy
Wharton,British,5428,boy
Weylin,British,6913,boy
Whistler,British,NA,boy
Whit,NA,NA,boy
Whitaker,British,4369,boy
Whitacker,British,NA,boy
Whitbeck,British,NA,boy
