NAME,ORIGIN,POPULARITY,sex
Xanthos,Greek,NA,boy
Xander,Greek,365,boy
Xaviero,Latin,NA,boy
Xiomar,Spanish,10873,boy
Xavion,NA,NA,boy
Ximenes,Spanish,NA,boy
Xanthus,Greek,11710,boy
Xu,NA,NA,boy
Xeno,Greek,NA,boy
Xenophon,Greek,9263,boy
Xun,NA,NA,boy
Xavi,NA,NA,boy
Xan,Greek,11480,boy
Xever,Spanish,NA,boy
Xathieur,NA,NA,boy
Xandros,Hungarian,NA,boy
Xidorn,American,NA,boy
Ximenez,Spanish,NA,boy
Xaviell,Spanish,NA,boy
Xuan,NA,NA,boy
Xavier,Spanish,147,boy
Xayvion,Spanish,7979,boy
Xandro,Greek,NA,boy
Xenos,Greek,NA,boy
Xerxes,Persian,7979,boy
Xackery,NA,NA,boy
