NAME,ORIGIN,POPULARITY,sex
Yafeu,NA,NA,boy
Yacheem,Hebrew,NA,boy
Yachov,Hebrew,NA,boy
Yachin,NA,NA,boy
Yaar,Hebrew,NA,boy
Yakup,Hebrew,NA,boy
Yago,Welsh,6753,boy
Yakir,NA,NA,boy
Yakim,Hebrew,NA,boy
Yakov,Hebrew,2853,boy
Yaniv,NA,NA,boy
Yahya,NA,NA,boy
Yakob,Hebrew,10178,boy
Yamino,Hebrew,NA,boy
Yanno,Hebrew,NA,boy
Yaholo,Native American,NA,boy
Yanni,Hebrew,5384,boy
Yakar,Hebrew,NA,boy
Yannakis,Hebrew,NA,boy
Yamin,Hebrew,8537,boy
Yachim,Hebrew,NA,boy
Yamal,NA,NA,boy
Yaak,NA,NA,boy
Yanko,NA,NA,boy
Yacov,Hebrew,11710,boy
Yanai,Aramaic,10178,boy
Yaacob,Hebrew,NA,boy
Yaakov,Hebrew,2302,boy
Yang,NA,NA,boy
Yannis,Hebrew,8872,boy
Yance,NA,NA,boy
Yale,Welsh,11480,boy
Yantsey,NA,NA,boy
Yaqub,Hebrew,5758,boy
Yaphet,Hebrew,8872,boy
Yapheth,Hebrew,NA,boy
Yardlee,British,NA,boy
Yardley,British,11480,boy
Yao,NA,NA,boy
Yardlea,British,NA,boy
Yardly,British,NA,boy
Yarden,NA,NA,boy
Yardleigh,British,NA,boy
Yaseer,Arabic,10178,boy
Yasahiro,Japanese,NA,boy
Yarley,British,11515,boy
Yasin,NA,NA,boy
Yasser,Arabic,3848,boy
Yash,NA,NA,boy
Yaron,NA,NA,boy
Yasuji,NA,NA,boy
Yasir,Arabic,2741,boy
Yarrow,NA,NA,boy
Yashaskar,NA,NA,boy
Yasr,Arabic,NA,boy
Yasunari,NA,NA,boy
Yasushi,NA,NA,boy
Yasuhiko,NA,NA,boy
Yaw,NA,NA,boy
Yasuzo,NA,NA,boy
Yazeed,Swahili,7281,boy
Yawo,NA,NA,boy
Yazid,Swahili,7069,boy
Ydan,NA,NA,boy
Yaweh,NA,NA,boy
Yates,British,7281,boy
Yeardley,British,NA,boy
Yechudit,Hebrew,NA,boy
Yeats,British,NA,boy
Yechudi,Hebrew,NA,boy
Yedidiah,NA,NA,boy
Yechezkel,NA,NA,boy
Yehuda,Hebrew,1797,boy
Yehonatan,NA,NA,boy
Yegor,Russian,11599,boy
Yehoshua,Hebrew,3568,boy
Yen,NA,NA,boy
Yemin,Hebrew,NA,boy
Yehudi,Hebrew,NA,boy
Yerachmiel,NA,NA,boy
Yeoman,British,NA,boy
Yehudah,Hebrew,8537,boy
Yered,NA,NA,boy
Yeremiyah,Hebrew,NA,boy
Yeremiya,Hebrew,NA,boy
Yeremia,Hebrew,NA,boy
Yeshayahu,NA,NA,boy
Yesenin,Russian,NA,boy
Yirmeyahu,NA,NA,boy
Yeshua,NA,NA,boy
Yevgeniy,Russian,11307,boy
Yervant,NA,NA,boy
Yishai,Hebrew,7491,boy
Yishachar,Hebrew,NA,boy
Yissachar,Hebrew,11480,boy
Yevgeni,NA,NA,boy
Ygor,Russian,NA,boy
Yevgeny,Russian,NA,boy
Yishmael,NA,NA,boy
Yisachar,Hebrew,NA,boy
Yitzhak,Hebrew,8238,boy
Yitro,NA,NA,boy
Yisrael,Hebrew,3654,boy
Yke,NA,NA,boy
Ymir,Norse,NA,boy
Yngraham,Scandinavian,NA,boy
Ynyr,Welsh,NA,boy
Yitzchak,Hebrew,4510,boy
Yoav,NA,NA,boy
Yoel,Hebrew,2343,boy
Yochanan,Hebrew,10178,boy
Yoelvis,Spanish,NA,boy
Yochonon,NA,NA,boy
Yonas,Hebrew,8238,boy
Yohannan,Hebrew,NA,boy
Yonatan,NA,NA,boy
Yorik,Greek,NA,boy
Yong,NA,NA,boy
York,British,8238,boy
Yorick,British,10873,boy
Yori,NA,NA,boy
Yorath,Welsh,NA,boy
Yorrick,British,NA,boy
Yorke,British,NA,boy
Yosemite,American,12000,boy
Yoshifumi,NA,NA,boy
Yoseff,NA,NA,boy
Yosef,NA,NA,boy
Yoshikazu,NA,NA,boy
Yoshiya,NA,NA,boy
Yoshiaki,NA,NA,boy
Yoshio,NA,NA,boy
Yoshinobu,NA,NA,boy
Yoshihiko,NA,NA,boy
Yoshiro,NA,NA,boy
Yoshito,NA,NA,boy
Yosi,NA,NA,boy
Yoshiyuki,NA,NA,boy
Youman,British,NA,boy
Yosuke,NA,NA,boy
Youri,NA,NA,boy
Yousuf,NA,NA,boy
Yousef,Hebrew,1525,boy
Yotam,NA,NA,boy
Yovanney,Italian,NA,boy
Young,British,11480,boy
Yovanny,Italian,8872,boy
Ysandro,Spanish,NA,boy
Ysander,Spanish,NA,boy
Yovanni,Italian,8238,boy
Yovel,NA,NA,boy
Ysmal,Arabic,NA,boy
Ysidro,Greek,11696,boy
Yudale,British,NA,boy
Yu,NA,NA,boy
Ysmael,Hebrew,10873,boy
Ysmail,Hebrew,NA,boy
Yucatan,Mexican,NA,boy
Yuan,NA,NA,boy
Yudell,British,NA,boy
Yukio,NA,NA,boy
Yukiyo,NA,NA,boy
Yukon,NA,NA,boy
Yul,NA,NA,boy
Yuria,Hebrew,9985,boy
Yuri,Russian,2390,boy
Yurii,Russian,NA,boy
Yule,British,11696,boy
Yunis,NA,NA,boy
Yury,Russian,12167,boy
Yurik,Greek,11599,boy
Yussuf,Hebrew,7979,boy
Yurij,NA,NA,boy
Yusef,NA,NA,boy
Yushua,NA,NA,boy
Yusuf,Hebrew,1101,boy
Yusri,NA,NA,boy
Yusuke,NA,NA,boy
Yusif,Hebrew,5758,boy
Yusuff,NA,NA,boy
Yuval,NA,NA,boy
Yuszef,Hebrew,NA,boy
Yuzo,NA,NA,boy
Yutaka,NA,NA,boy
Yvo,French,NA,boy
Yvor,Scandinavian,NA,boy
Yves,French,7491,boy
Yvon,French,12207,boy
