NAME,ORIGIN,POPULARITY,sex
Zaccariah,Hebrew,11847,boy
Zacaria,Hebrew,10367,boy
Zaccery,Hebrew,NA,boy
Zaccheus,Hebrew,10178,boy
Zacary,Hebrew,9697,boy
Zacchaeus,Hebrew,4670,boy
Zacharjasz,NA,NA,boy
Zac,NA,NA,boy
Zacharia,Hebrew,5560,boy
Zacharyah,NA,NA,boy
Zacheus,Hebrew,10969,boy
Zacarias,Hebrew,4670,boy
Zachary,Hebrew,150,boy
Zackie,Hebrew,6943,boy
Zacheriah,NA,NA,boy
Zackariah,Hebrew,5875,boy
Zabulan,NA,NA,boy
Zackarey,Hebrew,11847,boy
Zacariah,NA,NA,boy
Zachaios,Hebrew,NA,boy
Zachariah,Hebrew,860,boy
Zacharias,Hebrew,3046,boy
Zacherish,Hebrew,NA,boy
Zachery,Hebrew,3220,boy
Zackary,Hebrew,1519,boy
Zack,Hebrew,2047,boy
Zach,Hebrew,4805,boy
Zacharie,Hebrew,7729,boy
Zackery,Hebrew,3322,boy
Zachory,NA,NA,boy
Zackerias,Hebrew,NA,boy
Zaccary,Hebrew,10258,boy
Zadoc,Hebrew,NA,boy
Zafar,Arabic,11480,boy
Zaheer,Arabic,8537,boy
Zadkiel,NA,NA,boy
Zahavi,Hebrew,NA,boy
Zadok,Hebrew,6215,boy
Zahoor,Swahili,NA,boy
Zahir,Arabic,2130,boy
Zahur,Swahili,NA,boy
Zaid,NA,NA,boy
Zahour,Swahili,NA,boy
Zailor,French,NA,boy
Zaine,Hebrew,2915,boy
Zakari,Hebrew,2872,boy
Zakery,Hebrew,11480,boy
Zain,Hebrew,1294,boy
Zak,Hebrew,5141,boy
Zakarie,Hebrew,10778,boy
Zakarias,Hebrew,10178,boy
Zakariyyah,Hebrew,NA,boy
Zakariyya,NA,NA,boy
Zaim,NA,NA,boy
Zalomon,Hebrew,NA,boy
Zakary,Hebrew,4181,boy
Zandros,Slavic,NA,boy
Zalman,Hebrew,7281,boy
Zale,Greek,10778,boy
Zander,Slavic,486,boy
Zaki,Arabic,4562,boy
Zane,Hebrew,391,boy
Zaphar,Arabic,NA,boy
Zandro,Slavic,NA,boy
Zan,Slavic,11599,boy
Zaragosa,NA,NA,boy
Zared,Hebrew,11599,boy
Zann,Slavic,12167,boy
Zarek,Polish,6472,boy
Zay,NA,NA,boy
Zavier,Spanish,1750,boy
Zaviero,Latin,NA,boy
Zawadi,NA,NA,boy
Zayd,NA,NA,boy
Zaylor,French,8872,boy
Zaydok,Hebrew,NA,boy
Zayfir,Greek,NA,boy
Zbyhnev,NA,NA,boy
Zbigniew,NA,NA,boy
Zdislaw,NA,NA,boy
Zaylour,French,NA,boy
Zayyir,Arabic,NA,boy
Zayle,Greek,NA,boy
Zdenek,NA,NA,boy
Zayne,Hebrew,864,boy
Zcharya,NA,NA,boy
Zdravko,NA,NA,boy
Zdeslav,NA,NA,boy
Zechariah,Hebrew,1481,boy
Zdzislaw,NA,NA,boy
Zebadiah,NA,NA,boy
Zebulon,Hebrew,6108,boy
Zebulun,Hebrew,6753,boy
Zecheriah,Hebrew,11710,boy
Zebulen,Hebrew,12335,boy
Zebediah,Hebrew,6623,boy
Zebedee,Hebrew,8872,boy
Ze ev,NA,NA,boy
Zed,Hebrew,7729,boy
Zeb,Hebrew,5988,boy
Zedekias,Hebrew,NA,boy
Zecharya,NA,NA,boy
Zedechiah,Hebrew,NA,boy
Zedekiah,Hebrew,5296,boy
Zefirino,Spanish,NA,boy
Zefarin,Spanish,NA,boy
Zeke,British,1279,boy
Zekariah,Hebrew,11480,boy
Zelik,Yiddish,NA,boy
Zekeriah,Hebrew,11696,boy
Zeligman,Yiddish,NA,boy
Zelig,Yiddish,10778,boy
Zelindo,NA,NA,boy
Zenios,Greek,NA,boy
Zenobios,Greek,NA,boy
Zenas,Greek,11696,boy
Zenobius,Greek,NA,boy
Zenobio,NA,NA,boy
Zenos,Greek,5432,boy
Zenon,Greek,7281,boy
Zeno,Greek,5988,boy
Zephir,Spanish,NA,boy
Zeph,Hebrew,9256,boy
Zeppelin,NA,NA,boy
Zerach,Hebrew,NA,boy
Zeus,Greek,2586,boy
Zephyrinus,NA,NA,boy
Zephyrus,Greek,11480,boy
Zephaniah,Hebrew,2191,boy
Zerah,Hebrew,9266,boy
Zer,NA,NA,boy
Zev,NA,NA,boy
Zephan,Hebrew,7069,boy
Zephariah,Modern,NA,boy
Zero,Arabic,NA,boy
Zevekiah,NA,NA,boy
Zevachiah,NA,NA,boy
Zevadiah,NA,NA,boy
