NAME,ORIGIN,POPULARITY,sex
Aaltje,Dutch,NA,girl
Abalina,Hebrew,NA,girl
Aaliyah,Hebrew,144,girl
Abalene,Hebrew,NA,girl
Aaliya,Hebrew,3949,girl
Abbigael,Hebrew,10367,girl
Aayshah,Arabic,NA,girl
Abagael,Hebrew,11696,girl
Aaricia,Scandinavian,NA,girl
Aagje,Greek,NA,girl
Abbelina,Greek,NA,girl
Aafje,Dutch,NA,girl
Abagale,Hebrew,8905,girl
Aalya,Arabic,9723,girl
Abarrane,Hebrew,NA,girl
Abbi,Hebrew,5758,girl
Abagail,Hebrew,3504,girl
Abbigale,Hebrew,4805,girl
Abame,Hebrew,NA,girl
Aba,African,12473,girl
Aanandini,Indian,NA,girl
Abbigail,Hebrew,1838,girl
Abbigayle,Hebrew,6108,girl
Abageal,Hebrew,NA,girl
Abbegale,Hebrew,11262,girl
Abbegail,Hebrew,11843,girl
Abbeline,Greek,NA,girl
Abbee,Hebrew,11696,girl
Abbygail,Hebrew,2801,girl
Abbye,Hebrew,11262,girl
Abbygale,Hebrew,6472,girl
Aarona,Hebrew,9065,girl
Abaigael,Hebrew,10778,girl
Abbygael,Hebrew,9865,girl
Abagil,Hebrew,NA,girl
Abeetal,Hebrew,NA,girl
Abeedja,Hebrew,NA,girl
Abebi,Nigerian,NA,girl
Abeesha,Hebrew,NA,girl
Abeeja,Hebrew,NA,girl
Abegale,Hebrew,12207,girl
Abelle,Hebrew,NA,girl
Abelia,Hebrew,NA,girl
Abella,Hebrew,3368,girl
Abgail,Hebrew,10378,girl
Aberdeen,Scottish,8238,girl
Abena,Ghanaian,8537,girl
Abidemi,African,NA,girl
Abellona,Greek,NA,girl
Abigel,Hebrew,10959,girl
Abigayil,Hebrew,11262,girl
Abigail,Hebrew,25,girl
Abilene,Hebrew,3081,girl
Abilena,Hebrew,NA,girl
Abichall,Hebrew,NA,girl
Abida,Arabic,10178,girl
Abegail,Hebrew,10178,girl
Abiela,Hebrew,11480,girl
Abiline,Hebrew,NA,girl
Abigil,Hebrew,NA,girl
Abha,Indian,8872,girl
Abigael,Hebrew,3982,girl
Abhaya,Indian,NA,girl
Abigayle,Hebrew,3598,girl
Abigayl,Hebrew,11480,girl
Abina,Ghanaian,NA,girl
Abila,Latin,NA,girl
Abira,Hebrew,8537,girl
Abiona,African,11710,girl
Abishah,Hebrew,NA,girl
Abigale,Hebrew,2853,girl
Abigall,Hebrew,NA,girl
Abital,Hebrew,NA,girl
Abra,Hebrew,8238,girl
Abraba,Ghanaian,NA,girl
Abimbola,African,11998,girl
Abigal,Hebrew,8238,girl
Abla,Arabic,11262,girl
