NAME,ORIGIN,POPULARITY,sex
Babara,Latin,11683,girl
Baba,Latin,11132,girl
Babbett,Latin,7750,girl
Babe,Greek,10485,girl
Babette,French,10378,girl
Babbie,Latin,6242,girl
Babafunmike,African,NA,girl
Baby,British,7729,girl
Baila,Spanish,2762,girl
Badriyyah,Arabic,NA,girl
Baja,Spanish,11696,girl
Baduwa,African,NA,girl
Balaraba,African,NA,girl
Bahija,Arabic,NA,girl
Balbine,Latin,NA,girl
Bakul,Indian,NA,girl
Bailley,British,10746,girl
Bakura,Hebrew,NA,girl
Bailly,British,10271,girl
Baibin,Latin,NA,girl
Babett,Latin,NA,girl
Baleigh,British,4236,girl
Bailei,British,10178,girl
Babbette,Latin,8444,girl
Babita,Latin,9676,girl
Bader,Arabic,7729,girl
Bambi,Italian,11480,girl
Bab,Latin,NA,girl
Babs,Latin,6627,girl
Ballona,Latin,NA,girl
Bahaar,Persian,NA,girl
Bali,British,10178,girl
Banee,Vietnamese,NA,girl
Babb,Latin,NA,girl
Banhi,Indian,NA,girl
Bambie,Italian,9908,girl
Bambina,Italian,5452,girl
Balbina,Latin,12179,girl
Bahira,Hebrew,NA,girl
Babary,Latin,NA,girl
Bambalina,Italian,NA,girl
Bao,Chinese,6913,girl
Bara,Hebrew,11998,girl
Banan,Irish,12473,girl
Barbara,Latin,1474,girl
Barbera,Latin,10485,girl
Barah,Hebrew,NA,girl
Barbeeleen,Latin,NA,girl
Ballade,NA,NA,girl
Barbara Rose,NA,NA,girl
Bamby,Italian,7338,girl
Bano,Arabic,NA,girl
Banita,Indian,12000,girl
Barbel,Latin,NA,girl
Barbarita,Latin,12090,girl
Barabara,Latin,9065,girl
Barbra,Latin,11696,girl
Barbette,Latin,7769,girl
Barbi,Latin,11113,girl
Barinda,Modern,NA,girl
Barbora,Latin,12223,girl
Barbro,Latin,5320,girl
Barbarella,Latin,7206,girl
Bartha,German,5717,girl
Barcelona,Spanish,NA,girl
Barbie,Latin,5758,girl
Baseele,Greek,NA,girl
Barbraann,Latin,NA,girl
Baseelia,Greek,NA,girl
Baseelle,Greek,NA,girl
Barbarit,Latin,NA,girl
Barta,German,4963,girl
Barb,Latin,6902,girl
Basima,Arabic,NA,girl
Barby,Latin,11424,girl
Bashe,Hebrew,NA,girl
Basia,Polish,10969,girl
Basha,Polish,11480,girl
Barbey,Latin,NA,girl
Basilia,Greek,12335,girl
Basille,Greek,NA,girl
Barucha,Hebrew,NA,girl
Bastia,Greek,NA,girl
Bathilda,German,NA,girl
Bathilde,German,NA,girl
Bastiana,Greek,NA,girl
Barri,Irish,10160,girl
Basma,Arabic,5758,girl
Batsheba,Hebrew,NA,girl
Bathshira,Arabic,NA,girl
Bathild,German,NA,girl
Batya,Hebrew,6339,girl
Bat El,Hebrew,NA,girl
Bat-El,Hebrew,NA,girl
Bathseva,Hebrew,NA,girl
Baubie,Latin,NA,girl
Bathshua,Hebrew,NA,girl
Bauby,Latin,NA,girl
Bazeelle,Greek,NA,girl
Bazilla,Greek,NA,girl
Battina,Latin,NA,girl
Bayla,British,4063,girl
Bazile,Greek,NA,girl
Batilda,German,NA,girl
Batilde,German,NA,girl
Batia,Hebrew,NA,girl
Bazeele,Greek,NA,girl
Beatrice,Latin,1030,girl
Bea,British,4425,girl
Beatris,Latin,8634,girl
Batshua,Hebrew,NA,girl
Beate,Latin,8444,girl
Bazille,Greek,NA,girl
Beatrica,Latin,7217,girl
Basja,Polish,NA,girl
Batsheva,Hebrew,3368,girl
Beata,Latin,9256,girl
Bazeelia,Greek,NA,girl
Bathsheba,Hebrew,11480,girl
Beatriss,Latin,NA,girl
Bastienne,Greek,NA,girl
Beah,Latin,10969,girl
Beatrisa,Latin,NA,girl
Bebba,Hebrew,NA,girl
Beatriz,Latin,2468,girl
Beatrix,Latin,1913,girl
Beba,Latin,NA,girl
Beaulah,Hebrew,9142,girl
Becca,Modern,3788,girl
Batista,Latin,NA,girl
Beckey,Hebrew,10281,girl
Bedeelia,Irish,NA,girl
Becki,Hebrew,11896,girl
Beckah,Hebrew,11847,girl
Beeatris,Latin,NA,girl
Beckee,Hebrew,NA,girl
Bedelia,Irish,6979,girl
Beckie,Hebrew,10367,girl
Beeatrice,Latin,NA,girl
Beea,Latin,NA,girl
Beeatriss,Latin,NA,girl
Bechira,Hebrew,NA,girl
Beeatrissa,Latin,NA,girl
Bebe,Persian,10178,girl
Bebhinn,Irish,NA,girl
Beeatrix,Latin,NA,girl
Becky,Hebrew,4562,girl
Beebee,Persian,NA,girl
Bee,Latin,11424,girl
Behnaz,Persian,NA,girl
Becke,Hebrew,NA,girl
Beki,Hebrew,7637,girl
Becka,Hebrew,10778,girl
Beitriss,Latin,NA,girl
Beeja,Indian,NA,girl
Bekkie,Hebrew,NA,girl
Behira,Hebrew,NA,girl
Belah,Latin,12167,girl
Beige,French,9073,girl
Bekka,Hebrew,11567,girl
Beibhinn,Irish,NA,girl
Bekki,Hebrew,10670,girl
Bel,Latin,NA,girl
Belia,Hebrew,9256,girl
Belicia,Hebrew,11480,girl
Belinda,German,2074,girl
Belkys,Arabic,10786,girl
Belita,Spanish,8547,girl
Belkis,Arabic,8905,girl
Belen,Spanish,1331,girl
Belindra,Spanish,NA,girl
Bellette,French,NA,girl
Bellina,French,8872,girl
Belle,French,1569,girl
Belenda,Italian,8915,girl
Belisse,French,NA,girl
Bellynda,German,NA,girl
Beitris,Latin,NA,girl
Begonia,French,NA,girl
Bella,Latin,192,girl
Belanna,NA,NA,girl
Bellanca,Italian,NA,girl
Bena,Hebrew,10873,girl
Belva,Latin,12503,girl
Bellona,Latin,NA,girl
Bellva,Latin,NA,girl
Bendite,Spanish,NA,girl
Belynda,German,11710,girl
Bellita,Spanish,NA,girl
Beeatrisa,Latin,NA,girl
Belladonna,Italian,6339,girl
Benecia,Spanish,9882,girl
Benedetta,Spanish,10287,girl
Beliarosa,Latin,NA,girl
Belona,Latin,NA,girl
Benetta,Spanish,11683,girl
Benadette,German,NA,girl
Belvia,French,8444,girl
Bellinda,German,7750,girl
Benedictine,Latin,NA,girl
Benita,Spanish,7729,girl
Benedyta,Latin,NA,girl
Benigna,Latin,9660,girl
Bellissa,Latin,9723,girl
Benicia,Spanish,11710,girl
Benedicte,Latin,12272,girl
Benedikta,Spanish,NA,girl
Benoite,Spanish,NA,girl
Bente,Latin,7643,girl
Benedicta,Latin,9697,girl
Beracha,Hebrew,NA,girl
Benjamina,Hebrew,NA,girl
Bera,German,10778,girl
Benni,Spanish,11599,girl
Benyameena,Hebrew,NA,girl
Benedykta,Polish,NA,girl
Benyamina,Hebrew,NA,girl
Beonca,Italian,11847,girl
Beranice,Greek,NA,girl
Beniamina,Hebrew,NA,girl
Bep,Hebrew,NA,girl
Berberia,Latin,NA,girl
Beraniece,Greek,NA,girl
Berdine,German,5576,girl
Beradette,German,NA,girl
Berbera,Latin,NA,girl
Bereniece,Greek,NA,girl
Berengaria,British,NA,girl
Bentleigh,British,5384,girl
Berbya,Latin,NA,girl
Berberya,Latin,NA,girl
Beranyce,Greek,NA,girl
Berdie,German,6155,girl
Berenise,Greek,11599,girl
Berenisa,Greek,NA,girl
Berenyce,Greek,NA,girl
Berett,Gaelic,NA,girl
Bergett,Gaelic,NA,girl
Beril,Greek,7338,girl
Berenike,Greek,NA,girl
Bernadea,German,NA,girl
Bernadetta,German,8217,girl
Bergette,Gaelic,NA,girl
Bernadette,German,2403,girl
Bernadeena,German,NA,girl
Bernadina,German,8438,girl
Bernadotte,German,NA,girl
Berget,Gaelic,NA,girl
Bernadene,German,5957,girl
Berenice,Greek,3148,girl
Bernadett,German,10894,girl
Berit,Scandinavian,7281,girl
Bernadyna,German,NA,girl
Bernardine,German,9953,girl
Berenis,Greek,12167,girl
Bernadine,German,11480,girl
Bernardina,German,12473,girl
Bernaetta,German,NA,girl
Bernarda,German,11878,girl
Beret,Scandinavian,11878,girl
Bernardette,German,11878,girl
Berna,German,11911,girl
Bernessa,Greek,9074,girl
Bernadet,German,9155,girl
Berneen,German,NA,girl
Bernee,Greek,NA,girl
Berni,Greek,6943,girl
Berneta,German,8913,girl
Berneice,Greek,9662,girl
Bernicia,Greek,11065,girl
Berneece,Greek,NA,girl
Berniece,Greek,10969,girl
Bernetta,Greek,10866,girl
Bernina,German,7011,girl
Bernette,Greek,10287,girl
Bernadin,German,NA,girl
Bertha,German,5141,girl
Berniss,Greek,NA,girl
Berrte,German,NA,girl
Bernisha,Greek,12179,girl
Bernita,Greek,12179,girl
Bernyce,Greek,5406,girl
Berree,British,NA,girl
Bernice,Greek,4100,girl
Berrti,German,NA,girl
Berrtina,German,NA,girl
Berti,German,NA,girl
Berta,German,11480,girl
Berthe,German,5200,girl
Berte,German,4768,girl
Berthilde,German,NA,girl
Berrie,Greek,7637,girl
Berrty,German,NA,girl
Bernise,Greek,11426,girl
Bertine,German,5315,girl
Bertilda,German,NA,girl
Bernedette,French,9725,girl
Berrit,Scandinavian,NA,girl
Bertrona,Italian,NA,girl
Bertrade,British,NA,girl
Berthilda,German,NA,girl
Bertita,German,NA,girl
Bertina,German,12272,girl
Bertilde,German,NA,girl
Berrta,German,NA,girl
Berri,Greek,7087,girl
Bertuska,German,NA,girl
Bertrice,French,5632,girl
Beruria,Hebrew,NA,girl
Beryn,Greek,NA,girl
Beryle,Greek,5422,girl
Berura,Hebrew,NA,girl
Berylla,Greek,NA,girl
Berucha,Hebrew,NA,girl
Beryl,Greek,9256,girl
Bessy,Hebrew,9266,girl
Bess,Hebrew,10778,girl
Bet,Hebrew,NA,girl
Bessie,Hebrew,9697,girl
Beta,Greek,11248,girl
Beth,Hebrew,4805,girl
Betana,Hebrew,NA,girl
Bethane,British,NA,girl
Bethan,Welsh,11843,girl
Bethanee,Hebrew,9527,girl
Bethahnya,Hebrew,NA,girl
Betha,Celtic,7415,girl
Bethaney,Hebrew,11696,girl
Bethannie,Hebrew,11480,girl
Bethania,Greek,7281,girl
Bethelle,Hebrew,NA,girl
Bethea,Hebrew,5121,girl
Bethanie,Hebrew,5296,girl
Bethani,Hebrew,10258,girl
Bethell,Hebrew,NA,girl
Bethney,Hebrew,11944,girl
Bethanne,Hebrew,12335,girl
Betheny,Hebrew,11599,girl
Betheney,Hebrew,NA,girl
Bethsheba,Hebrew,10287,girl
Bethia,Hebrew,11599,girl
Bethanny,Hebrew,10778,girl
Bethann,Hebrew,9723,girl
Bethenie,Hebrew,NA,girl
Bethuel,Hebrew,NA,girl
Bethany,Hebrew,868,girl
Bethsabee,Hebrew,NA,girl
Bethesda,Hebrew,NA,girl
Bethie,Hebrew,7217,girl
Bethune,Hebrew,NA,girl
Betsie,Hebrew,11127,girl
Bethanney,Hebrew,NA,girl
Betsey,Hebrew,11480,girl
Bets,British,NA,girl
Betina,Hebrew,11599,girl
Betiana,Spanish,NA,girl
Bett,Hebrew,5721,girl
Betsy,Hebrew,2853,girl
Bethy,Hebrew,8792,girl
Bettine,Hebrew,8073,girl
Bethuna,Hebrew,NA,girl
Betta,Hebrew,6192,girl
Betti,Hebrew,10491,girl
Bette,Hebrew,7729,girl
Beulah,Hebrew,7491,girl
Betia,Hebrew,NA,girl
Bettyann,American,12335,girl
Beverle,British,6351,girl
Beula,Hebrew,6271,girl
Bevlyn,British,NA,girl
Bettina,Latin,7979,girl
Betts,British,NA,girl
Bettie,British,10178,girl
Bewlah,Hebrew,NA,girl
Bettye,Hebrew,12043,girl
Bevverly,British,NA,girl
Beverlye,British,6761,girl
Betty,Hebrew,2119,girl
Bhavika,Indian,9256,girl
Beverlianne,American,NA,girl
Beyonca,Italian,11696,girl
Bevverlie,British,NA,girl
Bevie,British,5247,girl
Bevalee,British,NA,girl
Bhanumati,Indian,NA,girl
Beyonce,Modern,10778,girl
Bibianna,Spanish,10873,girl
Bharati,Indian,NA,girl
Bhumika,Indian,11132,girl
Bhuma,Indian,NA,girl
Bevvy,British,NA,girl
Bibiana,Spanish,6339,girl
Beverlee,British,11424,girl
Bevany,Welsh,NA,girl
Bich,Vietnamese,11948,girl
Biddy,Gaelic,5721,girl
Bianey,Italian,9256,girl
Bhamini,Indian,NA,girl
