NAME,ORIGIN,POPULARITY,sex
Cabalina,Spanish,NA,girl
Cadena,Latin,NA,girl
Cacelia,Welsh,NA,girl
Cadette,French,NA,girl
Cadence,Latin,697,girl
Cadi,Greek,10507,girl
Cady,Greek,5660,girl
Caecilia,German,NA,girl
Caelin,Greek,7729,girl
Caela,Irish,10778,girl
Cadee,Greek,9256,girl
Caeleigh,NA,NA,girl
Caelee,NA,NA,girl
Caeliana,NA,NA,girl
Caelestis,Latin,NA,girl
Caci,Irish,11480,girl
Cadenza,Latin,NA,girl
Caelia,Latin,11599,girl
Cacia,Irish,12043,girl
Caeli,NA,NA,girl
Cadey,Greek,10507,girl
Cacie,Irish,12211,girl
Cadance,Latin,7491,girl
Caddy,Latin,NA,girl
Cacau,NA,NA,girl
Caerleigh,British,NA,girl
Caelainn,Irish,11127,girl
Caelie,NA,NA,girl
Cacy,Irish,11455,girl
Caeley,Celtic,9425,girl
Cadhla,Irish,9970,girl
Caelyn,Irish,3627,girl
Caera,Latin,11710,girl
Caia,NA,NA,girl
Cadye,Greek,NA,girl
Cadie,Greek,7979,girl
Caila,Irish,5384,girl
Caetlin,Greek,10271,girl
Caidie,Greek,NA,girl
Caihla,Irish,NA,girl
Cahlie,Greek,NA,girl
Cailie,Irish,10178,girl
Cailene,Greek,NA,girl
Cailynn,Greek,4181,girl
Caileen,Gaelic,9852,girl
Caisi,Irish,NA,girl
Caiti,Greek,NA,girl
Caitie,Greek,12503,girl
Caili,NA,NA,girl
Caitlan,Greek,11843,girl
Cait,Greek,10258,girl
Caileigh,Irish,4730,girl
Caitland,Greek,11424,girl
Caitlinn,Greek,10668,girl
Caitlyne,Greek,12335,girl
Caitlin,Greek,1878,girl
Cailyn,Greek,2741,girl
Caitlandt,Greek,NA,girl
Caisee,Irish,NA,girl
Caitey,Greek,NA,girl
Caitriona,Greek,11480,girl
Caisie,Irish,NA,girl
Caitlen,Greek,10828,girl
Caitrionagh,Greek,NA,girl
Caisey,Irish,11283,girl
Caitrin,Greek,10959,girl
Caitria,Greek,11957,girl
Caitrinn,Greek,NA,girl
Calandre,Greek,NA,girl
Caitlynn,Greek,4510,girl
Cailen,Greek,8537,girl
Caitlyn,Greek,1750,girl
Caity,Greek,12207,girl
Cala,Arabic,11480,girl
Calantha,Greek,12043,girl
Calandria,Greek,10786,girl
Calandra,Greek,10778,girl
Calee,Greek,6339,girl
Calen,Greek,3682,girl
Caleigh,Irish,2426,girl
Calin,Greek,6215,girl
Calico,British,NA,girl
Caitrine,Greek,NA,girl
Caleen,Greek,10028,girl
Calanthe,Greek,5854,girl
Cali,Latin,546,girl
Calie,Greek,4936,girl
Caledonia,Latin,8872,girl
Caleena,Greek,11480,girl
California,Spanish,7979,girl
Calinda,Greek,10491,girl
Calesta,Latin,NA,girl
Calendre,Greek,NA,girl
Calina,Greek,5000,girl
Calista,Latin,2097,girl
Callesta,Latin,NA,girl
Calipso,Greek,NA,girl
Calissa,Latin,7729,girl
Callee,Greek,6339,girl
Calida,Spanish,9719,girl
Caliopa,NA,NA,girl
Calli,Spanish,3148,girl
Callen,Scottish,1021,girl
Calley,Greek,10778,girl
Callida,Spanish,NA,girl
Calisto,Latin,11710,girl
Callisto,Greek,9256,girl
Calla,Greek,2235,girl
Calliope,Greek,1578,girl
Callia,Greek,7979,girl
Cally,Latin,7729,girl
Callypso,Greek,NA,girl
Callidora,Greek,NA,girl
Caltha,Latin,NA,girl
Calpurnia,Latin,NA,girl
Calvine,Latin,NA,girl
Callie,Greek,457,girl
Calogera,Italian,5133,girl
Calypso,Greek,6913,girl
Cambaria,Welsh,NA,girl
Calvinna,Latin,NA,girl
Camala,Latin,11957,girl
Calvina,Latin,10539,girl
Callysta,Latin,11132,girl
Calyn,Greek,5875,girl
Cambree,Welsh,2513,girl
Calyssa,Latin,11480,girl
Callista,Latin,3682,girl
Callula,Latin,NA,girl
Callyope,Greek,NA,girl
Cama,Latin,8913,girl
Calvinne,Latin,NA,girl
Camelia,Latin,4936,girl
Camela,Latin,12167,girl
Calysta,Latin,7729,girl
Camberleigh,NA,NA,girl
Camaran,Scottish,NA,girl
Calynda,Greek,NA,girl
Cambria,Welsh,1816,girl
Calynn,Scottish,6215,girl
Calligenia,Greek,NA,girl
Camelita,NA,NA,girl
Camella,Latin,11480,girl
Cameran,Scottish,3890,girl
Cameshia,Scottish,9079,girl
Camellia,Latin,3368,girl
Cameren,Scottish,6215,girl
Camesha,Scottish,10917,girl
Camila,Latin,96,girl
Camey,Celtic,12207,girl
Camia,Latin,5988,girl
Cameryn,Scottish,2993,girl
Cameo,Italian,8238,girl
Camill,Latin,11567,girl
Cameri,Scottish,NA,girl
Camilla,Latin,678,girl
Cammeo,Italian,NA,girl
Camillia,Latin,7491,girl
Camie,Celtic,11480,girl
Cammi,Latin,10178,girl
