NAME,ORIGIN,POPULARITY,sex
Dafneigh,Greek,NA,girl
Daffodil,French,NA,girl
Dafne,Greek,3065,girl
Dacee,Latin,12473,girl
Dacie,Latin,9025,girl
Dagmar,Scandinavian,11599,girl
Dagne,Norse,11455,girl
Dagna,Norse,NA,girl
Daisey,Irish,7069,girl
Dahlia,Swedish,751,girl
Dahlina,German,NA,girl
Daanelle,Hebrew,NA,girl
Dahnya,Italian,10504,girl
Daena,British,10178,girl
Dail,British,12000,girl
Dacia,Latin,8537,girl
Dahnisha,Danish,NA,girl
Daffie,Greek,6242,girl
Daina,Hebrew,8872,girl
Daisi,British,11599,girl
Daeira,Spanish,NA,girl
Daianira,Spanish,NA,girl
Daelyn,British,2958,girl
Daira,Spanish,5474,girl
Dahiana,Swedish,7491,girl
Daffi,Greek,NA,girl
Dafnee,Greek,11262,girl
Daisee,British,9266,girl
Dafna,Greek,9527,girl
Daicee,Irish,NA,girl
Daizy,British,6339,girl
Daisie,British,6753,girl
Dalayla,NA,NA,girl
Dajah,Spanish,10178,girl
Daija,Spanish,7281,girl
Dafnie,Greek,NA,girl
Daleia,Swedish,NA,girl
Daisy,British,415,girl
Dalibora,Czech,NA,girl
Dahna,Italian,11599,girl
Daliborka,NA,NA,girl
Dalene,British,9806,girl
Dalal,NA,NA,girl
Daliah,Hebrew,4327,girl
Dalise,Latin,NA,girl
Dalia,Hebrew,1761,girl
Dalicia,Latin,10367,girl
Daline,German,NA,girl
Dalisha,Latin,11451,girl
Daliya,Hebrew,11480,girl
Dalina,German,8537,girl
Dalena,British,8537,girl
Dalit,Hebrew,NA,girl
Dalanna,Hebrew,11847,girl
Dalila,Swahili,2481,girl
Dalores,Spanish,5367,girl
Dalmace,Latin,NA,girl
Dalma,Latin,10917,girl
Damalas,Latin,NA,girl
Dalyah,Hebrew,8537,girl
Daliyah,Hebrew,3568,girl
Dalla,Swedish,NA,girl
Dalmatia,Latin,NA,girl
Dalmassa,Latin,NA,girl
Damaress,Latin,NA,girl
Damalit,Latin,NA,girl
Dalisse,Latin,NA,girl
Damariss,Latin,NA,girl
Damariz,Latin,10778,girl
Dalya,Hebrew,8537,girl
Damaris,Latin,2279,girl
Dalenna,Hebrew,12000,girl
Damalis,Latin,NA,girl
Damhnait,NA,NA,girl
Damalla,Latin,NA,girl
Damayanti,Indian,9853,girl
Damerys,Latin,NA,girl
Dameryss,Latin,NA,girl
Damica,NA,NA,girl
Damiana,Greek,6339,girl
Damiane,Greek,12207,girl
Damiris,Latin,NA,girl
Damris,Latin,NA,girl
Dama,Spanish,9004,girl
Damyana,Greek,NA,girl
Damara,Latin,9256,girl
Damya,Greek,4454,girl
Danaca,Slavic,12090,girl
Damienne,Greek,NA,girl
Damita,Spanish,11262,girl
Dandelion,French,NA,girl
Damyenne,Greek,NA,girl
Danee,Hebrew,11696,girl
Danele,Hebrew,10510,girl
Dameris,Latin,NA,girl
Danelle,Hebrew,7281,girl
