NAME,ORIGIN,POPULARITY,sex
Earla,British,6169,girl
Eadaoin,Irish,NA,girl
Eadie,British,11843,girl
Earnestine,German,11455,girl
Eanid,Welsh,NA,girl
Earline,British,11878,girl
Earlina,British,7229,girl
Earleen,British,8106,girl
Eadith,British,NA,girl
Earlena,British,11938,girl
Earvina,British,NA,girl
Earlene,British,12503,girl
Eartha,British,10491,girl
Eboni,Latin,9256,girl
Earletta,British,5946,girl
Earvette,British,NA,girl
Earldene,British,5796,girl
Ebboney,Latin,NA,girl
Eavan,Gaelic,10178,girl
Ebonee,Latin,9970,girl
Ebonie,Latin,10378,girl
Easter,Egyptian,11696,girl
Ebonney,Latin,NA,girl
Ebone,NA,NA,girl
Eba,Latin,NA,girl
Ebba,Norse,8238,girl
Eberta,German,NA,girl
Eboney,Latin,9690,girl
Earldina,British,NA,girl
Ebonny,Latin,NA,girl
Ebbony,Latin,10685,girl
Ecaterina,Greek,7748,girl
Earldena,British,NA,girl
Echerem,African,NA,girl
Earlean,NA,NA,girl
Ebonni,Latin,NA,girl
Ebonyi,Latin,NA,girl
Ebuka,African,NA,girl
Ebonique,Latin,11455,girl
Eaglin,Latin,NA,girl
Edeline,German,8537,girl
Edana,Gaelic,12503,girl
Ede,British,10287,girl
Eddna,Hebrew,NA,girl
Eddnah,Hebrew,NA,girl
Eddi,Hebrew,11480,girl
Echo,Latin,2722,girl
Eda,British,6753,girl
Edelynn,British,7281,girl
Edelmira,Spanish,12207,girl
Edeena,British,NA,girl
Edda,Norse,10178,girl
Edira,Hebrew,NA,girl
Edelle,German,10504,girl
Edie,British,2403,girl
Ebbe,Norse,5758,girl
Edith,British,926,girl
Edeltruda,NA,NA,girl
Editta,NA,NA,girl
Edenia,Hebrew,NA,girl
Ediva,British,NA,girl
Edlynn,British,10778,girl
Ednah,Hebrew,5390,girl
Edmee,British,6246,girl
Edma,British,5425,girl
Edlyn,British,7729,girl
Edithe,British,4957,girl
Edee,British,10778,girl
Edina,British,9256,girl
Edmunda,British,NA,girl
Edrea,British,NA,girl
Edelie,German,NA,girl
Edmea,British,NA,girl
Edgarda,NA,NA,girl
Edmonda,British,NA,girl
Eduarda,NA,NA,girl
Edlinn,British,NA,girl
Edvige,NA,NA,girl
Edita,British,11567,girl
Eduvigis,German,NA,girl
Edvigis,German,NA,girl
Edvig,German,NA,girl
Editha,British,7828,girl
Edwarda,British,5331,girl
Edna,Hebrew,3322,girl
Edwardeen,British,NA,girl
Edwardine,British,7019,girl
Edra,British,10670,girl
Edris,Welsh,8238,girl
Edwardene,British,NA,girl
Edwina,British,9697,girl
Edwig,German,NA,girl
Edlinna,British,NA,girl
Edwardina,British,NA,girl
Edwyna,British,6637,girl
Edwige,German,NA,girl
Edwine,British,NA,girl
Edwiena,British,NA,girl
Edwena,British,9117,girl
Edy,British,7979,girl
Edwinna,British,9953,girl
Eeva,Hebrew,7491,girl
Edytha,British,5959,girl
Edwardyne,British,NA,girl
Effi,Greek,NA,girl
Eevette,French,NA,girl
Edyth,British,10178,girl
Effy,Greek,10778,girl
Effam,Greek,NA,girl
Effemy,Greek,NA,girl
Edweena,British,NA,girl
Eevonne,German,NA,girl
Edwynne,British,NA,girl
Eedris,Welsh,NA,girl
Effiegene,NA,NA,girl
Effemie,Greek,NA,girl
Eepa,NA,NA,girl
Edyta,Polish,12167,girl
Egbertyna,British,NA,girl
Efua,Ghanaian,11142,girl
Effie,Greek,3598,girl
Egberta,British,NA,girl
Egbertine,British,NA,girl
Edyna,British,NA,girl
Efthemia,Greek,NA,girl
Egbertha,British,NA,girl
Efigenia,Greek,10485,girl
Egbertina,British,NA,girl
Efrata,Hebrew,6913,girl
Egidiana,Greek,NA,girl
Egidia,Greek,NA,girl
Egelina,Latin,NA,girl
Edythe,British,8238,girl
Egbertyne,British,NA,girl
Egilina,Latin,NA,girl
Eglantine,Latin,NA,girl
Eena,Hebrew,NA,girl
Ehtel,British,NA,girl
