NAME,ORIGIN,POPULARITY,sex
Fabianne,Latin,NA,girl
Fabienne,Latin,10668,girl
Fadila,NA,NA,girl
Fabiana,Latin,4236,girl
Fabia,Latin,9841,girl
Fabrizia,Italian,NA,girl
Fabianna,Latin,10178,girl
Fairy,NA,NA,girl
Fairuz,NA,NA,girl
Fabricia,Italian,NA,girl
Fahima,NA,NA,girl
Faline,Latin,11843,girl
Fabritzia,Italian,NA,girl
Fafa,NA,NA,girl
Fabra,Latin,NA,girl
Falicia,Latin,11567,girl
Faleece,Latin,NA,girl
Fabriqua,Italian,NA,girl
Falisha,Latin,10378,girl
Faina,French,11696,girl
Falecia,Latin,12223,girl
Falishia,Latin,9470,girl
Faith,British,245,girl
Faeleen,Latin,NA,girl
Fairouz,NA,NA,girl
Faithe,British,10178,girl
Fabiola,Latin,3125,girl
Faiza,NA,NA,girl
Fallyn,Irish,3543,girl
Fan,Latin,5717,girl
Fakhriyya,NA,NA,girl
Fallen,Irish,9995,girl
Fabrienne,Italian,8100,girl
Fairuza,NA,NA,girl
Fadia,NA,NA,girl
Fabiane,Latin,NA,girl
Fancey,Latin,NA,girl
Fanechka,Latin,NA,girl
Fancie,Latin,11155,girl
Fanceen,Latin,NA,girl
Fallan,Irish,9266,girl
Fae,French,5560,girl
Fadora,Greek,NA,girl
Fancy,Latin,9697,girl
Fantasia,NA,NA,girl
Fanney,Latin,NA,girl
Fantaysha,NA,NA,girl
Fannia,Latin,NA,girl
Fanchette,Latin,NA,girl
Fanny,Latin,5660,girl
Fannie,Latin,4624,girl
Fannee,Latin,NA,girl
Fara,British,9697,girl
Fareena,Latin,NA,girl
Fanya,Latin,10778,girl
Fanni,Latin,NA,girl
Farida,NA,NA,girl
Fania,Latin,12167,girl
Farah,British,2302,girl
Farica,German,9953,girl
Faren,British,10873,girl
Farnaz,NA,NA,girl
Fariha,NA,NA,girl
Fatimah,Arabic,2707,girl
Farina,Latin,11599,girl
Farzin,NA,NA,girl
Fardoos,NA,NA,girl
Fatima,Arabic,614,girl
Fateemah,Arabic,10510,girl
Fantine,Latin,NA,girl
Farrah,British,1624,girl
Farryn,British,6913,girl
Fathiyya,NA,NA,girl
Faun,French,10510,girl
Fauna,NA,NA,girl
Fauniel,NA,NA,girl
Fatmah,Arabic,10378,girl
Faustina,Latin,6108,girl
Fatin,NA,NA,girl
Faune,NA,NA,girl
Fawn,French,6623,girl
Fausta,Latin,5446,girl
Faunia,French,NA,girl
Fariba,NA,NA,girl
Favianna,Latin,NA,girl
Faryn,British,7281,girl
Faviola,Latin,7979,girl
Faricka,German,NA,girl
Faustine,Latin,11480,girl
Fawnia,French,10518,girl
Farra,British,11843,girl
Fawziyya,NA,NA,girl
Faustyna,NA,NA,girl
Fateema,Arabic,12272,girl
Fayda,Arabic,NA,girl
Fayline,Latin,NA,girl
Fawne,French,8650,girl
Fawnya,French,NA,girl
Fayanna,French,NA,girl
Faydra,Greek,12473,girl
Fayetta,French,8535,girl
Febe,Greek,7979,girl
Feather,NA,NA,girl
Fayth,British,3788,girl
Fayza,NA,NA,girl
Fayrouz,NA,NA,girl
Fedila,Latin,NA,girl
Fecelia,Latin,NA,girl
Fedora,Greek,11480,girl
Felecia,NA,NA,girl
Fayruz,NA,NA,girl
Fauniella,NA,NA,girl
Fauste,Latin,NA,girl
Fedelma,Irish,NA,girl
Faythe,British,9697,girl
Fedra,Greek,11094,girl
Fei,NA,NA,girl
Feleicia,NA,NA,girl
Federica,German,8537,girl
Feike,NA,NA,girl
Felicia,Latin,4282,girl
Feliciana,Latin,8905,girl
February,NA,NA,girl
Felia,NA,NA,girl
Fawna,French,12207,girl
Feenix,Greek,NA,girl
Feliciona,Latin,NA,girl
Felicie,Latin,9142,girl
Felicidad,Latin,10518,girl
Felica,NA,NA,girl
Felicity,Latin,700,girl
Fedosya,NA,NA,girl
Feliss,Latin,NA,girl
"Felicity,",NA,NA,girl
Felisa,Latin,11696,girl
Felipa,Greek,11843,girl
Felicienne,Latin,NA,girl
Felicite,Latin,12335,girl
Felina,Latin,10258,girl
Feliz,Latin,9723,girl
Feliece,NA,NA,girl
Felisha,Latin,9697,girl
Fe,British,11480,girl
Feliza,Latin,11716,girl
Felicyta,NA,NA,girl
Felise,Latin,10485,girl
Felizia,NA,NA,girl
Felita,Latin,12000,girl
Femke,NA,NA,girl
Felysse,Latin,NA,girl
Felicitas,Latin,10778,girl
Fennel,Latin,NA,girl
Femie,Greek,NA,girl
Feodora,Russian,11480,girl
Felixa,NA,NA,girl
Femia,Greek,NA,girl
Female,NA,NA,girl
Femi,NA,NA,girl
Ferdinanda,German,NA,girl
Felipina,NA,NA,girl
Fenia,Scandinavian,NA,girl
Felmine,German,NA,girl
Feodosia,Greek,NA,girl
Fenya,NA,NA,girl
Feodoriya,NA,NA,girl
Fenja,NA,NA,girl
Felicita,Latin,9575,girl
Fermina,German,11599,girl
Felis,Latin,10428,girl
Fernanda,German,869,girl
Fenella,Irish,NA,girl
Fericka,German,NA,girl
Fernande,German,6447,girl
Fernandina,German,NA,girl
Fern,British,3201,girl
Feyline,Latin,NA,girl
Fernandine,German,NA,girl
Ferryn,British,9697,girl
Fatma,Arabic,5384,girl
Ferne,British,7837,girl
Fiala,Czech,12473,girl
Fernly,British,NA,girl
Ffion,Irish,NA,girl
Fernlie,British,NA,girl
Ferna,British,5641,girl
Ffiona,Irish,NA,girl
Ffyona,Irish,NA,girl
Fideila,Latin,NA,girl
Fiamma,Italian,11599,girl
Ferdinande,German,NA,girl
Fiammetta,Italian,NA,girl
Fidelita,Latin,NA,girl
Fidela,Latin,12223,girl
Fidelia,Latin,11847,girl
Fidanka,NA,NA,girl
Fidelma,Irish,NA,girl
Fidelity,Latin,NA,girl
Fidda,NA,NA,girl
Fikriyya,NA,NA,girl
Fiby,Spanish,NA,girl
Fifi,French,7189,girl
Filikitata,NA,NA,girl
Fidessa,Latin,NA,girl
Fidella,Latin,5854,girl
Filania,Greek,NA,girl
Fidelina,Latin,11248,girl
Fila,Greek,NA,girl
Fifine,Hebrew,NA,girl
Filipa,Greek,11696,girl
Filicia,Latin,10670,girl
