NAME,ORIGIN,POPULARITY,sex
Gabbe,Hebrew,NA,girl
Gabriella,Hebrew,162,girl
Gabrila,Hebrew,NA,girl
Gabryella,Hebrew,6339,girl
Gabriala,NA,NA,girl
Gabrina,NA,NA,girl
Gabrielle,Hebrew,476,girl
Gabielle,NA,NA,girl
Gabriela,Hebrew,535,girl
Gafna,Hebrew,NA,girl
Gaenna,Welsh,NA,girl
Gabija,NA,NA,girl
Gabysia,Hebrew,NA,girl
Gai,French,7041,girl
Gabriellen,Hebrew,NA,girl
Gaia,Greek,2976,girl
Gaenor,Welsh,NA,girl
Gaiana,Greek,NA,girl
Gabrial,NA,NA,girl
Gabrijela,NA,NA,girl
Gaetana,Italian,12335,girl
Gabriellia,Hebrew,12473,girl
Gabrille,NA,NA,girl
Gabryel,Hebrew,7491,girl
Gaila,Hebrew,10614,girl
Gabriell,Hebrew,7281,girl
Gahl,Hebrew,NA,girl
Gada,Hebrew,NA,girl
Gala,French,4019,girl
Gaiea,Greek,NA,girl
Gaetane,Italian,NA,girl
Galadriel,NA,NA,girl
Gabryelle,Hebrew,9697,girl
Gaea,Greek,11843,girl
Galatea,Greek,12272,girl
Galathea,Greek,NA,girl
Galatee,Greek,NA,girl
Galea,British,NA,girl
Gali,NA,NA,girl
Galaxy,NA,NA,girl
Galia,Hebrew,7281,girl
Galiena,German,NA,girl
Galiana,Arabic,10178,girl
Galianna,German,NA,girl
Galena,British,10178,girl
Galina,Greek,10778,girl
Galila,Hebrew,NA,girl
Galla,Latin,NA,girl
Gallia,Latin,NA,girl
Galliena,German,NA,girl
Ganga,NA,NA,girl
Gambhira,Indian,NA,girl
Galilah,Hebrew,NA,girl
Garda,Norse,4980,girl
Garlande,French,NA,girl
Galyena,German,NA,girl
Gat,NA,NA,girl
Ganit,Hebrew,NA,girl
Gates,NA,NA,girl
Garnette,British,10287,girl
Gaudenzia,NA,NA,girl
Gallya,Hebrew,NA,girl
Gavina,Latin,8326,girl
Gauri,NA,NA,girl
Gavrila,Hebrew,NA,girl
Gavriella,Hebrew,8872,girl
Gaspara,NA,NA,girl
Ganah,Hebrew,NA,girl
Gavraila,Hebrew,NA,girl
Gavi,Hebrew,12473,girl
Gatita,NA,NA,girl
Gavrylla,NA,NA,girl
Garima,NA,NA,girl
Gavryla,NA,NA,girl
Gavra,Hebrew,NA,girl
Garldina,French,NA,girl
Gavrielle,Hebrew,11480,girl
Gayel,Hebrew,5057,girl
Gavriela,NA,NA,girl
Gaylene,Hebrew,11878,girl
Gaybriel,NA,NA,girl
Gayelle,Hebrew,NA,girl
Gana,Hebrew,11696,girl
Gavrina,Hebrew,NA,girl
Gayla,Hebrew,10959,girl
Gardenia,Scottish,9256,girl
Gaylla,Hebrew,NA,girl
Gayleen,Hebrew,10518,girl
Gaynelle,NA,NA,girl
Gaylyn,NA,NA,girl
Geanndra,NA,NA,girl
Gaylle,Hebrew,NA,girl
Gearldine,NA,NA,girl
Gazelle,Latin,11710,girl
Gayline,Hebrew,NA,girl
Gavrilla,Hebrew,NA,girl
Geena,American,10178,girl
Geana,NA,NA,girl
Gaynell,NA,NA,girl
GeeGee,French,NA,girl
Geenya,Latin,NA,girl
Gayll,Hebrew,NA,girl
Gayna,Welsh,8444,girl
Geelah,Hebrew,NA,girl
Geah,NA,NA,girl
Geertruida,NA,NA,girl
Geela,Hebrew,NA,girl
Geelan,Hebrew,NA,girl
Geanna,NA,NA,girl
Geeta,Sanskrit,11599,girl
Geina,NA,NA,girl
Gelsomina,Italian,7667,girl
Geiliya,Hebrew,NA,girl
Geertje,NA,NA,girl
Gelila,Hebrew,5875,girl
Gemella,Greek,NA,girl
Geenia,Latin,NA,girl
Gazella,Latin,7080,girl
Gelilah,Hebrew,NA,girl
Geerda,Norse,NA,girl
Gemilea,NA,NA,girl
Geltrudis,German,NA,girl
Gemine,German,NA,girl
Geertruide,German,NA,girl
Geleexa,NA,NA,girl
Gemelle,Greek,NA,girl
Gem,Latin,7729,girl
Geila,Hebrew,NA,girl
Gelilia,Hebrew,NA,girl
Gema,NA,NA,girl
Geltruda,German,NA,girl
Gemy,NA,NA,girl
Geiliyah,Hebrew,NA,girl
Gemini,Greek,5062,girl
Gemma,Latin,527,girl
Gemmalyn,Latin,NA,girl
Gelya,Greek,NA,girl
Genaida,NA,NA,girl
Gemmalynn,Latin,10969,girl
Gelilya,Hebrew,NA,girl
Genaya,British,10828,girl
Gena,Greek,8872,girl
Genae,British,10873,girl
Genara,Spanish,9940,girl
Genalyn,NA,NA,girl
Geneene,NA,NA,girl
Genavieve,French,5384,girl
Genesiss,Hebrew,11094,girl
Geneieve,NA,NA,girl
Genesies,Hebrew,NA,girl
Genelle,NA,NA,girl
Geneesta,NA,NA,girl
Generosa,NA,NA,girl
Geneva,French,1991,girl
Gemina,Greek,NA,girl
Genessa,Hebrew,7729,girl
Geneveeve,French,NA,girl
Genevie,French,5560,girl
Geneve,French,10507,girl
Genette,NA,NA,girl
Genevia,French,11455,girl
Genever,Welsh,5688,girl
Genevive,NA,NA,girl
Genie,Hebrew,8258,girl
Genifer,NA,NA,girl
Genevre,French,NA,girl
Geneveve,NA,NA,girl
Geniffer,Welsh,10725,girl
Genisis,Hebrew,5560,girl
Genevieve,French,413,girl
Genista,Latin,NA,girl
Genivee,French,NA,girl
Geniver,Welsh,NA,girl
Genevra,Welsh,12207,girl
Genisia,Hebrew,NA,girl
Genisa,Hebrew,NA,girl
Genna,British,8872,girl
Gennelle,NA,NA,girl
Genivra,Welsh,NA,girl
Genivieve,French,11094,girl
Gennesiss,Hebrew,NA,girl
Gennifer,Welsh,11998,girl
Genni,Welsh,9995,girl
Gennifur,NA,NA,girl
Genita,NA,NA,girl
Gennie,Welsh,12106,girl
Genia,Latin,10778,girl
Gennara,Spanish,NA,girl
Genvieve,NA,NA,girl
Genny,Welsh,11710,girl
Gennisheyo,NA,NA,girl
Genovera,French,NA,girl
Genovefa,French,NA,girl
Gennivre,Welsh,NA,girl
Geoconda,Italian,NA,girl
Geonna,Italian,10178,girl
Genoveva,French,7729,girl
Genoveffa,French,NA,girl
Georganna,German,10367,girl
Georganne,NA,NA,girl
Georgeann,Latin,12207,girl
Georgann,NA,NA,girl
Genya,Latin,12207,girl
Georgeina,Latin,5796,girl
Georgeanna,NA,NA,girl
Georgett,NA,NA,girl
Georgejean,Latin,NA,girl
Georgia,Latin,479,girl
Georgina,Latin,2527,girl
Georgette,Latin,6108,girl
Georgienne,Latin,NA,girl
Georgianna,Latin,5875,girl
Georgyann,Latin,NA,girl
Georgeta,NA,NA,girl
Georgianne,Latin,10539,girl
Georgean,NA,NA,girl
Georgiann,NA,NA,girl
Georgetta,Latin,12211,girl
Georgene,Latin,8650,girl
Georjette,Latin,NA,girl
Geradine,NA,NA,girl
Georgena,Latin,11998,girl
Georgiana,Latin,2872,girl
Georgine,Latin,11998,girl
Geraldin,NA,NA,girl
Geovana,Italian,9723,girl
Georgyana,Latin,NA,girl
Georjetta,Latin,NA,girl
Geraldene,German,8257,girl
Georgeanne,Latin,12335,girl
Geralyn,German,10959,girl
Geralynne,German,NA,girl
Geraldina,German,11944,girl
Geovanna,Italian,6108,girl
Geranium,Greek,NA,girl
Geraldeen,German,6351,girl
Gerardine,British,10866,girl
Geraldine,German,2468,girl
Georgyanne,Latin,NA,girl
Gerardina,British,9662,girl
Geralda,German,9644,girl
Geralynn,German,11710,girl
Gerda,Norse,7769,girl
Gerardyne,British,NA,girl
Gerdr,NA,NA,girl
Gerdene,German,NA,girl
Gerdine,German,NA,girl
Gerianna,German,NA,girl
Geren,NA,NA,girl
Gerianne,German,12000,girl
Geri,British,11480,girl
Gericka,British,NA,girl
Gerilyn,NA,NA,girl
Gerica,British,11307,girl
Gerilynne,NA,NA,girl
Gerika,British,11127,girl
Gererdina,British,NA,girl
Gerarda,British,11948,girl
Gerrardene,British,NA,girl
Germine,German,NA,girl
Gerlinde,NA,NA,girl
Gerrilyn,German,10894,girl
Germaya,German,NA,girl
Germana,Latin,NA,girl
Gerrie,NA,NA,girl
Gerrica,NA,NA,girl
Gerilynn,German,11948,girl
Gerta,German,5454,girl
Gerroldine,German,NA,girl
Gerlinda,NA,NA,girl
Gertie,German,11843,girl
Gertrudis,German,8370,girl
Gertraud,German,NA,girl
Ghadir,NA,NA,girl
Gertha,NA,NA,girl
Geulah,Hebrew,NA,girl
Gertina,German,NA,girl
Gevira,Hebrew,NA,girl
Gesa,NA,NA,girl
Gertruda,German,NA,girl
Gerty,German,NA,girl
Ghisella,German,NA,girl
Ghislain,NA,NA,girl
Ghilian,Latin,NA,girl
Ghaliya,Arabic,NA,girl
Gerusha,Hebrew,NA,girl
Gertude,NA,NA,girl
Ghiliane,Latin,NA,girl
Ghalia,NA,NA,girl
Ghisele,German,NA,girl
Gia,Italian,730,girl
Gewnsnay,NA,NA,girl
Ghillian,Latin,NA,girl
Gerte,German,NA,girl
Ghislaine,French,8801,girl
Giacintha,Spanish,NA,girl
Ghita,Italian,10778,girl
Giacinthia,Spanish,NA,girl
Ghada,NA,NA,girl
Geula,NA,NA,girl
Gertrud,German,5816,girl
Giacintia,Greek,NA,girl
Gianetta,Scottish,7707,girl
Giardeena,NA,NA,girl
Gianina,Italian,9256,girl
Gianella,Italian,4236,girl
Giana,Italian,1582,girl
Gianessa,NA,NA,girl
Giardena,NA,NA,girl
Giacoma,NA,NA,girl
Giavanna,Italian,1838,girl
Giannine,Italian,NA,girl
Gidget,NA,NA,girl
Giesell,NA,NA,girl
Giannina,Italian,9266,girl
Giardina,NA,NA,girl
Giesela,NA,NA,girl
Gila,Hebrew,10178,girl
Giacinta,Italian,NA,girl
Giacinda,Spanish,NA,girl
Gilberta,German,9662,girl
Gigi,French,3598,girl
Gilberte,German,4990,girl
Gilana,Hebrew,11998,girl
Gianna,Italian,226,girl
Gilbertina,German,NA,girl
Gilia,Hebrew,11480,girl
Gilda,British,9256,girl
Gilbertine,German,NA,girl
Gilberthe,German,NA,girl
Gilah,Hebrew,NA,girl
Gilenia,NA,NA,girl
Gillianna,Latin,11696,girl
Gillyan,NA,NA,girl
Giliyah,Hebrew,NA,girl
Gilma,NA,NA,girl
Giliya,Hebrew,NA,girl
Gilbertha,German,NA,girl
Giliana,Latin,10959,girl
Giliah,Hebrew,NA,girl
Ginebra,French,NA,girl
Gillyanne,Latin,NA,girl
Gillianne,Latin,12211,girl
Ginah,NA,NA,girl
Gina,NA,NA,girl
Ginara,Italian,NA,girl
Ginette,Italian,10873,girl
Gingee,British,NA,girl
Gin,NA,NA,girl
Gineen,NA,NA,girl
Gillie,Latin,11938,girl
Gingia,Latin,NA,girl
Ginetta,Italian,9142,girl
Ginamarie,NA,NA,girl
Ginista,NA,NA,girl
Gertrude,German,5000,girl
Ginjer,British,NA,girl
Ginevre,French,NA,girl
Gini,NA,NA,girl
Ginnette,Italian,10725,girl
Ginelle,Latin,11599,girl
Ginnee,Latin,NA,girl
Ginevra,Italian,7491,girl
Gingie,British,NA,girl
Ginie,NA,NA,girl
Giny,NA,NA,girl
Ginnelle,British,NA,girl
Ginella,Latin,NA,girl
Gilliane,NA,NA,girl
Giordana,Italian,11480,girl
Gioconda,Italian,11938,girl
Ginna,British,7979,girl
Ginny,Latin,6215,girl
Giorgia,Latin,6215,girl
Ginney,NA,NA,girl
Giorgina,Latin,12473,girl
Gioia,Italian,5988,girl
Ginnie,Latin,9425,girl
Gionna,Italian,5141,girl
Ginnilee,British,NA,girl
Ginamaria,NA,NA,girl
Ginni,Latin,11163,girl
Gipsey,British,NA,girl
Giovanna,Italian,1356,girl
Ginya,Latin,NA,girl
Giovannia,NA,NA,girl
Gipsy,British,12000,girl
Gisel,NA,NA,girl
Ginia,Latin,11363,girl
Gipsee,British,NA,girl
Giorgyna,Latin,NA,girl
Giocosa,Latin,NA,girl
Giovita,Latin,NA,girl
Giselda,German,11248,girl
Giovana,Italian,7729,girl
Gisela,German,4425,girl
Gitanjali,NA,NA,girl
Gisselle,NA,NA,girl
Gisell,NA,NA,girl
Giselle,German,466,girl
Gioya,Latin,NA,girl
Gisele,German,2327,girl
Gisella,German,5221,girl
Gitanna,Spanish,NA,girl
Giula,Latin,NA,girl
Gitte,French,NA,girl
Gitana,Spanish,12179,girl
Giuliana,Latin,1014,girl
Gitika,Sanskrit,NA,girl
Gislaine,French,10786,girl
Giulia,Latin,2976,girl
Gitel,NA,NA,girl
Giulianne,Latin,NA,girl
Giullia,Latin,NA,girl
Giulietta,Latin,2933,girl
Gita,Sanskrit,10178,girl
Gizela,German,12503,girl
Gitane,Spanish,NA,girl
Giuletta,Latin,NA,girl
Gitta,Irish,7643,girl
Giustinia,Latin,NA,girl
Giulianna,Latin,3654,girl
Giza,German,NA,girl
Gizelle,German,2903,girl
Giuseppa,Italian,9226,girl
Gladis,Welsh,8238,girl
Giuseppina,Italian,10178,girl
Gjuzel,NA,NA,girl
Gizella,German,11847,girl
Giustina,Latin,12179,girl
Glanda,NA,NA,girl
Gladyss,Welsh,NA,girl
Glaura,Latin,NA,girl
Gladdys,Welsh,NA,girl
Giralda,German,NA,girl
Glaucilena,NA,NA,girl
Gladi,Welsh,NA,girl
Glady,NA,NA,girl
Glenda,Welsh,5221,girl
Gladdis,Welsh,NA,girl
Giuditta,Hebrew,8913,girl
Glad,Welsh,NA,girl
Gladys,Welsh,3523,girl
Glena,NA,NA,girl
Gladiz,NA,NA,girl
Glendora,NA,NA,girl
Gleneen,Irish,NA,girl
Glayds,NA,NA,girl
Glenice,Welsh,6979,girl
Glenine,Irish,NA,girl
Gladia,NA,NA,girl
Glenette,NA,NA,girl
Glenna,Irish,8537,girl
Glennda,Welsh,12043,girl
Gleana,Irish,NA,girl
Glenne,Irish,11938,girl
Glenene,Irish,NA,girl
Glennene,Irish,NA,girl
Glenis,Welsh,9644,girl
Glennetta,NA,NA,girl
Glaurea,Latin,NA,girl
Glennette,Irish,9940,girl
Glennesha,NA,NA,girl
Glennys,Welsh,7750,girl
Glennis,Welsh,11142,girl
Glennisha,NA,NA,girl
Glennice,Welsh,9953,girl
Glennishia,NA,NA,girl
Glinnis,Welsh,NA,girl
Glenys,Welsh,9853,girl
Glilah,Hebrew,NA,girl
Glinda,Welsh,12335,girl
Glila,Hebrew,NA,girl
Glorey,Latin,NA,girl
Glorea,Latin,NA,girl
Glinyce,Welsh,NA,girl
Glorianne,Latin,10959,girl
Gloriah,NA,NA,girl
Gloria,Latin,1010,girl
Gloriela,NA,NA,girl
Glori,Latin,10178,girl
Gloree,Latin,NA,girl
Glorya,Latin,12335,girl
Glorie,Latin,10873,girl
Glorra,Latin,NA,girl
