NAME,ORIGIN,POPULARITY,sex
Ibeeria,NA,NA,girl
Iara,Arabic,8580,girl
Ibbie,Hebrew,5367,girl
Iberia,NA,NA,girl
Idaa,NA,NA,girl
Idania,Greek,11480,girl
Ibolya,NA,NA,girl
Iantha,Greek,10428,girl
Ibtisam,NA,NA,girl
Idea,NA,NA,girl
Idelisa,Welsh,10287,girl
Idarine,NA,NA,girl
Idell,NA,NA,girl
Idalena,NA,NA,girl
Idalene,NA,NA,girl
Idalyne,NA,NA,girl
Ida,Greek,2008,girl
Idamae,NA,NA,girl
Ianthina,Greek,NA,girl
Ianna,NA,NA,girl
Ianthia,Greek,6210,girl
Idaline,NA,NA,girl
Ide,NA,NA,girl
Idalina,NA,NA,girl
Iana,NA,NA,girl
Idanelly,NA,NA,girl
Idaleen,NA,NA,girl
Ichchani,NA,NA,girl
Idalya,NA,NA,girl
Ianthe,Greek,10507,girl
Ibtihaj,NA,NA,girl
Idalia,Greek,4936,girl
Idetta,NA,NA,girl
Idelle,Welsh,9226,girl
Idella,Welsh,8872,girl
Idolina,NA,NA,girl
Idette,Greek,11132,girl
Idiana,Latin,NA,girl
Idina,British,NA,girl
Idone,German,NA,girl
Idonia,Norse,4538,girl
Idona,German,7338,girl
Idonah,German,NA,girl
Ieasha,Irish,10254,girl
Idonie,German,NA,girl
Idonea,German,NA,girl
Idony,NA,NA,girl
Ieashah,Arabic,NA,girl
Idra,Aramaic,NA,girl
Idonna,German,10428,girl
Iduna,Norse,NA,girl
Ieashiah,Arabic,NA,girl
Ieashia,Arabic,12000,girl
Idunna,Norse,NA,girl
Ieesha,Arabic,11896,girl
Ieeshah,Arabic,NA,girl
Iesha,Hebrew,8580,girl
Ieshah,Arabic,NA,girl
Ieeshia,Arabic,NA,girl
Ienipa,NA,NA,girl
Ieshia,Hebrew,11696,girl
Ifaion,NA,NA,girl
Ifama,NA,NA,girl
Ieeshiah,Arabic,NA,girl
Ignazia,NA,NA,girl
Ifigenia,Greek,NA,girl
Ife,NA,NA,girl
Ifetayo,NA,NA,girl
Igeria,NA,NA,girl
Igerna,NA,NA,girl
Ignacia,Latin,11696,girl
Igraine,British,NA,girl
Ignatia,NA,NA,girl
Ilanis,French,NA,girl
Ihilani,NA,NA,girl
Ihisha,Irish,NA,girl
Ilane,Hebrew,NA,girl
Ilania,Hebrew,NA,girl
Ilana,Hebrew,3178,girl
Ilaria,Latin,5660,girl
Igrayne,British,NA,girl
Ilanit,Hebrew,NA,girl
Ila,French,1978,girl
Ilda,NA,NA,girl
Ileane,Greek,7750,girl
Ileana,Hebrew,2993,girl
Ilanys,French,NA,girl
Ilde,NA,NA,girl
Ilean,British,10504,girl
Ileanna,Hebrew,9256,girl
Ilectra,Greek,NA,girl
Ileesia,Latin,NA,girl
Ileanne,Greek,NA,girl
Ileen,British,8537,girl
Ileene,British,11599,girl
Ilena,British,8238,girl
Iliana,Greek,1453,girl
Ilene,Modern,5875,girl
Ilisa,German,11843,girl
Ilima,Hebrew,12167,girl
Ilianna,Hebrew,4670,girl
Iliane,NA,NA,girl
Ilesha,NA,NA,girl
Illeanna,Greek,11998,girl
Iljana,NA,NA,girl
Ilissa,Greek,10746,girl
Ilise,Latin,11938,girl
Illeanne,NA,NA,girl
Ilke,Slavic,NA,girl
