NAME,ORIGIN,POPULARITY,sex
Jacalynn,French,10668,girl
Jaci,American,3166,girl
Jacarranda,NA,NA,girl
Jacalin,French,NA,girl
Jacaranda,NA,NA,girl
Jaamini,NA,NA,girl
Jacindia,Spanish,NA,girl
Jacenta,Spanish,10670,girl
Jacilyn,NA,NA,girl
Jacalyn,French,10178,girl
Jacci,NA,NA,girl
Jacinna,Spanish,NA,girl
Jacinta,Spanish,6215,girl
Jaana,NA,NA,girl
Jackalene,NA,NA,girl
Jacie,Spanish,3246,girl
Jackalinne,French,NA,girl
Jacenia,Spanish,11843,girl
Jacarannda,NA,NA,girl
Jacinthia,Spanish,NA,girl
Jacee,American,5296,girl
Jacelyn,American,3266,girl
Jacinthe,Spanish,NA,girl
Jacenda,Spanish,12207,girl
Jacine,American,8913,girl
Jackalyn,NA,NA,girl
Jacintha,Spanish,9908,girl
Jackalin,French,12223,girl
Jacinda,Spanish,6753,girl
Jackee,Hebrew,12473,girl
Jacilynn,NA,NA,girl
Jackalynn,NA,NA,girl
Jacketta,French,NA,girl
Jackeline,NA,NA,girl
Jackette,French,NA,girl
Jackilee,NA,NA,girl
Jackey,NA,NA,girl
Jackelyn,French,4562,girl
Jacklyn,French,3148,girl
Jacklin,French,9865,girl
Jacklynn,American,4730,girl
Jackleen,American,11896,girl
Jackilyn,NA,NA,girl
Jacoba,Hebrew,11696,girl
Jaclin,French,10268,girl
Jacklynne,French,11843,girl
Jaclynn,American,5221,girl
Jaconda,American,NA,girl
Jacobetta,Hebrew,NA,girl
Jacobette,Hebrew,NA,girl
Jackobina,Hebrew,NA,girl
Jacodi,American,12207,girl
Jacobine,Hebrew,NA,girl
Jacolyn,French,12090,girl
Jackqueline,French,11847,girl
Jacobina,Hebrew,NA,girl
Jacobyna,Hebrew,NA,girl
Jacqualyn,French,11065,girl
Jacqualin,NA,NA,girl
Jacqualine,French,11262,girl
Jacqueena,NA,NA,girl
Jacqlyn,French,11480,girl
Jaclyn,American,2378,girl
Jacqi,French,NA,girl
Jacqueine,NA,NA,girl
Jacquelin,French,6215,girl
Jacqueleen,French,10258,girl
Jacquelean,French,NA,girl
Jacquel,French,11998,girl
Jacquelina,French,10917,girl
Jacquelene,NA,NA,girl
Jacquella,French,12090,girl
Jacqueline,French,581,girl
Jacquelle,French,10491,girl
Jacquelyne,French,9266,girl
Jacquelynn,French,6623,girl
Jacquena,NA,NA,girl
Jacquenette,French,9719,girl
Jacquelynne,French,11451,girl
Jacquelyn,NA,NA,girl
Jacquenetta,French,NA,girl
Jacquie,NA,NA,girl
Jacquinline,NA,NA,girl
Jacquil,NA,NA,girl
Jacynth,Spanish,9940,girl
Jacquine,French,NA,girl
Jacqui,French,11567,girl
Jacquline,NA,NA,girl
Jacquetta,French,12106,girl
Jaculine,French,7637,girl
Jacquiline,NA,NA,girl
Jacquette,French,11957,girl
Jacyntha,Spanish,NA,girl
Jacynthia,Spanish,6761,girl
Jacquey,NA,NA,girl
Jacqulyn,NA,NA,girl
Jadda,NA,NA,girl
Jacynthe,Spanish,NA,girl
Jadea,NA,NA,girl
Jadah,NA,NA,girl
Jadeann,NA,NA,girl
Jadee,British,8681,girl
Jadeana,British,NA,girl
Jada Kristin,NA,NA,girl
Jadera,NA,NA,girl
Jadeemerald,NA,NA,girl
Jadeyn,British,7281,girl
Jadey,NA,NA,girl
Jadie,NA,NA,girl
Jadi,NA,NA,girl
Jadien,British,9697,girl
Jadielyn,NA,NA,girl
Jadwige,Polish,NA,girl
Jady,British,11480,girl
Jadyn,British,2367,girl
Jadira,British,8386,girl
Jadrienne,British,NA,girl
Jadienne,NA,NA,girl
Jadzia,NA,NA,girl
Jadwiga,Polish,4614,girl
Jadra,British,NA,girl
Jadine,British,11480,girl
Jaedra,NA,NA,girl
Jaeda,British,4369,girl
Jadranka,NA,NA,girl
Jaeleen,American,9697,girl
Jaelana,American,NA,girl
Jaeline,NA,NA,girl
Jaede,NA,NA,girl
Jaelynne,NA,NA,girl
Jaeleah,American,11480,girl
Jaelle,Hebrew,5141,girl
Jaelyn,American,1068,girl
Jaelynn,NA,NA,girl
Jaelyne,NA,NA,girl
Jaena,American,10378,girl
Jaenelle,American,10969,girl
Jaenette,American,NA,girl
Jafit,Hebrew,NA,girl
Jaffa,Hebrew,NA,girl
Jaha,NA,NA,girl
Jahira,NA,NA,girl
Jahna,NA,NA,girl
Jahnaya,NA,NA,girl
Jahnelle,NA,NA,girl
Jahnel,NA,NA,girl
Jaicee,American,4872,girl
Jahnessa,NA,NA,girl
Jahzara,African,3346,girl
Jaimy,Hebrew,9852,girl
Jaima,Hebrew,11262,girl
Jaidra,British,NA,girl
Jaina,Hebrew,2788,girl
Jaine,Hebrew,10258,girl
Jahnell,NA,NA,girl
Jaimelynn,Hebrew,11480,girl
Jaimi,Hebrew,11262,girl
Jaira,NA,NA,girl
Jaidee,Greek,9865,girl
Jaida,British,1770,girl
Jakira,American,5384,girl
Jakeisha,American,11567,girl
Jainee,Hebrew,12167,girl
Jakisha,American,10584,girl
Jaimee,Hebrew,5758,girl
Jakayla,American,1906,girl
Jakaranda,NA,NA,girl
Jakleen,French,NA,girl
Jakiya,American,6215,girl
Jaklyn,French,7979,girl
Jakova,NA,NA,girl
Jakobina,Hebrew,NA,girl
Jalaina,Russian,11480,girl
Jalaneeli,NA,NA,girl
Jalaine,Russian,11424,girl
Jakobine,Hebrew,NA,girl
Jala,NA,NA,girl
Jalajaa,NA,NA,girl
Jalayna,Russian,8238,girl
Jalea,American,8238,girl
Jaleesa,Modern,3982,girl
Jaleisa,NA,NA,girl
Jaleese,American,12272,girl
Jalini,NA,NA,girl
Jalila,NA,NA,girl
Jalena,Russian,6623,girl
Jaline,Latin,11998,girl
Jaliyah,American,1108,girl
Jalynn,NA,NA,girl
Jalisa,American,4670,girl
Jalyne,NA,NA,girl
Jalynne,NA,NA,girl
Jalessa,American,10778,girl
Jalyn,American,4624,girl
Jalicia,American,8238,girl
Jaliza,NA,NA,girl
Jalissa,American,3890,girl
Jalita,NA,NA,girl
Jamaika,NA,NA,girl
Jamaica,NA,NA,girl
Jama,Hebrew,11480,girl
Jamaeca,NA,NA,girl
Jamay,NA,NA,girl
Jamea,NA,NA,girl
Jameelah,Arabic,7729,girl
Jameela,Arabic,7069,girl
Jameila,Arabic,10778,girl
Jamei,Hebrew,11683,girl
Jameisha,American,11998,girl
Jamela,Arabic,10778,girl
Jamesetta,Hebrew,11957,girl
Jamesette,Hebrew,NA,girl
Jameka,American,11480,girl
Jamelia,Arabic,8238,girl
Jamese,Hebrew,11480,girl
Jamesia,NA,NA,girl
Jamessa,NA,NA,girl
Jamesha,American,9256,girl
Jamie Lee,NA,NA,girl
Jameshia,NA,NA,girl
Jamesica,NA,NA,girl
Jamii,NA,NA,girl
Jamiesha,American,12473,girl
Jami,Hebrew,9697,girl
Jamilee,NA,NA,girl
Jamilla,Arabic,8537,girl
Jamila,Arabic,2676,girl
Jamilia,Arabic,8905,girl
Jamia,Hebrew,3125,girl
Jamillah,NA,NA,girl
Jamillia,Arabic,12223,girl
Jamilah,Arabic,4236,girl
Jamika,American,11843,girl
Jamille,Arabic,10258,girl
Jamielee,Hebrew,11094,girl
Jamesina,Hebrew,9263,girl
Jamilynn,NA,NA,girl
Jamilyn,Hebrew,10178,girl
Jamis,NA,NA,girl
Jamya,NA,NA,girl
Jamisha,American,11132,girl
Jamina,Hebrew,11480,girl
Jamise,NA,NA,girl
Jamy,NA,NA,girl
Jamye,NA,NA,girl
Janae,American,1761,girl
Jammie,Hebrew,10873,girl
Jana,Hebrew,1551,girl
Janaca,NA,NA,girl
Janah,Hebrew,8905,girl
Janalyn,Hebrew,9697,girl
Janaea,American,11451,girl
Janaeh,American,11599,girl
Janalynn,Hebrew,9853,girl
Janais,American,10778,girl
Janaki,NA,NA,girl
Jandira,NA,NA,girl
Janalee,Hebrew,10178,girl
Janai,American,4063,girl
Janaye,Hebrew,7729,girl
Jancess,NA,NA,girl
Janceena,Hebrew,NA,girl
Janaya,American,3285,girl
Jances,NA,NA,girl
Jandy,Hebrew,11087,girl
Janalisa,NA,NA,girl
Jancis,Modern,NA,girl
Janay,American,5062,girl
Jane,Hebrew,582,girl
Janean,Hebrew,11847,girl
Janea,American,7979,girl
Janeca,NA,NA,girl
Janeane,Hebrew,12223,girl
Janecka,NA,NA,girl
Janeann,NA,NA,girl
Janecia,American,11696,girl
Janeece,NA,NA,girl
Janee,Hebrew,11480,girl
Janeen,Hebrew,10178,girl
Janeese,American,12167,girl
Janeesa,American,12167,girl
Janees,NA,NA,girl
Janela,Hebrew,11878,girl
Janeika,NA,NA,girl
Janelba,Hebrew,NA,girl
Janeka,NA,NA,girl
Janeille,American,NA,girl
Janenan,NA,NA,girl
Janella,Hebrew,6108,girl
Janellie,NA,NA,girl
Janell,NA,NA,girl
Janene,Hebrew,11843,girl
Janel,Hebrew,5062,girl
Janely,NA,NA,girl
Janelle,Modern,891,girl
Janesa,NA,NA,girl
Janesia,NA,NA,girl
Janesey,NA,NA,girl
Janese,NA,NA,girl
Janessa,American,1514,girl
Janess,NA,NA,girl
Janett,Scottish,8238,girl
Janeth,Scottish,3368,girl
Janesse,American,12167,girl
Janessia,NA,NA,girl
Janetta,Scottish,9697,girl
Janet,Scottish,2235,girl
Jani,NA,NA,girl
Janeta,Scottish,11944,girl
Janevra,French,NA,girl
Janey,Hebrew,4805,girl
Janie,Hebrew,2289,girl
Janeva,French,9256,girl
Janicka,NA,NA,girl
Janette,Scottish,4063,girl
Janicia,NA,NA,girl
Jania,Hebrew,5875,girl
Janick,NA,NA,girl
Janiella,NA,NA,girl
Janice,NA,NA,girl
Janiece,NA,NA,girl
Janielle,American,10778,girl
Janiel,American,5141,girl
Janiesa,NA,NA,girl
Janieka,NA,NA,girl
Janica,Hebrew,9697,girl
Janikaa,NA,NA,girl
Janifer,Welsh,11307,girl
Janina,Italian,8238,girl
Janille,NA,NA,girl
Janikka,NA,NA,girl
Janika,American,11480,girl
Janikke,NA,NA,girl
Janis,Hebrew,6215,girl
Janine,British,4670,girl
Janise,Hebrew,8537,girl
Janisha,Danish,10178,girl
Janissa,American,8580,girl
Janisa,NA,NA,girl
Janita,Spanish,10778,girl
Janique,Hebrew,10778,girl
Janit,Scottish,8913,girl
Janitza,NA,NA,girl
Janiss,NA,NA,girl
Janitra,NA,NA,girl
Janka,Hebrew,NA,girl
Jannae,American,11696,girl
Jannelle,Hebrew,7069,girl
Jannalee,Hebrew,NA,girl
Jannel,Hebrew,9852,girl
Jannell,NA,NA,girl
Jannet,Scottish,10778,girl
Jannah,Hebrew,3081,girl
Janneth,Scottish,10778,girl
Jannie,Hebrew,9256,girl
Jannette,Scottish,9256,girl
Jannessa,American,8905,girl
Jannike,NA,NA,girl
Jannine,Hebrew,11515,girl
Jannice,NA,NA,girl
Jannellies,NA,NA,girl
Jannis,NA,NA,girl
Jannisa,NA,NA,girl
Jannina,British,10866,girl
Jannisha,Danish,NA,girl
Jannissa,NA,NA,girl
Janny,Hebrew,10178,girl
Janowa,Hebrew,NA,girl
Janoah,Hebrew,6472,girl
Janthia,Greek,NA,girl
Jannyne,NA,NA,girl
Jantine,NA,NA,girl
Janot,Scottish,NA,girl
Jante,NA,NA,girl
Jaqueline,French,2586,girl
Jany,Hebrew,11094,girl
Jaquelyn,French,5560,girl
Janyce,NA,NA,girl
Jarae,American,10778,girl
January,NA,NA,girl
Janora,American,10778,girl
Janyll,NA,NA,girl
Jaquelin,French,5474,girl
Jardeena,NA,NA,girl
Jaquelle,NA,NA,girl
Jaral,American,NA,girl
Jaquelynn,French,11480,girl
Jardina,Spanish,NA,girl
Jaquith,French,NA,girl
Jardeina,NA,NA,girl
Janyne,NA,NA,girl
Jardena,Hebrew,NA,girl
Jareika,NA,NA,girl
Jareeca,NA,NA,girl
Jardyna,NA,NA,girl
Jaroslava,NA,NA,girl
Jarica,Modern,12167,girl
Jarika,NA,NA,girl
Jarita,NA,NA,girl
Jarmaine,Latin,11065,girl
Jarmila,NA,NA,girl
Jarka,NA,NA,girl
Jarrica,NA,NA,girl
Jarusha,Hebrew,NA,girl
Jas,Persian,11480,girl
Jasma,NA,NA,girl
Jasenia,Spanish,10178,girl
Jasleen,American,3543,girl
Jasamine,NA,NA,girl
JasiAnna,NA,NA,girl
Jasmene,NA,NA,girl
Jaslynn,Persian,3148,girl
Jasmain,NA,NA,girl
Jasman,NA,NA,girl
Jaslyn,Persian,2415,girl
Jasmina,Persian,6753,girl
Jasmijn,NA,NA,girl
Jasmeen,Persian,10178,girl
Jasmin,Persian,1619,girl
Jasmaine,American,11262,girl
Jasmeet,NA,NA,girl
Jasme,NA,NA,girl
Jasmira,NA,NA,girl
Jasmyn,Persian,3827,girl
Jasminique,American,NA,girl
Jasminda,Persian,10428,girl
Jasmine,Persian,286,girl
Jasmit,NA,NA,girl
Jasna,NA,NA,girl
Jassica,Hebrew,11262,girl
Jasmon,NA,NA,girl
Jasmyne,Persian,6623,girl
Jassma,NA,NA,girl
Jassmain,NA,NA,girl
Jasonna,NA,NA,girl
Jasolin,German,NA,girl
Jassamayn,Persian,NA,girl
Jassmaine,NA,NA,girl
Jassmin,NA,NA,girl
Jassmine,NA,NA,girl
Javona,American,11704,girl
Jassmit,NA,NA,girl
Javiera,Spanish,11843,girl
Jassmyn,NA,NA,girl
Jassmon,NA,NA,girl
Jaxine,American,NA,girl
Jaunita,NA,NA,girl
Jaswinder,NA,NA,girl
Jathibiyya,NA,NA,girl
Jayashree,NA,NA,girl
Jawahir,NA,NA,girl
Jayanti,NA,NA,girl
Jaya,Indian,2811,girl
Jaycie,Latin,2741,girl
Jayamala,NA,NA,girl
Jayci,NA,NA,girl
Jaycy,NA,NA,girl
Jaycey,NA,NA,girl
Jaydey,NA,NA,girl
Jaydin,NA,NA,girl
Jaydie,NA,NA,girl
Jaydi,NA,NA,girl
Jaydra,British,NA,girl
Jayda,British,1083,girl
Jayelene,NA,NA,girl
Jayel,Hebrew,11480,girl
Jaydy,NA,NA,girl
Jaylah,Latin,1044,girl
Jayil,Hebrew,NA,girl
Jayla,Latin,492,girl
Jaylee,American,1363,girl
Jaylyn,NA,NA,girl
Jayleana,NA,NA,girl
Jaylene,Latin,1305,girl
Jayleen,American,838,girl
Jaylynne,NA,NA,girl
Jaymee,Spanish,5000,girl
Jayna,Hebrew,3322,girl
Jaylynn,American,1453,girl
Jaylyne,NA,NA,girl
Jaynee,NA,NA,girl
Jayline,NA,NA,girl
Jaynell,Hebrew,12167,girl
Jaynie,Hebrew,6623,girl
Jayne,Hebrew,3125,girl
Jazan,Persian,NA,girl
Jayvanti,NA,NA,girl
Jayti,NA,NA,girl
Jazelle,American,2198,girl
Jazette,American,8444,girl
Jazmaine,American,12167,girl
Jazma,American,11878,girl
Jazlyn,American,965,girl
Jazlynn,American,1408,girl
Jazmen,NA,NA,girl
Jazmina,American,9256,girl
Jazman,NA,NA,girl
Jazminn,NA,NA,girl
Jazmyn,Persian,2083,girl
Jazmin,Persian,851,girl
Jazmine,Persian,994,girl
Jazzalyn,American,9697,girl
Jazmon,Persian,11065,girl
Jazzman,NA,NA,girl
Jazmyne,Persian,4181,girl
Jazzlyn,American,2312,girl
Jazzmon,Persian,12272,girl
Jazzmine,Persian,5660,girl
Jazzmen,NA,NA,girl
Jazzmyn,Persian,6623,girl
Jazzmin,Persian,6472,girl
Jazzmit,NA,NA,girl
Jazzy,American,10178,girl
Jeana,Hebrew,7729,girl
Jeaneane,NA,NA,girl
Jeanell,NA,NA,girl
Jeancie,NA,NA,girl
Jeane,Hebrew,12167,girl
Jeanae,American,11567,girl
Jazzmynn,Persian,11599,girl
Jeaneen,Hebrew,11911,girl
Jeanee,Hebrew,12211,girl
Jeanann,NA,NA,girl
Jeaneia,NA,NA,girl
Jeanay,American,NA,girl
Jeanene,Hebrew,11451,girl
Jeanetta,French,9723,girl
Jeanett,NA,NA,girl
Jeanelle,British,6753,girl
Jeanette,French,3389,girl
Jeanete,NA,NA,girl
Jeaneva,NA,NA,girl
Jeanina,Hebrew,10584,girl
Jeanie,Hebrew,8537,girl
Jeanice,Hebrew,11847,girl
Jeanine,Hebrew,5758,girl
Jeanique,Hebrew,11307,girl
Jeanita,NA,NA,girl
Jeannelle,British,11480,girl
Jeanmarie,NA,NA,girl
Jeanna,Hebrew,6215,girl
Jeanne,Hebrew,5000,girl
Jeannie,Hebrew,5474,girl
Jeanney,NA,NA,girl
Jeannell,British,7442,girl
Jeannete,NA,NA,girl
Jeanneen,Hebrew,NA,girl
Jeannetta,Hebrew,10491,girl
Jeannette,Hebrew,5296,girl
Jeannine,Modern,9256,girl
Jeannee,NA,NA,girl
Jeannett,NA,NA,girl
Jeannita,NA,NA,girl
Jeannina,NA,NA,girl
Jeannique,Hebrew,NA,girl
Jeanny,NA,NA,girl
Jeany,NA,NA,girl
Jeantelle,NA,NA,girl
Jecholia,Hebrew,NA,girl
Jearl,Modern,9644,girl
Jehane,NA,NA,girl
Jecca,Hebrew,NA,girl
Jeddida,Hebrew,NA,girl
Jecolia,Hebrew,NA,girl
Jeetanna,Spanish,NA,girl
Jedidah,Hebrew,11599,girl
Jeena,Hebrew,11480,girl
Jelena,Russian,3921,girl
Jedida,Hebrew,NA,girl
Jeeanima,Italian,NA,girl
Jekolia,Hebrew,NA,girl
Jelica,NA,NA,girl
Jelisaveta,NA,NA,girl
Jelisa,American,10178,girl
Jelina,Russian,9697,girl
Jelsomina,Italian,NA,girl
Jemila,Arabic,11480,girl
