NAME,ORIGIN,POPULARITY,sex
Laberta,German,8073,girl
Labritney,NA,NA,girl
Labridget,Gaelic,NA,girl
Lacara,Latin,11248,girl
Lacene,French,NA,girl
Lachresa,NA,NA,girl
Lachonda,NA,NA,girl
Labrenda,Norse,11132,girl
Lacoria,Greek,12272,girl
Laaquarius,NA,NA,girl
Lacinda,American,11896,girl
Laanita,Spanish,NA,girl
Lacreash,NA,NA,girl
Laci,French,3125,girl
Laboni,NA,NA,girl
Labella,Latin,7491,girl
Lacee,French,6215,girl
Lace,French,11696,girl
Lacia,NA,NA,girl
Lacacia,American,NA,girl
Laana,Latin,NA,girl
Lacoya,American,12207,girl
Lachina,Latin,10685,girl
Lacrecia,NA,NA,girl
Lacina,Latin,NA,girl
Lacrasha,NA,NA,girl
Lacreshia,NA,NA,girl
Lachelle,Hebrew,9697,girl
Lacretia,Latin,8664,girl
Lacole,Greek,11696,girl
Laciann,French,12207,girl
Lacresha,NA,NA,girl
Lacricia,NA,NA,girl
Lacrissa,NA,NA,girl
Lacrisha,NA,NA,girl
Lada,Slavic,9256,girl
Ladey,British,NA,girl
Ladiva,Latin,NA,girl
Lacyndora,NA,NA,girl
Ladonna,Modern,8537,girl
Laetitia,Latin,10969,girl
Ladi,NA,NA,girl
Ladonne,NA,NA,girl
Ladawn,Latin,11696,girl
Laday,American,NA,girl
Lacyann,French,NA,girl
Lacrista,NA,NA,girl
Ladon,NA,NA,girl
Lady,British,4327,girl
Lahoma,NA,NA,girl
Laela,Arabic,3848,girl
Lahela,NA,NA,girl
Lael,Hebrew,3081,girl
Laicey,French,11262,girl
Ladonya,American,11878,girl
Lahvonne,NA,NA,girl
Laetizia,Latin,NA,girl
Laicee,French,10178,girl
Lai,NA,NA,girl
Laidey,German,NA,girl
Laila,Arabic,376,girl
Lailie,Arabic,11599,girl
Lailah,NA,NA,girl
Laici,NA,NA,girl
Laidy,British,12211,girl
Laily,Arabic,8634,girl
Laina,Latin,3028,girl
Laima,NA,NA,girl
Lajessica,Hebrew,11957,girl
Lakea,NA,NA,girl
Lajili,NA,NA,girl
Laisey,French,NA,girl
Lajni,NA,NA,girl
Lakeesha,NA,NA,girl
Lajoia,NA,NA,girl
Lainey,French,1002,girl
Laka,NA,NA,girl
Lakecia,NA,NA,girl
Lajuana,American,10028,girl
Lakaiya,NA,NA,girl
Lakeesh,NA,NA,girl
Lajuliette,NA,NA,girl
Lakenya,NA,NA,girl
Lakendra,Welsh,11480,girl
Lakendria,NA,NA,girl
Lakesia,NA,NA,girl
Laketia,NA,NA,girl
Lakeisha,Swahili,10778,girl
Lakesha,NA,NA,girl
Lakicia,NA,NA,girl
Lakeshia,NA,NA,girl
Lakia,American,10778,girl
Lakisha,NA,NA,girl
Lakeysha,NA,NA,girl
Lakiya,NA,NA,girl
Lakila,NA,NA,girl
Lakiesha,NA,NA,girl
Lakida,NA,NA,girl
Lakitia,NA,NA,girl
Lakreesha,NA,NA,girl
Lakita,NA,NA,girl
Lakrisha,NA,NA,girl
Lalage,Greek,NA,girl
Laliah,Arabic,11451,girl
Lala,Slavic,9256,girl
Lakshmi,Sanskrit,5560,girl
Lalika,Indian,NA,girl
Lalla,NA,NA,girl
Lalani,Hawaiian,7979,girl
Laleh,Persian,10873,girl
Lalia,Greek,10778,girl
Lali,Greek,9865,girl
Lakshana,NA,NA,girl
Lamberta,NA,NA,girl
Lama,NA,NA,girl
Lalya,Greek,NA,girl
Lallia,Greek,NA,girl
Lalita,Sanskrit,9266,girl
Lally,Greek,NA,girl
Lallie,Greek,11843,girl
Lameeka,NA,NA,girl
Lami,NA,NA,girl
Lamonica,NA,NA,girl
Lamya,NA,NA,girl
Lamis,NA,NA,girl
Lanay,NA,NA,girl
Lanah,Hawaiian,5758,girl
Lan,NA,NA,girl
Lana,Irish,749,girl
Lanae,American,4562,girl
Lanecia,NA,NA,girl
Laneisha,NA,NA,girl
Lanakila,NA,NA,girl
Lanai,Hawaiian,8238,girl
Laneetra,Scandinavian,NA,girl
Lanata,NA,NA,girl
Lanee,NA,NA,girl
Landra,Latin,12167,girl
Lanell,NA,NA,girl
Lanetta,American,12503,girl
Lanesha,American,10668,girl
Lanette,Welsh,10778,girl
Laney,British,1348,girl
Lanelle,American,10778,girl
Lanisha,Danish,11599,girl
Lani,Hawaiian,3368,girl
Laniece,American,9697,girl
Lanie,British,3246,girl
Lanessa,American,9256,girl
Lanika,American,10746,girl
Lanna,Hawaiian,4872,girl
Lanice,Arabic,12503,girl
Lanita,Spanish,10778,girl
Lanora,Greek,7491,girl
Lannah,Hawaiian,9697,girl
Lantana,NA,NA,girl
Lapaula,NA,NA,girl
Laporsha,American,12211,girl
Laoise,NA,NA,girl
Lantanna,NA,NA,girl
Laqualia,NA,NA,girl
Laquanda,American,12106,girl
Laquana,American,12223,girl
Laqueena,NA,NA,girl
Laqueen,NA,NA,girl
Laquarius,NA,NA,girl
Laquilla,NA,NA,girl
Laquela,NA,NA,girl
Laquesha,American,12211,girl
Laqueta,NA,NA,girl
Laquina,Latin,9931,girl
Laquinda,NA,NA,girl
Laquinta,NA,NA,girl
Laquisha,NA,NA,girl
Lara,Latin,1321,girl
Laraene,Spanish,NA,girl
Larae,American,7491,girl
Laquita,American,11567,girl
Laralaine,Latin,NA,girl
Larah,NA,NA,girl
Larayne,Spanish,7229,girl
Laranca,Latin,NA,girl
Larain,NA,NA,girl
Laramae,Latin,NA,girl
Laraine,French,10258,girl
Larea,Latin,9514,girl
Lareine,Spanish,10778,girl
Lareina,Spanish,6623,girl
Laree,American,10969,girl
Larena,Spanish,10873,girl
Laralyn,Latin,9263,girl
Lareesa,NA,NA,girl
Larentina,Latin,NA,girl
Larentia,Latin,NA,girl
Larenzina,Latin,NA,girl
Laresa,NA,NA,girl
Laretha,Greek,10475,girl
Larhonda,Welsh,11515,girl
Lari,Latin,12473,girl
Laresha,NA,NA,girl
Laretta,Italian,11424,girl
Larianna,NA,NA,girl
Larinda,Latin,11716,girl
Larisa,Latin,6472,girl
Larisha,American,12223,girl
Larianne,NA,NA,girl
Larine,NA,NA,girl
Larissa,Latin,2107,girl
Larina,Latin,9266,girl
Larissia,NA,NA,girl
Larissas,NA,NA,girl
Laronda,American,10668,girl
Lariss,NA,NA,girl
Larkspur,NA,NA,girl
Larizza,NA,NA,girl
Laritza,NA,NA,girl
Larita,Latin,11599,girl
Larra,Latin,11998,girl
Larrayna,Spanish,NA,girl
Larrissa,NA,NA,girl
Larrisa,NA,NA,girl
Larraine,NA,NA,girl
Larsine,Latin,NA,girl
Larretta,Italian,NA,girl
Larrina,NA,NA,girl
Larryn,Latin,NA,girl
Larreina,Spanish,NA,girl
Larsina,Latin,NA,girl
Lasandra,American,10828,girl
Larrynn,Latin,NA,girl
Laryssa,Latin,9256,girl
Larssen,Scandinavian,NA,girl
Lashanda,American,11998,girl
Lashandra,NA,NA,girl
Lashannon,NA,NA,girl
Lashana,NA,NA,girl
Laryn,Latin,9256,girl
Lashanna,NA,NA,girl
Laseana,NA,NA,girl
Lashauna,NA,NA,girl
Lashae,American,8238,girl
Lasharon,NA,NA,girl
Lashanta,NA,NA,girl
Lashaun,NA,NA,girl
Lashawna,British,10178,girl
Lashaunda,NA,NA,girl
Lashaunta,NA,NA,girl
Lashay,NA,NA,girl
Lasheba,NA,NA,girl
Lashawnda,American,11847,girl
Lashea,NA,NA,girl
Lasheele,NA,NA,girl
Lashona,NA,NA,girl
Lasherri,NA,NA,girl
Lashell,NA,NA,girl
Lasonya,NA,NA,girl
Lashunda,NA,NA,girl
Lashonda,NA,NA,girl
Lashenia,NA,NA,girl
Lashon,NA,NA,girl
Lassie,British,7637,girl
Lastarr,NA,NA,girl
Lasonda,NA,NA,girl
Lassey,British,NA,girl
Lashundra,NA,NA,girl
Latacha,NA,NA,girl
Lataisha,NA,NA,girl
Latacia,NA,NA,girl
Latania,Latin,10491,girl
Latarra,NA,NA,girl
Latausha,NA,NA,girl
Lataysha,NA,NA,girl
Lata,Indian,9142,girl
Latascha,NA,NA,girl
Latanja,Latin,10614,girl
Latarisha,NA,NA,girl
Latavis,NA,NA,girl
Lateasha,NA,NA,girl
Latavia,American,9697,girl
Latashia,Latin,11065,girl
Latarsha,NA,NA,girl
Lateashia,NA,NA,girl
Latanya,Modern,9865,girl
Latasha,American,8537,girl
Lateefa,Arabic,12000,girl
Lateesha,NA,NA,girl
Latecia,NA,NA,girl
Lateifa,Latin,NA,girl
Latenna,Latin,NA,girl
Lateka,Latin,11896,girl
Lateefah,Arabic,12473,girl
Lateisha,American,11515,girl
Lateicia,NA,NA,girl
Lateiffa,Arabic,NA,girl
Lateshia,NA,NA,girl
Latesha,American,11065,girl
Latesa,Latin,11878,girl
Latice,NA,NA,girl
Latisa,Latin,11957,girl
Latifa,Latin,8872,girl
Latiesha,NA,NA,girl
Laticia,American,11599,girl
Latia,Latin,9412,girl
Latissha,NA,NA,girl
Latitia,Latin,9128,girl
Latiffa,Latin,8666,girl
Latina,Latin,11132,girl
Latishia,NA,NA,girl
Latisha,American,11480,girl
Latona,Latin,11155,girl
Latifah,Arabic,10178,girl
Latoia,Spanish,10029,girl
Latoccia,NA,NA,girl
Latissa,NA,NA,girl
Lativia,NA,NA,girl
Latonia,American,11847,girl
Latosha,NA,NA,girl
Latoyah,Spanish,10894,girl
Latorya,Spanish,11957,girl
Latoria,Spanish,10258,girl
Latonya,Russian,11480,girl
Latoshia,NA,NA,girl
Latoya,Spanish,7979,girl
Latora,NA,NA,girl
Latoyla,Spanish,9940,girl
Latoyia,NA,NA,girl
Latreshia,NA,NA,girl
Latreese,NA,NA,girl
Lauda,Latin,3096,girl
Latreece,American,9137,girl
Latricia,American,11480,girl
Latrisha,British,12335,girl
Latrice,Modern,8872,girl
Latrina,Latin,12167,girl
Latrecia,NA,NA,girl
Laura,Latin,683,girl
Laufeia,Norse,NA,girl
Launa,NA,NA,girl
Lauraine,Latin,10428,girl
Laurah,NA,NA,girl
Laural,Latin,11843,girl
Laur,NA,NA,girl
Lauralea,NA,NA,girl
Laudonia,Italian,NA,girl
Lauraly,NA,NA,girl
Lauralynn,NA,NA,girl
Lauralee,Latin,9256,girl
Laurali,NA,NA,girl
Lauralle,Latin,NA,girl
Laurelei,German,9697,girl
Laure,Latin,11451,girl
Lauran,NA,NA,girl
Laurana,Latin,11599,girl
Laureena,NA,NA,girl
Laurann,NA,NA,girl
Laurel,Latin,1157,girl
Laureen,Latin,7491,girl
Laurelen,NA,NA,girl
Laureli,NA,NA,girl
Laurelie,German,NA,girl
Laurella,Latin,6675,girl
Laurenca,Latin,NA,girl
Laurelin,NA,NA,girl
Laurenda,NA,NA,girl
Lauren Marie,NA,NA,girl
Laurelle,Latin,11599,girl
Laurell,Latin,9970,girl
Laurena,Latin,10178,girl
Laurenne,Latin,12090,girl
Laurentyna,French,NA,girl
Laurentine,Latin,5842,girl
Laurentyne,French,NA,girl
Laurene,Latin,10258,girl
Laurestine,Latin,NA,girl
Laurentina,French,5375,girl
Laurenza,Latin,NA,girl
Lauressa,NA,NA,girl
Lauretta,Latin,8238,girl
Laurentia,Latin,NA,girl
Lauri,Latin,10178,girl
Laurette,Latin,9723,girl
Lauretha,Latin,6943,girl
Laurice,Latin,11567,girl
Lauriane,Latin,11957,girl
Lauricia,Latin,NA,girl
Laurica,NA,NA,girl
Laurien,NA,NA,girl
Laurianne,Latin,11599,girl
Laurin,Latin,10367,girl
Lauriel,Latin,7729,girl
Laurisa,NA,NA,girl
Laurina,Latin,11599,girl
Laurraine,French,NA,girl
Laurinda,Latin,12223,girl
Laurine,Latin,11363,girl
Laurynne,NA,NA,girl
Laurrane,NA,NA,girl
Laurissa,NA,NA,girl
Laurita,Latin,10012,girl
Laurnea,Latin,11142,girl
Laurra,NA,NA,girl
Laurren,NA,NA,girl
Lavanna,NA,NA,girl
Lauryn,Latin,983,girl
Lavada,NA,NA,girl
Lavella,Latin,11248,girl
Laveda,Latin,11847,girl
Lavente,NA,NA,girl
Lavelle,Latin,6215,girl
Laury,NA,NA,girl
Lavender,NA,NA,girl
Laurynn,Latin,5141,girl
Lavena,Latin,8238,girl
Lavera,Slavic,8537,girl
Lavetta,Latin,10029,girl
Lavenia,Latin,12503,girl
Laverna,Latin,9261,girl
Laverine,Latin,NA,girl
Laveta,Latin,10725,girl
Laverrne,Latin,NA,girl
Lavette,Latin,11480,girl
Lavinie,Latin,NA,girl
Lavina,Latin,5758,girl
Lavona,NA,NA,girl
Lavonda,American,11567,girl
Lavinia,Latin,3432,girl
Lavonia,NA,NA,girl
Lavone,NA,NA,girl
Lavonna,American,7979,girl
Lawahiz,NA,NA,girl
Lavra,Latin,11163,girl
Lawana,NA,NA,girl
Lavonne,Modern,9723,girl
Lawanza,NA,NA,girl
Lawanda,American,10828,girl
Lawra,Latin,9719,girl
Lawanna,NA,NA,girl
Laxmi,Sanskrit,11480,girl
Layce,NA,NA,girl
Laycee,NA,NA,girl
Layci,NA,NA,girl
Laycie,French,6623,girl
Leaha,NA,NA,girl
Layney,Greek,10178,girl
Leah,Hebrew,113,girl
Layna,NA,NA,girl
Layla,Arabic,92,girl
Laylah,Arabic,1214,girl
Leahan,NA,NA,girl
Lealani,NA,NA,girl
Leala,French,9697,girl
Lealia,French,5247,girl
Lealie,French,NA,girl
Lean,NA,NA,girl
Leana,French,3682,girl
Leandria,Greek,9697,girl
Leanah,NA,NA,girl
Leann,British,3598,girl
Leandra,Greek,3921,girl
Leanda,Greek,12000,girl
Leane,NA,NA,girl
Leannan,NA,NA,girl
Leanne,British,2578,girl
Leannda,NA,NA,girl
Leannah,NA,NA,girl
Leannie,NA,NA,girl
Leanore,Greek,7643,girl
Leanza,NA,NA,girl
Leanna,Latin,1377,girl
Leanor,Greek,8792,girl
Leasa,Hebrew,11163,girl
Leatrice,British,11363,girl
Lecia,Latin,11599,girl
Leatha,NA,NA,girl
Leea,NA,NA,girl
Leanora,Greek,6753,girl
Ledah,Latin,NA,girl
LeDonna,NA,NA,girl
LeCrecia,NA,NA,girl
Lechsinska,NA,NA,girl
Lecretia,NA,NA,girl
Leda,Greek,6108,girl
Leeahnne,NA,NA,girl
Leeann,British,3568,girl
Leean,NA,NA,girl
Leeah,NA,NA,girl
Leeanne,British,7979,girl
Lee-Ann,British,NA,girl
Leeanna,NA,NA,girl
Leecea,Latin,NA,girl
Leela,Arabic,1808,girl
Leemor,Hebrew,NA,girl
Leecia,Latin,NA,girl
Leece,German,NA,girl
Leen,NA,NA,girl
Leelia,Latin,NA,girl
Leelee,Latin,11847,girl
Leelah,Arabic,5758,girl
Leenah,Greek,8238,girl
Leentje,NA,NA,girl
Leeona,Latin,10873,girl
Leena,Slavic,2032,girl
Leeora,Hebrew,NA,girl
Leerit,Hebrew,NA,girl
Leeor,Hebrew,11455,girl
Leeya,Latin,6753,girl
Leeta,Latin,11455,girl
Leeza,Hebrew,10178,girl
Leese,German,NA,girl
Leetriss,British,NA,girl
Leesha,Latin,12167,girl
Leesa,Hebrew,11599,girl
Lefa,NA,NA,girl
Legra,Italian,NA,girl
Leggra,Italian,NA,girl
Lehanna,NA,NA,girl
Lehanne,NA,NA,girl
Lehava,Hebrew,NA,girl
Lei,NA,NA,girl
Leiah,NA,NA,girl
Lehavit,Hebrew,NA,girl
Lehua,NA,NA,girl
Leiandra,Greek,NA,girl
Leianne,British,11567,girl
Leida,Slavic,11094,girl
Leiane,NA,NA,girl
Leigha,NA,NA,girl
Leighah,NA,NA,girl
Leiana,French,4562,girl
Leigh-Anne,British,NA,girl
Leighann,NA,NA,girl
Leia,Hebrew,655,girl
Leighanna,British,4730,girl
Leighan,NA,NA,girl
Leighia,NA,NA,girl
Leila,Arabic,488,girl
Leighanne,NA,NA,girl
Leighana,NA,NA,girl
Leilah,Arabic,2119,girl
Leilia,NA,NA,girl
Leinani,NA,NA,girl
Leina,Latin,5988,girl
Leikela,NA,NA,girl
