NAME,ORIGIN,POPULARITY,sex
Maaike,NA,NA,girl
Ma,NA,NA,girl
Maarchje,NA,NA,girl
Macarria,Spanish,NA,girl
Mab,Welsh,NA,girl
Mabe,NA,NA,girl
Macarena,NA,NA,girl
Maaja,Greek,NA,girl
Madalaina,Hebrew,NA,girl
Macaria,Spanish,11480,girl
Maci,French,557,girl
Macie,French,883,girl
Maccaria,Spanish,NA,girl
Mabelline,NA,NA,girl
Macaela,Hebrew,11696,girl
Maayan,NA,NA,girl
Maartje,NA,NA,girl
Mabel,Latin,961,girl
Machelle,Hebrew,11599,girl
Macee,French,4624,girl
Mable,British,5560,girl
Madaleine,Hebrew,10258,girl
Maarva,Aramaic,NA,girl
MacKayla,Hebrew,6215,girl
Macarisa,Spanish,NA,girl
Madalena,Hebrew,7491,girl
Madalene,Hebrew,9256,girl
Mackenzey,Irish,9425,girl
Mada,Hebrew,12179,girl
Machiko,Japanese,NA,girl
Machteld,NA,NA,girl
Mackendra,Scottish,NA,girl
Mabelle,British,8872,girl
Madaline,NA,NA,girl
Madalyn,Hebrew,1117,girl
Madalynne,NA,NA,girl
Madalynn,Hebrew,1377,girl
Maddalena,NA,NA,girl
Maddelena,Hebrew,NA,girl
Madeira,NA,NA,girl
Madeleine,Hebrew,692,girl
Madelaine,Hebrew,6215,girl
Madel,Hebrew,6516,girl
Madelena,Hebrew,10778,girl
Madelayne,Hebrew,11567,girl
Madeline,Hebrew,224,girl
Madelle,Hebrew,4931,girl
Madelene,Hebrew,10178,girl
Madella,Hebrew,7019,girl
Madelina,Hebrew,7491,girl
Madelyne,Hebrew,3890,girl
Madhu,NA,NA,girl
Madelynn,Hebrew,886,girl
Madena,Hebrew,7154,girl
Madelon,Hebrew,9256,girl
Madelynne,Hebrew,4236,girl
Madge,Greek,11480,girl
Madelyn,Hebrew,164,girl
Madera,NA,NA,girl
Madiha,NA,NA,girl
Madilyn,Hebrew,658,girl
Madhavi,NA,NA,girl
Madie,NA,NA,girl
Madhulekha,NA,NA,girl
Madhur,NA,NA,girl
Madisen,British,4670,girl
Madina,Hebrew,3598,girl
Madolyn,NA,NA,girl
Madira,NA,NA,girl
Madisyn,British,997,girl
Mado,NA,NA,girl
Madona,Italian,9074,girl
Madlen,Hebrew,10160,girl
Madoline,NA,NA,girl
Madlin,Hebrew,11262,girl
Madlyn,Hebrew,8872,girl
Madonna,Italian,10178,girl
Madou,NA,NA,girl
Madora,Greek,11911,girl
Mady,Hebrew,11480,girl
Madra,Spanish,9065,girl
Mae,British,1060,girl
Madzia,Hebrew,NA,girl
Madyson,British,1629,girl
Maebelle,NA,NA,girl
Maelynn,British,2547,girl
Maela,NA,NA,girl
Maeko,Japanese,NA,girl
Maelle,Latin,5988,girl
Maeja,NA,NA,girl
Maelee,British,3166,girl
Maffalda,Spanish,NA,girl
MaElena,NA,NA,girl
Maegan,Welsh,8238,girl
Maeve,Irish,771,girl
Maemi,Japanese,12473,girl
Mafalda,Spanish,3473,girl
Maery,NA,NA,girl
