NAME,ORIGIN,POPULARITY,sex
Odelette,Greek,NA,girl
Ocean,NA,NA,girl
Oceana,Greek,5660,girl
Octavianne,Latin,NA,girl
Odeelia,Hebrew,NA,girl
Obdulia,NA,NA,girl
Oba,Nigerian,8903,girl
Octavie,Latin,4772,girl
Odelet,Greek,NA,girl
Odele,Greek,NA,girl
Odeline,Greek,NA,girl
Octavia,Latin,1713,girl
Octiana,Latin,NA,girl
Odela,Greek,NA,girl
Oda,Hebrew,7640,girl
Octivia,NA,NA,girl
Octoviana,Latin,NA,girl
Ocarina,NA,NA,girl
Odelia,Hebrew,5141,girl
Odetta,German,8326,girl
Octaviana,Latin,12335,girl
Odessa,Greek,3409,girl
Odera,NA,NA,girl
Odette,German,3368,girl
Odelinda,Hebrew,NA,girl
Ocie,NA,NA,girl
Odella,Hebrew,11599,girl
Odellia,Hebrew,NA,girl
Oceania,Greek,10536,girl
Odelle,Greek,6011,girl
October,NA,NA,girl
Odelina,Greek,NA,girl
Odila,German,10518,girl
Odilia,Hebrew,8580,girl
Odissa,Greek,NA,girl
Odina,NA,NA,girl
Odolia,German,NA,girl
Odyssa,Greek,NA,girl
Ofelia,Greek,3568,girl
Ofeera,NA,NA,girl
Ofelja,NA,NA,girl
Ofrit,Hebrew,NA,girl
Ofrat,Hebrew,NA,girl
Ofilia,Greek,10281,girl
Odyssia,Greek,NA,girl
Ofira,NA,NA,girl
Ojasvee,NA,NA,girl
Ohndrea,Greek,NA,girl
Ohana,NA,NA,girl
Ohndreea,Greek,NA,girl
Oheo,NA,NA,girl
Ogenya,Hebrew,NA,girl
Ojinjintka,NA,NA,girl
Ohndria,Greek,NA,girl
Olabisi,NA,NA,girl
Oksana,Russian,8537,girl
Olaniyi,NA,NA,girl
Oleen,Hawaiian,5306,girl
Oksanna,Russian,11307,girl
Oktawja,NA,NA,girl
Oleesa,French,NA,girl
Oleana,NA,NA,girl
Olathe,Native American,NA,girl
Oleda,Latin,10287,girl
Olena,Russian,7979,girl
Olene,NA,NA,girl
Olenka,Scandinavian,NA,girl
Oleisa,French,NA,girl
Olenya,Russian,NA,girl
Olevia,NA,NA,girl
Olesja,NA,NA,girl
Oletta,Latin,7338,girl
Oletha,NA,NA,girl
Oleta,Latin,11599,girl
Olesia,Greek,11132,girl
Olette,Latin,NA,girl
Oliana,NA,NA,girl
Olethea,Greek,11938,girl
Olia,Scandinavian,11480,girl
Olga,Scandinavian,4425,girl
Olida,Latin,5375,girl
Olimpe,Greek,NA,girl
Oliff,Latin,NA,girl
Olianna,NA,NA,girl
Olimpiana,Greek,NA,girl
Olimpia,Greek,10959,girl
Olina,Hawaiian,7491,girl
Oliffe,Latin,NA,girl
Olimpiada,Greek,NA,girl
Olinia,Russian,NA,girl
Olisa,French,11480,girl
Oliva,Latin,5875,girl
Oline,Hawaiian,5686,girl
Olinija,Russian,NA,girl
Olivera,NA,NA,girl
Olive,Latin,563,girl
Olivea,NA,NA,girl
Oliveea,Latin,NA,girl
Olivia,Latin,2,girl
Oliveria,NA,NA,girl
Olivya,Latin,8238,girl
Olinda,Greek,11599,girl
Olivet,Latin,10873,girl
Olivine,Latin,8872,girl
Olivetta,Latin,NA,girl
Oluremi,NA,NA,girl
Olivija,Latin,11710,girl
Olla,Norse,5843,girl
Olufunmilayo,NA,NA,girl
Oluwafunmike,NA,NA,girl
Olivette,Latin,10778,girl
Oluluaboe,NA,NA,girl
Oliwja,NA,NA,girl
Olwyn,Welsh,11599,girl
Olympe,NA,NA,girl
Olva,Latin,5375,girl
Olwin,Welsh,NA,girl
Olympia,Greek,4181,girl
Olwen,Welsh,3821,girl
Olwenn,Welsh,NA,girl
Olympie,Greek,NA,girl
Olwynne,Welsh,NA,girl
Oma,Arabic,12335,girl
Olypme,Greek,NA,girl
Omana,NA,NA,girl
Olynda,Greek,NA,girl
Omeira,NA,NA,girl
Omega,Greek,4730,girl
Omyra,Latin,9142,girl
Ombretta,NA,NA,girl
Ondina,Latin,4872,girl
Ona,NA,NA,girl
Omolara,NA,NA,girl
Ondine,Latin,7979,girl
Ondreea,Greek,NA,girl
Onawa,NA,NA,girl
Ondrea,Czech,9697,girl
Ondra,Czech,12473,girl
Ondyne,Latin,NA,girl
Oney,NA,NA,girl
Oneonta,NA,NA,girl
Onie,Hebrew,11142,girl
Ondria,Greek,11248,girl
Onella,Greek,11480,girl
Oni,Hebrew,9256,girl
Oneida,Native American,10778,girl
Onndrea,Greek,NA,girl
Onida,Native American,5367,girl
Onndreea,Greek,NA,girl
Onita,Latin,6531,girl
Onjella,NA,NA,girl
Onndria,Greek,NA,girl
Onyda,Native American,NA,girl
Onnora,NA,NA,girl
Onoria,NA,NA,girl
Onora,Latin,8537,girl
Onorata,NA,NA,girl
Ooma,Sanskrit,NA,girl
Oonagh,Scottish,10778,girl
Opa,NA,NA,girl
Onorine,NA,NA,girl
Opale,NA,NA,girl
Oonah,Greek,NA,girl
Oona,Scottish,2811,girl
Opal,Sanskrit,1707,girl
Opaline,Sanskrit,6890,girl
Opalina,Sanskrit,NA,girl
Opall,Sanskrit,NA,girl
Ophelia,Greek,1057,girl
Ophelya,Greek,NA,girl
Ophilia,Greek,5030,girl
Ophelie,Greek,11455,girl
Orabella,Latin,NA,girl
Ophira,NA,NA,girl
Oprah,Hebrew,11065,girl
Orabel,Latin,NA,girl
Ora,Latin,4730,girl
Oralia,French,8537,girl
Oralee,Hebrew,10287,girl
Orah,Hebrew,11480,girl
Oralie,Latin,NA,girl
Orabelle,Latin,4998,girl
Oracia,Spanish,NA,girl
Orali,Hebrew,NA,girl
Orange,NA,NA,girl
Oralis,NA,NA,girl
Oralit,Hebrew,NA,girl
Orareeana,Latin,NA,girl
Orane,French,NA,girl
Orangina,NA,NA,girl
Orarariana,Latin,NA,girl
Orangetta,NA,NA,girl
Orania,French,NA,girl
Orasia,Spanish,NA,girl
Orbella,Latin,NA,girl
Orangia,NA,NA,girl
Orbel,Latin,NA,girl
Oreana,Latin,11716,girl
Orbelle,Latin,NA,girl
Orazia,Spanish,NA,girl
Orela,Latin,NA,girl
Oratia,Spanish,NA,girl
Orelda,Latin,NA,girl
Orelia,Latin,11599,girl
Orestilla,NA,NA,girl
Oreolle,Latin,NA,girl
Oreta,Greek,6400,girl
Orella,Latin,5457,girl
Orfea,Greek,NA,girl
Orelie,French,NA,girl
Oretha,Greek,10518,girl
Orfeya,NA,NA,girl
Orfia,NA,NA,girl
Orenthia,NA,NA,girl
Oretta,Greek,6943,girl
Oria,Latin,10778,girl
Orette,Greek,NA,girl
Orianne,NA,NA,girl
