NAME,ORIGIN,POPULARITY,sex
Paladia,Greek,NA,girl
Paavani,NA,NA,girl
Palladia,Greek,NA,girl
Pacifica,Spanish,11262,girl
Paavana,NA,NA,girl
Paciencia,British,NA,girl
Padmavati,NA,NA,girl
Padmasundara,NA,NA,girl
Padme,Persian,7281,girl
Pallmirah,Latin,NA,girl
Paix,NA,NA,girl
Palapala,NA,NA,girl
Padma,Persian,11480,girl
Pallmyra,Latin,NA,girl
Palmina,NA,NA,girl
Palmeda,Latin,NA,girl
Palmira,Latin,11480,girl
Pallas,Greek,10778,girl
Palma,Latin,12207,girl
Pamalee,NA,NA,girl
Pallma,Latin,NA,girl
Palmyra,Latin,5306,girl
Pama,Greek,6627,girl
Pamala,Greek,9790,girl
Palometa,Latin,NA,girl
Palmeeda,Latin,NA,girl
Palomita,Latin,NA,girl
Palloma,Latin,NA,girl
Palasha,Greek,NA,girl
Pamalla,Greek,6675,girl
Pam,Greek,11896,girl
Paloma,Latin,1582,girl
Palles,Greek,NA,girl
Pamelin,Greek,NA,girl
Pamelina,Greek,NA,girl
Pamella,Greek,11599,girl
Pamelia,Greek,10725,girl
Pamela,Greek,2074,girl
Pamelyn,Greek,10287,girl
Pamelynne,Greek,NA,girl
Pamina,Italian,NA,girl
Pammie,Greek,8438,girl
Pamila,NA,NA,girl
Pammy,Greek,7714,girl
Panayotta,NA,NA,girl
Pamilla,Greek,7599,girl
Panayia,NA,NA,girl
Pammela,Greek,7060,girl
Pamula,NA,NA,girl
Pandora,Greek,4562,girl
Panagiota,Greek,10178,girl
Pandra,Celtic,7442,girl
Pandorra,Greek,NA,girl
Pancha,NA,NA,girl
Panola,NA,NA,girl
Pangiota,Greek,NA,girl
Pandorah,Greek,NA,girl
Panfila,Greek,NA,girl
Pandoura,Greek,NA,girl
Panna,NA,NA,girl
Paniya,NA,NA,girl
Panphyla,Greek,NA,girl
Pansy,French,12090,girl
Pansey,British,7087,girl
Panthea,Greek,7442,girl
Panndora,Greek,NA,girl
Pansie,British,6351,girl
Panfyla,Greek,NA,girl
Panphila,Greek,NA,girl
Pania,Greek,NA,girl
Pantheia,Greek,NA,girl
Panthia,Greek,NA,girl
Pantheya,Greek,NA,girl
Paola,Latin,1440,girl
Paolina,Latin,11480,girl
Paradisa,Greek,NA,girl
Panya,NA,NA,girl
Paquita,Spanish,9004,girl
Parmenya,Spanish,NA,girl
Paoletta,NA,NA,girl
Parissa,Greek,11599,girl
Paraskevi,NA,NA,girl
Paraskeva,NA,NA,girl
Parisa,Greek,6108,girl
Parmenia,Spanish,NA,girl
Partheenia,Greek,NA,girl
Parmelia,Latin,NA,girl
Parnella,Greek,NA,girl
Parnaz,NA,NA,girl
Parthenia,Greek,9256,girl
Parthenope,Greek,NA,girl
Parthena,Greek,12000,girl
Parvati,NA,NA,girl
Parthenie,Greek,NA,girl
Parthinia,Greek,NA,girl
Parveen,NA,NA,girl
Parvani,NA,NA,girl
Pascha,Hebrew,9470,girl
Particia,NA,NA,girl
Parvin,NA,NA,girl
Pascaline,Hebrew,NA,girl
Paschale,Hebrew,NA,girl
Pascalette,Hebrew,NA,girl
Pasty,NA,NA,girl
Pasifica,Spanish,NA,girl
Pashelle,Hebrew,NA,girl
Pasua,NA,NA,girl
Pascuala,Hebrew,11363,girl
Passion,NA,NA,girl
Patches,NA,NA,girl
Pathinia,Greek,NA,girl
Pascua,Hebrew,NA,girl
Patch,NA,NA,girl
Patreece,Latin,12000,girl
Patience,British,1946,girl
Pathina,Greek,NA,girl
Patient,British,NA,girl
Patienzia,British,NA,girl
Patrese,NA,NA,girl
Patreice,Latin,NA,girl
Patriceia,NA,NA,girl
Patricja,NA,NA,girl
Patrica,Latin,12167,girl
Patresa,NA,NA,girl
Patricka,Latin,9564,girl
Patria,NA,NA,girl
Patrika,NA,NA,girl
Patricie,NA,NA,girl
Patrikia,NA,NA,girl
Patriece,NA,NA,girl
Patrizia,Latin,10866,girl
Patrisha,Latin,10873,girl
Patrycja,NA,NA,girl
Patrina,Latin,9869,girl
Patrishia,NA,NA,girl
Patrizzia,NA,NA,girl
Patsey,NA,NA,girl
Patryce,Latin,11194,girl
Patrisse,Latin,NA,girl
Patrysha,NA,NA,girl
Patti,Latin,11480,girl
Pattey,Latin,NA,girl
Paula,Latin,1408,girl
Pattrice,NA,NA,girl
Patte,Latin,6943,girl
Pattee,Latin,NA,girl
Pattie,Latin,11424,girl
Pauleen,Latin,11896,girl
Paulena,NA,NA,girl
Paule,Latin,9142,girl
Paulene,Latin,12503,girl
Pauletha,NA,NA,girl
Pauletta,Latin,9986,girl
Paulette,Latin,3368,girl
Paulina,Latin,1346,girl
Paulinique,NA,NA,girl
Pauline,Latin,3827,girl
Paulisa,NA,NA,girl
Paulita,Latin,11599,girl
Paulla,Latin,11155,girl
Paullette,Latin,11911,girl
Paulyne,Latin,5318,girl
Pavlina,Latin,11944,girl
Paza,Hebrew,NA,girl
Pavana,NA,NA,girl
Pavla,Latin,NA,girl
Pazia,Hebrew,NA,girl
Peace,British,4805,girl
Pavia,Latin,NA,girl
Pazit,Hebrew,NA,girl
Pearle,Latin,11878,girl
Pazienza,British,NA,girl
Peachy,NA,NA,girl
Peach,NA,NA,girl
Pearla,Latin,7979,girl
Pearleen,Latin,6516,girl
Pearlie,Latin,9723,girl
Pearl,Latin,1041,girl
Pearlene,NA,NA,girl
Pearlette,Latin,7667,girl
Pearline,Latin,11480,girl
Pefilia,NA,NA,girl
Peg,Greek,8073,girl
Pearly,NA,NA,girl
Pegeen,Greek,9074,girl
Pearlita,NA,NA,girl
Pelage,Greek,NA,girl
Pelageya,Greek,NA,girl
Pelagia,Greek,10873,girl
Pelageia,Greek,NA,girl
Pelagiya,NA,NA,girl
Pele,NA,NA,girl
Peliah,Hebrew,NA,girl
Peggie,Greek,11455,girl
Peggy,Greek,6753,girl
Pelia,Hebrew,10178,girl
Pegg,British,NA,girl
Peloma,Latin,NA,girl
Pelipa,Greek,NA,girl
Pelippa,Greek,NA,girl
Pelagie,Greek,NA,girl
Penee,British,NA,girl
Pella,Greek,9425,girl
Penelopa,Greek,NA,girl
Pennee,British,7667,girl
Penna,Greek,NA,girl
Penina,Greek,6623,girl
Pellagia,Greek,NA,girl
Penelope,Greek,90,girl
Peninah,Hebrew,NA,girl
Pennelope,Greek,7491,girl
Penelopie,NA,NA,girl
Peninnah,NA,NA,girl
Pennie,Greek,8537,girl
Penni,NA,NA,girl
Penny,Greek,1237,girl
Pennylynn,NA,NA,girl
Penney,Greek,9852,girl
Pentea,NA,NA,girl
Pepa,Spanish,NA,girl
Peppie,Spanish,NA,girl
Pepita,Spanish,NA,girl
Penthea,Greek,NA,girl
Peppy,Spanish,NA,girl
Peony,Greek,10178,girl
Percita,NA,NA,girl
Pera,Hebrew,NA,girl
Perdita,Latin,9074,girl
Perah,Hebrew,NA,girl
Perach,NA,NA,girl
Percilla,Latin,11847,girl
Perfecta,Spanish,6011,girl
Pere,NA,NA,girl
Peri,Hebrew,5000,girl
Perlline,Latin,NA,girl
Perita,Hebrew,NA,girl
Perline,Latin,5270,girl
Perle,Latin,5686,girl
Permenia,Spanish,NA,girl
Perla,Latin,1252,girl
Pernella,Greek,7750,girl
Perlita,Latin,11451,girl
Perlette,Latin,NA,girl
Perley,Latin,6015,girl
Pernette,NA,NA,girl
Pernelle,Greek,NA,girl
Permelia,Latin,7087,girl
Pernille,Greek,NA,girl
Pernilla,Greek,NA,girl
Perpetua,Latin,9697,girl
Perren,NA,NA,girl
Perouze,NA,NA,girl
Perrey,French,NA,girl
Perran,NA,NA,girl
Persia,NA,NA,girl
Perris,British,9723,girl
Perrianne,British,NA,girl
Persephone,NA,NA,girl
Perri,British,4425,girl
Perryn,NA,NA,girl
Persida,NA,NA,girl
Perrine,Greek,11696,girl
Petaluma,NA,NA,girl
Pet,Greek,5457,girl
Persis,Greek,10178,girl
Persys,Greek,NA,girl
Perssis,Greek,NA,girl
Petal,NA,NA,girl
Peta,Spanish,11283,girl
Petrina,Greek,9546,girl
Petrine,Greek,NA,girl
Peternella,Greek,NA,girl
Petria,Greek,5533,girl
Petrija,NA,NA,girl
Petroa,NA,NA,girl
Petra,Greek,2302,girl
Peterina,Greek,NA,girl
Petrona,NA,NA,girl
Petronel,NA,NA,girl
Petrovna,Greek,NA,girl
Petronia,Greek,7748,girl
Petronella,Greek,5946,girl
Petronelle,Greek,NA,girl
Petronille,Greek,NA,girl
Petrova,Greek,NA,girl
Petronela,Greek,NA,girl
Petronilla,Greek,4963,girl
Petronila,NA,NA,girl
Pety,NA,NA,girl
Petula,Latin,9940,girl
Petulah,Latin,NA,girl
Petronija,Greek,NA,girl
Phadra,Greek,11938,girl
Petunia,NA,NA,girl
Phaedre,Greek,NA,girl
Phalisha,Latin,NA,girl
Phaedra,Greek,5474,girl
Phalicia,Latin,11938,girl
Phaidra,Greek,8584,girl
Phanie,Greek,NA,girl
Pheabe,Greek,NA,girl
Pheby,Greek,5758,girl
Phanya,Greek,NA,girl
Pheba,NA,NA,girl
Phebe,Greek,5296,girl
Phelia,Greek,NA,girl
Pheakkley,NA,NA,girl
Phelicia,Latin,11944,girl
Phedre,Greek,NA,girl
Phedra,Greek,10894,girl
Pheodora,Russian,NA,girl
Philanthia,Greek,NA,girl
Phenice,Greek,NA,girl
Phemia,Greek,NA,girl
Philantha,Greek,NA,girl
Philadelphia,Greek,11957,girl
Phemie,Greek,NA,girl
Philberta,German,NA,girl
Philena,Greek,12207,girl
Philana,Greek,11567,girl
Phila,Greek,6890,girl
Philanthie,Greek,NA,girl
Philiberta,German,NA,girl
Philens,NA,NA,girl
Philina,Greek,11704,girl
Philia,Greek,NA,girl
Philene,Greek,6864,girl
Philberthe,German,NA,girl
Philette,Greek,NA,girl
Philicia,American,11998,girl
Philipa,Greek,NA,girl
Philippa,Greek,3457,girl
Philippina,NA,NA,girl
Philis,Greek,9142,girl
Phillina,Greek,6992,girl
Philippine,Greek,5816,girl
Phillipa,Greek,10959,girl
Phillane,Greek,NA,girl
Phillida,Greek,NA,girl
Philline,Greek,NA,girl
Phillie,Greek,NA,girl
Phillipina,Greek,NA,girl
Phillothea,Greek,NA,girl
Phillira,Greek,NA,girl
Philomena,Greek,3081,girl
Phillippa,NA,NA,girl
Philomella,Greek,NA,girl
Philomela,Greek,NA,girl
Phillis,Greek,10258,girl
Philomeen,NA,NA,girl
Philomene,Greek,7442,girl
Phoebe,Greek,639,girl
Philomina,Greek,10178,girl
Philyra,Greek,NA,girl
Phoeboe,Greek,NA,girl
Phillyda,Greek,NA,girl
Philopena,Greek,NA,girl
Philotheia,Greek,NA,girl
Phillyra,Greek,NA,girl
Philys,Greek,NA,girl
Phung,NA,NA,girl
Phoebey,Greek,NA,girl
Philothea,Greek,NA,girl
Phylecia,NA,NA,girl
Phuong,NA,NA,girl
Phylis,Greek,10725,girl
Phyllicia,Latin,12043,girl
Phyllis,Greek,6472,girl
Phylicia,American,10959,girl
Phyllida,Greek,NA,girl
Phyllisha,Latin,11957,girl
Phyllie,Greek,NA,girl
Phylliss,Greek,8257,girl
Pia,Latin,2872,girl
Pien,NA,NA,girl
Phyliss,Greek,9644,girl
Phyllys,Greek,6400,girl
Piera,Greek,11710,girl
Piedad,Spanish,12335,girl
Picabo,American,12043,girl
Pierrette,Greek,10287,girl
Pier,Greek,11480,girl
Pierina,French,11696,girl
Pierette,French,6864,girl
Pinkie,NA,NA,girl
Pipere,British,NA,girl
Pilar,Spanish,4562,girl
Pippa,Greek,2933,girl
Pietra,Greek,8238,girl
Pippy,Greek,NA,girl
Pippie,Greek,NA,girl
Piroska,NA,NA,girl
Ping,NA,NA,girl
Pima,NA,NA,girl
Placida,Latin,7019,girl
Pingjarje,NA,NA,girl
Plasida,Latin,NA,girl
Pleasance,French,NA,girl
Placidia,Latin,NA,girl
Pnina,Hebrew,11948,girl
Pita,NA,NA,girl
Pok,NA,NA,girl
Pleiade,Greek,NA,girl
Pocahontas,Native American,11480,girl
Pola,Arabic,7491,girl
Poli,Arabic,NA,girl
Polley,Irish,6331,girl
Polina,Latin,3482,girl
Pollee,Irish,NA,girl
Pollyanna,NA,NA,girl
Pomona,Latin,NA,girl
Pollie,Latin,11113,girl
Polli,Irish,7206,girl
Polline,Latin,NA,girl
Pooja,NA,NA,girl
Poppy,Latin,1316,girl
Polly,Latin,4181,girl
Porchai,NA,NA,girl
Porchia,NA,NA,girl
Porcha,NA,NA,girl
Poni,NA,NA,girl
Porscha,NA,NA,girl
Porche,NA,NA,girl
Porschecia,NA,NA,girl
Porchusa,NA,NA,girl
Porchare,NA,NA,girl
Porschea,NA,NA,girl
Porcsha,NA,NA,girl
Porsche,NA,NA,girl
Porschia,NA,NA,girl
Porcshe,NA,NA,girl
Porchsa,NA,NA,girl
Porschee,NA,NA,girl
Porshai,NA,NA,girl
Porshe,NA,NA,girl
Porsha,German,7491,girl
Porsia,NA,NA,girl
Porshia,NA,NA,girl
Portiea,NA,NA,girl
Portia,Latin,5560,girl
Porshay,NA,NA,girl
Pragyata,NA,NA,girl
Pourche,NA,NA,girl
Posey,NA,NA,girl
Pracilla,Latin,11911,girl
Praise,NA,NA,girl
Prairie,NA,NA,girl
Precilla,Latin,11262,girl
Precia,Latin,NA,girl
Pratibha,NA,NA,girl
Premlata,NA,NA,girl
Prarthana,NA,NA,girl
Preciosa,Latin,11132,girl
Prema,NA,NA,girl
Presencia,NA,NA,girl
Precious,Latin,2775,girl
Prescill,Latin,NA,girl
Pride,NA,NA,girl
Pricilla,Latin,7979,girl
Primalia,Latin,NA,girl
Priela,Hebrew,NA,girl
Prima,Latin,10178,girl
Prescilla,Latin,10507,girl
Pricila,Latin,10178,girl
Primavera,Italian,11142,girl
Priella,Hebrew,11710,girl
Primrose,British,3890,girl
Primarosa,British,NA,girl
Primorosa,British,NA,girl
Primetta,Latin,NA,girl
Primula,British,NA,girl
Priminia,Latin,NA,girl
Primina,Latin,NA,girl
Princess,British,1342,girl
Princella,British,12207,girl
Princessa,British,10959,girl
Princesse,British,NA,girl
Priscila,Latin,3246,girl
Princesa,British,10258,girl
Principessa,British,NA,girl
Prisca,Latin,7281,girl
Priscella,Latin,11480,girl
Priscilla,Latin,889,girl
Prisciliana,Latin,NA,girl
Priscille,NA,NA,girl
Priscill,NA,NA,girl
Pris,Latin,NA,girl
Prisila,Latin,10778,girl
Prism,NA,NA,girl
Prisella,NA,NA,girl
Priscylla,Latin,11696,girl
Prissy,Latin,8073,girl
Providence,NA,NA,girl
Prissie,Latin,NA,girl
Prisilla,Latin,11599,girl
Pru,Latin,NA,girl
Properzia,NA,NA,girl
Priya,NA,NA,girl
Priyanka,NA,NA,girl
Prudie,Latin,6402,girl
Providencia,NA,NA,girl
Provence,NA,NA,girl
Prunella,Latin,NA,girl
Prudy,Latin,7750,girl
Prudence,Latin,3346,girl
Prysilla,Latin,11426,girl
Prudencia,Latin,5533,girl
Prunelle,Latin,NA,girl
Ptaysanwee,NA,NA,girl
Psyche,Greek,NA,girl
Prue,Latin,10959,girl
Pura,NA,NA,girl
Publia,NA,NA,girl
Pua,NA,NA,girl
Pualani,NA,NA,girl
Puanani,NA,NA,girl
Purnima,NA,NA,girl
Purity,British,7069,girl
Pureza,British,NA,girl
