NAME,ORIGIN,POPULARITY,sex
Sabha,NA,NA,girl
Sabreena,Celtic,10778,girl
Saara,NA,NA,girl
Sabriyya,NA,NA,girl
Sabiny,Latin,NA,girl
Sabilla,Greek,NA,girl
Sabrin,NA,NA,girl
Sabah,Hebrew,7979,girl
Sabena,NA,NA,girl
Sabrene,Celtic,NA,girl
Saada,NA,NA,girl
Sabetha,British,NA,girl
Saba,Greek,5141,girl
Sabeen,NA,NA,girl
Sabrette,NA,NA,girl
Sabrah,NA,NA,girl
Sabra,Hebrew,10778,girl
Sabella,Latin,3266,girl
Sabrena,Celtic,11599,girl
Sabrinia,NA,NA,girl
Sabine,Latin,3432,girl
Sabinna,Latin,NA,girl
Sabira,NA,NA,girl
Sabrinah,NA,NA,girl
Sabelle,Latin,11710,girl
Sabriya,NA,NA,girl
Sabreen,Celtic,6215,girl
Sabrinna,Celtic,10969,girl
Sabina,Latin,2853,girl
Sabryn,NA,NA,girl
Sabrina,Celtic,727,girl
Sabrine,NA,NA,girl
Sabylla,Greek,NA,girl
Sabryna,Celtic,9697,girl
Sabyna,Latin,NA,girl
Sacoya,Native American,11704,girl
Sachi,Japanese,7281,girl
Sachiko,Japanese,10873,girl
Sacilia,Welsh,NA,girl
Sacajawea,NA,NA,girl
Sadah,NA,NA,girl
Sada,NA,NA,girl
Sadhbh,NA,NA,girl
Sadellia,Hebrew,NA,girl
Sadia,NA,NA,girl
Safinaz,NA,NA,girl
Sade,Nigerian,4282,girl
Sadina,NA,NA,girl
Sadelle,Hebrew,5453,girl
Saffire,NA,NA,girl
Safia,Swahili,4019,girl
Safira,British,7979,girl
Saffi,Greek,NA,girl
Sadie,Hebrew,160,girl
Saesha,Sanskrit,9256,girl
Safire,NA,NA,girl
Sadee,Hebrew,5758,girl
Sadra,NA,NA,girl
Sadira,Persian,10258,girl
Saffiya,NA,NA,girl
Saffronia,NA,NA,girl
Sadye,Hebrew,8238,girl
Sadella,Hebrew,NA,girl
Safya,NA,NA,girl
Safiyya,NA,NA,girl
Safiya,African,3178,girl
Sadona,NA,NA,girl
Safiyah,Swahili,5296,girl
Saga,NA,NA,girl
Sagara,Indian,NA,girl
Sahara,Arabic,2915,girl
Sahbina,Latin,NA,girl
Saharah,Arabic,11696,girl
Saharra,Arabic,10367,girl
Sahndra,British,NA,girl
Sahra,Arabic,6623,girl
Sahlma,Hebrew,NA,girl
Saidey,NA,NA,girl
Sahie,NA,NA,girl
Saida,Arabic,6913,girl
Saidee,Hebrew,7979,girl
Saibh,NA,NA,girl
Saidie,NA,NA,girl
Saisha,Sanskrit,5296,girl
Saira,Hebrew,3220,girl
Sakura,Japanese,3848,girl
Salamasina,Hawaiian,12473,girl
Salamanca,French,NA,girl
Sala,NA,NA,girl
Saletta,British,NA,girl
Saleema,Arabic,10778,girl
Sairah,Hebrew,9852,girl
Salha,NA,NA,girl
Salena,Indian,5988,girl
Saleemah,Arabic,10536,girl
Salee,NA,NA,girl
Saleena,Indian,7069,girl
Salima,Hebrew,9697,girl
Sallama,Arabic,NA,girl
Salimah,Arabic,10367,girl
