NAME,ORIGIN,POPULARITY,sex
Ubalda,NA,NA,girl
Ubelia,Greek,NA,girl
Udelia,Hebrew,6351,girl
Ubertina,German,NA,girl
Ugetta,German,NA,girl
Uberta,Italian,NA,girl
Udella,British,5816,girl
Udile,German,NA,girl
Udele,British,NA,girl
Uda,British,5452,girl
Uhlrike,German,NA,girl
Uberrta,Italian,NA,girl
Ulli,Scandinavian,NA,girl
Udilia,Hebrew,NA,girl
Ubertha,Italian,NA,girl
Uleema,Arabic,NA,girl
Ulka,German,NA,girl
Ulima,Arabic,NA,girl
Ullricka,German,NA,girl
Ulla,Norse,11599,girl
Uchenna,NA,NA,girl
Ulani,Hawaiian,6339,girl
Uira,Arabic,NA,girl
Ujila,NA,NA,girl
Ullima,Arabic,NA,girl
Udelle,British,NA,girl
Ulltima,Latin,NA,girl
Ulrica,German,10287,girl
Ula,Spanish,9697,girl
Ullrica,German,NA,girl
Ujvala,NA,NA,girl
Ulissa,Latin,12503,girl
Ulrike,German,8257,girl
Ulrika,Scandinavian,7293,girl
Ulryka,NA,NA,girl
Ulva,German,5427,girl
Ultimata,Latin,NA,girl
Ulyssa,Latin,10778,girl
Umeeka,NA,NA,girl
Umayma,NA,NA,girl
Uma,Sanskrit,3598,girl
Ululani,NA,NA,girl
Umberta,NA,NA,girl
Umali,NA,NA,girl
Umeko,NA,NA,girl
Ultima,Latin,NA,girl
Umnia,Arabic,NA,girl
Unagh,NA,NA,girl
Umniya,Arabic,NA,girl
Una,Latin,3848,girl
Undene,Latin,NA,girl
Uniss,Greek,NA,girl
Uniqua,Latin,11262,girl
Umniyah,Arabic,NA,girl
Undina,Latin,NA,girl
Unice,Greek,10894,girl
Umniah,Arabic,NA,girl
Undine,Latin,4963,girl
Undeen,Latin,NA,girl
Unitey,British,NA,girl
Unite,British,NA,girl
Unique,Latin,2609,girl
Unita,British,9514,girl
Unity,British,5474,girl
Unna,NA,NA,girl
Urainia,Greek,NA,girl
Upala,NA,NA,girl
Uraniya,Greek,NA,girl
Urania,Greek,12106,girl
Urena,Hebrew,8444,girl
Uriela,Hebrew,NA,girl
Urbanna,Latin,NA,girl
Uranja,NA,NA,girl
Ursie,Scandinavian,NA,girl
Uriyella,Hebrew,NA,girl
Urith,Hebrew,5452,girl
Uriella,Hebrew,NA,girl
Urit,Hebrew,NA,girl
Uranya,Greek,NA,girl
Ursley,Scandinavian,NA,girl
Urina,Hebrew,9074,girl
Ursa,Scandinavian,10778,girl
Ursala,Scandinavian,10866,girl
Ursy,Scandinavian,NA,girl
Urselina,Scandinavian,NA,girl
Urbana,Latin,5632,girl
Ursella,Scandinavian,NA,girl
Ursulina,Scandinavian,NA,girl
Ursula,Scandinavian,5560,girl
Ursola,Scandinavian,NA,girl
Ursulette,Scandinavian,NA,girl
Urszuli,Scandinavian,NA,girl
Urszula,Scandinavian,8073,girl
Usha,Sanskrit,11710,girl
Uriya,Hebrew,NA,girl
Ursule,Scandinavian,2359,girl
Ursuline,Scandinavian,5959,girl
Ushmil,NA,NA,girl
Ut,NA,NA,girl
Uta,German,9142,girl
Uulrica,German,NA,girl
Utte,NA,NA,girl
Ute,NA,NA,girl
Uvelia,Greek,NA,girl
