NAME,ORIGIN,POPULARITY,sex
Wahnita,Spanish,5758,girl
Wahnna,Spanish,NA,girl
Wai,NA,NA,girl
Wachiwi,NA,NA,girl
Waldette,German,NA,girl
Walentya,NA,NA,girl
Walberga,German,NA,girl
Wahiba,NA,NA,girl
Walburga,German,5796,girl
Wafiyya,NA,NA,girl
Waldina,German,NA,girl
Walkiria,German,12000,girl
Walida,NA,NA,girl
Wajiha,NA,NA,girl
Wan,NA,NA,girl
Walliss,NA,NA,girl
Wallda,German,NA,girl
Walteena,NA,NA,girl
Walda,German,7154,girl
Wana'ao,NA,NA,girl
Wahnda,Slavic,NA,girl
Waltraud,NA,NA,girl
Waltina,Latin,7667,girl
Walpurgis,German,NA,girl
Wallker,British,NA,girl
Wafa,NA,NA,girl
Wandie,Slavic,NA,girl
Waltrina,German,NA,girl
Wallys,NA,NA,girl
Wanda,Slavic,5474,girl
Wandah,Slavic,NA,girl
Wallburga,German,NA,girl
Waldena,German,5854,girl
Wandis,Slavic,NA,girl
Wandy,Slavic,11938,girl
Walless,NA,NA,girl
Waneeta,Spanish,4957,girl
Walterine,NA,NA,girl
Waneta,British,12335,girl
Wanetta,British,9181,girl
Wannda,Slavic,NA,girl
Wanna,Spanish,7229,girl
Wanette,British,9142,girl
Wanona,NA,NA,girl
Warna,German,6331,girl
Waseme,NA,NA,girl
Wanita,Spanish,9865,girl
Warda,German,8872,girl
Weayaya,NA,NA,girl
Washta,NA,NA,girl
Wei,NA,NA,girl
Wendaline,Slavic,NA,girl
Wardine,German,6400,girl
Wardia,German,NA,girl
Wehinahpay,NA,NA,girl
Waverly,British,1816,girl
Wenda,Slavic,10614,girl
Wava,Slavic,9660,girl
Wen,NA,NA,girl
Welcome,NA,NA,girl
Wednesday,NA,NA,girl
Wendalyn,NA,NA,girl
Wealthy,NA,NA,girl
Wendee,Welsh,12000,girl
Weeko,NA,NA,girl
Welda,German,5897,girl
Wendelle,German,NA,girl
Wende,NA,NA,girl
Wendelline,NA,NA,girl
Wendey,British,6637,girl
Wellda,German,NA,girl
Wendi,Welsh,10178,girl
Wendeline,Slavic,7019,girl
Wendolyn,NA,NA,girl
Wendie,Welsh,11262,girl
Wendy,British,1464,girl
Wenona,Native American,12335,girl
Weslee,British,4181,girl
Wendye,British,7707,girl
Weronikia,NA,NA,girl
Wesleya,British,NA,girl
Wenonah,Native American,11938,girl
Whisper,NA,NA,girl
Whitelea,British,NA,girl
Whitni,British,12335,girl
Weslia,British,NA,girl
Weslie,British,6339,girl
Whitlea,British,NA,girl
Whitny,British,11155,girl
Whitnie,British,11704,girl
Whitnea,British,NA,girl
Whitneigh,British,NA,girl
Whittaney,British,NA,girl
Whiteney,British,NA,girl
Whittley,British,11599,girl
Whittany,British,10685,girl
Whittnie,British,11683,girl
Whitnee,British,9266,girl
Whittney,British,10378,girl
Whitteny,NA,NA,girl
Wienne,NA,NA,girl
Wibeke,German,NA,girl
Wicahpi,NA,NA,girl
WicahpiWakan,NA,NA,girl
Wiebke,German,NA,girl
Wihakayda,NA,NA,girl
Whoopi,NA,NA,girl
WicahpiIsnala,NA,NA,girl
Wilda,German,9723,girl
Widad,NA,NA,girl
Wiktoria,NA,NA,girl
Wilfreda,British,5367,girl
Wilfrieda,NA,NA,girl
Wilhelmina,German,2741,girl
Wilfridda,NA,NA,girl
Wilhelmine,German,5320,girl
Wilhemina,NA,NA,girl
Wilhelmi,NA,NA,girl
Wilhamina,NA,NA,girl
Willa,German,872,girl
Willene,German,9514,girl
Willamine,German,NA,girl
Willabelle,German,5595,girl
Willetta,German,11948,girl
Willda,German,NA,girl
Willeen,German,9142,girl
Willamina,German,5875,girl
Willemina,German,10178,girl
Willia,NA,NA,girl
Williamina,German,4768,girl
Willena,NA,NA,girl
Willmine,German,NA,girl
Willabella,German,NA,girl
Willette,German,12272,girl
Willma,German,7060,girl
Willmina,German,NA,girl
Williebelle,German,NA,girl
Williemae,NA,NA,girl
Willow,British,237,girl
Wilma,German,6472,girl
Willodean,NA,NA,girl
Willybella,German,NA,girl
Wilmina,German,5688,girl
Wilmotina,British,NA,girl
Wilna,German,7338,girl
Wilone,British,NA,girl
Wilmette,German,NA,girl
Winafred,Welsh,5390,girl
Wilona,British,7305,girl
Wina,Welsh,7070,girl
Windy,British,10778,girl
Winefride,Welsh,NA,girl
Winefred,Welsh,6400,girl
Winefriede,NA,NA,girl
Winefried,Welsh,NA,girl
Winifrid,NA,NA,girl
Winifreda,NA,NA,girl
Winifryd,Welsh,NA,girl
Winne,Welsh,NA,girl
Winfreda,Welsh,NA,girl
Winifride,NA,NA,girl
Winifred,Welsh,2396,girl
Winney,NA,NA,girl
Winifrede,NA,NA,girl
Winiefrida,NA,NA,girl
Winfrieda,Welsh,NA,girl
Winnefred,NA,NA,girl
Winny,Welsh,11843,girl
Winifryde,NA,NA,girl
Winniefred,NA,NA,girl
Winnafred,NA,NA,girl
Winoena,Native American,NA,girl
Winnifrid,NA,NA,girl
Winnifred,Welsh,5660,girl
Winonna,Native American,NA,girl
Winnona,Native American,8370,girl
Winonah,Native American,4830,girl
Winsome,British,12000,girl
Winola,German,5406,girl
Winstelle,NA,NA,girl
Winstella,NA,NA,girl
Winona,Native American,3654,girl
Wioletta,NA,NA,girl
Wintar,British,NA,girl
Wisdom,British,3201,girl
Wioleta,NA,NA,girl
Witashnah,NA,NA,girl
Wistaria,NA,NA,girl
