NAME,ORIGIN,POPULARITY,sex
Xanthia,Greek,11847,girl
Xantha,Greek,NA,girl
Xanthe,Greek,10778,girl
Xandria,Greek,6623,girl
Xamira,NA,NA,girl
Xanthippe,NA,NA,girl
Xandra,Greek,8238,girl
Xavia,Basque,7729,girl
Xena,Greek,2788,girl
Xavyera,Basque,NA,girl
Xeenia,Greek,NA,girl
Xylina,Greek,10969,girl
Xinia,NA,NA,girl
Xylia,Greek,7491,girl
Xylona,Greek,NA,girl
Ximena,Spanish,281,girl
Xochitl,NA,NA,girl
Xiao,NA,NA,girl
Xiomara,Greek,1700,girl
Xaviera,Basque,9697,girl
Xyla,Greek,3712,girl
Xavienna,Basque,NA,girl
Xeni,NA,NA,girl
Xenia,Greek,4063,girl
Xuxa,Latin,11878,girl
