NAME,ORIGIN,POPULARITY,sex
Yabelle,French,NA,girl
Ya,NA,NA,girl
Yabella,French,NA,girl
Yaa,NA,NA,girl
Yahaira,NA,NA,girl
Yabell,French,NA,girl
Yadira,NA,NA,girl
Yakira,Hebrew,7069,girl
Yaffah,Hebrew,NA,girl
Yacintha,Italian,NA,girl
Yacinta,Italian,NA,girl
Yafa,NA,NA,girl
Yancee,NA,NA,girl
Yaira,Hebrew,7281,girl
Yajaira,NA,NA,girl
Yaasmin,NA,NA,girl
Yamuna,NA,NA,girl
Yalonda,Spanish,9790,girl
Yahaloma,Hebrew,NA,girl
Yaeko,NA,NA,girl
Yamila,NA,NA,girl
Yamini,NA,NA,girl
Yaffa,Hebrew,8009,girl
Yan,NA,NA,girl
Yalinda,Spanish,NA,girl
Yamina,Arabic,8537,girl
Yalena,Russian,7491,girl
Yalanda,NA,NA,girl
Yafit,NA,NA,girl
Yana,Hebrew,3178,girl
Yanae,NA,NA,girl
Yaminah,Arabic,9256,girl
Yancie,NA,NA,girl
Yanick,Hebrew,10178,girl
Yanina,NA,NA,girl
Yanik,NA,NA,girl
Yanet,NA,NA,girl
Yanira,NA,NA,girl
Yaneth,NA,NA,girl
Yanisha,Danish,10293,girl
Yannina,NA,NA,girl
Yanna,Hebrew,7069,girl
Yanixia,NA,NA,girl
Yannica,NA,NA,girl
Yardena,NA,NA,girl
Yarona,Hebrew,NA,girl
Yanitza,NA,NA,girl
Yarmilla,Slavic,NA,girl
Yanis,NA,NA,girl
Yarina,Russian,NA,girl
Yasenia,Spanish,10969,girl
Yashmine,NA,NA,girl
Yashna,NA,NA,girl
Yaryna,Russian,NA,girl
Yasemin,NA,NA,girl
Yasimine,NA,NA,girl
Yasamin,Persian,10873,girl
Yasiman,Persian,NA,girl
Yashodhana,NA,NA,girl
Yasma,NA,NA,girl
Yashila,NA,NA,girl
Yashodhara,NA,NA,girl
Yashwina,NA,NA,girl
Yasmain,NA,NA,girl
Yasmaine,NA,NA,girl
Yasmeena,Persian,9986,girl
Yasmeen,Persian,3065,girl
Yasmena,Persian,NA,girl
Yasminda,Persian,9528,girl
Yasmene,Persian,11455,girl
Yasmon,NA,NA,girl
Yasmina,Persian,3982,girl
Yawa,NA,NA,girl
Yasmine,Persian,2224,girl
Yasminia,Persian,NA,girl
Yasmin,Persian,1569,girl
Yasmyn,NA,NA,girl
Yasuko,NA,NA,girl
Yazmean,NA,NA,girl
Yazenia,Spanish,NA,girl
Yazmeen,NA,NA,girl
Yazmine,NA,NA,girl
Yazmin,Persian,2097,girl
Yazmen,NA,NA,girl
Yee,NA,NA,girl
Yazmina,NA,NA,girl
Yekaterin,Greek,NA,girl
Yekara,Hebrew,NA,girl
Yeesha,NA,NA,girl
Yehudith,NA,NA,girl
Yeira,Hebrew,8905,girl
Yelena,Russian,3982,girl
Yekaterina,Russian,10959,girl
Yeline,NA,NA,girl
Yelisabeta,Russian,NA,girl
Yelisaveta,NA,NA,girl
Yelisabetta,Russian,NA,girl
Yelizabet,Russian,NA,girl
Yerina,Russian,NA,girl
Yer,NA,NA,girl
Yelizavetha,Russian,NA,girl
Yenta,NA,NA,girl
Yemina,Arabic,NA,girl
Yemima,NA,NA,girl
Yesmean,NA,NA,girl
Yesmyn,NA,NA,girl
Yeruscha,NA,NA,girl
Yesemia,Spanish,9115,girl
Yesseca,NA,NA,girl
Yesmeen,NA,NA,girl
Yerusha,Hebrew,NA,girl
Yesmin,NA,NA,girl
Yesenia,Spanish,2074,girl
Yesmine,NA,NA,girl
Yessica,Hebrew,5660,girl
Yesmina,NA,NA,girl
Yette,British,NA,girl
Yessenia,Spanish,4063,girl
Yessika,NA,NA,girl
Yessenya,Spanish,11896,girl
Yet,NA,NA,girl
Yevette,German,12179,girl
Yetta,British,11451,girl
Yevka,Russian,NA,girl
Yetunde,NA,NA,girl
Yeva,Russian,6339,girl
Yettie,German,NA,girl
Yiesha,Arabic,11155,girl
Ygraine,British,NA,girl
Ygerna,NA,NA,girl
Yieshah,Arabic,NA,girl
Ying,NA,NA,girl
Yifat,NA,NA,girl
Yionna,Hungarian,NA,girl
Ymelda,Italian,10725,girl
Yllona,Hungarian,NA,girl
Ylonda,NA,NA,girl
Yna,NA,NA,girl
Ylisabet,Hebrew,NA,girl
Ynez,Spanish,11480,girl
Ylva,NA,NA,girl
Ylisabette,Hebrew,NA,girl
Yoana,Hebrew,7281,girl
Yocheved,NA,NA,girl
Yoanna,Hebrew,10178,girl
Ynes,Spanish,11451,girl
Yocasta,NA,NA,girl
Ynocencia,Spanish,NA,girl
Ynesita,Spanish,NA,girl
Yochana,NA,NA,girl
Yoannah,Hebrew,NA,girl
Yoanah,Hebrew,NA,girl
Yoconda,Spanish,NA,girl
Yoi,NA,NA,girl
Yoela,NA,NA,girl
Yohanna,Hebrew,4936,girl
Yokheved,NA,NA,girl
Yoko,Japanese,11480,girl
Yolaine,NA,NA,girl
Yolanda,Spanish,2958,girl
Yolaiza,Spanish,NA,girl
Yola,Spanish,9644,girl
Yolande,Spanish,11944,girl
Yolando,NA,NA,girl
Yoland,Spanish,11424,girl
Yollande,Spanish,NA,girl
Yolette,Spanish,10668,girl
