NAME,ORIGIN,POPULARITY,sex
Zafira,NA,NA,girl
Zachavah,Hebrew,NA,girl
Zachava,Hebrew,NA,girl
Zacharina,NA,NA,girl
Zada,Arabic,4327,girl
Zadie,Arabic,2181,girl
Zahira,Arabic,5062,girl
Zahna,Greek,12167,girl
Zacqueline,French,NA,girl
Zaharira,Hebrew,NA,girl
Zahara,Hebrew,2217,girl
Zahavah,Hebrew,NA,girl
Zaheera,Arabic,NA,girl
Zakiyya,NA,NA,girl
Zakiah,Hebrew,6215,girl
Zakelina,French,NA,girl
Zabina,NA,NA,girl
Zahndra,Spanish,NA,girl
Zahra,Arabic,1208,girl
Zaida,Arabic,3368,girl
Zagorka,NA,NA,girl
Zailie,NA,NA,girl
Zaira,Arabic,2915,girl
Zabrina,Celtic,7069,girl
Zahrah,Arabic,8238,girl
Zahava,Hebrew,5296,girl
Zakia,Hebrew,7069,girl
Zainab,NA,NA,girl
Zakiya,Hebrew,3949,girl
Zahirah,Arabic,9697,girl
Zakyla,Hebrew,10959,girl
Zaina,Greek,2343,girl
Zandie,Spanish,NA,girl
Zalira,NA,NA,girl
Zalia,NA,NA,girl
Zalika,Swahili,10873,girl
Zanda,Greek,6192,girl
Zana,Greek,5384,girl
Zania,NA,NA,girl
Zaneta,Spanish,8872,girl
Zanndra,Spanish,NA,girl
Zanetta,Spanish,11998,girl
Zandy,Spanish,NA,girl
Zandra,Spanish,10778,girl
Zanita,Spanish,11515,girl
Zanna,Hebrew,6215,girl
Zannie,Hebrew,9065,girl
Zantha,Greek,NA,girl
Zarina,Persian,3598,girl
Zarabeth,NA,NA,girl
Zanne,Hebrew,NA,girl
Zaveeyera,Basque,NA,girl
Zareen,Persian,6472,girl
Zaria,Slavic,1399,girl
Zarah,Hebrew,2676,girl
Zareena,Persian,10778,girl
Zarinda,Arabic,NA,girl
Zaviera,Basque,9277,girl
Zara,Arabic,641,girl
Zary,Arabic,NA,girl
Zayani,NA,NA,girl
Zarita,Hebrew,8057,girl
Zayda,Arabic,2942,girl
Zarria,Arabic,7729,girl
Zayeeda,Arabic,NA,girl
Zarya,Slavic,7729,girl
Zayeera,Arabic,NA,girl
Zaylia,NA,NA,girl
Zayna,Greek,3101,girl
Zaynab,NA,NA,girl
Zbyhneva,NA,NA,girl
Zdenka,NA,NA,girl
Zaynah,Greek,5296,girl
Zayra,Arabic,4936,girl
Zeena,Greek,6753,girl
Zea,Latin,9256,girl
Zdeslava,NA,NA,girl
Zeba,Greek,9025,girl
Zechava,Hebrew,NA,girl
Zeenia,NA,NA,girl
Zeenya,NA,NA,girl
Zeeta,Greek,NA,girl
Zefeera,Greek,NA,girl
Zeeva,Hebrew,8537,girl
Zehavah,Hebrew,NA,girl
Zein,NA,NA,girl
Zehra,NA,NA,girl
Zefiryn,Greek,NA,girl
Zelaina,NA,NA,girl
Zehavit,Hebrew,NA,girl
Zelene,NA,NA,girl
Zelenia,Greek,11113,girl
Zelde,NA,NA,girl
Zeledonia,Greek,NA,girl
Zelda,Yiddish,1231,girl
Zelenya,NA,NA,girl
Zelima,German,NA,girl
Zelia,Latin,6339,girl
Zefarina,Spanish,NA,girl
Zele,NA,NA,girl
Zelie,NA,NA,girl
Zefira,Hebrew,NA,girl
Zelina,NA,NA,girl
Zelinda,NA,NA,girl
Zeline,Latin,4914,girl
Zelmira,NA,NA,girl
Zelmah,German,NA,girl
Zelma,German,8238,girl
Zella,NA,NA,girl
Zenaida,Russian,5062,girl
Zelleana,NA,NA,girl
Zellda,NA,NA,girl
Zenayda,Greek,11696,girl
Zena,Russian,4282,girl
Zenaide,Greek,NA,girl
Zenia,Greek,6108,girl
Zenda,Greek,11944,girl
Zenina,Greek,NA,girl
Zenna,Greek,7979,girl
Zenya,NA,NA,girl
Zenobie,Greek,NA,girl
Zenobia,Greek,4327,girl
Zeppelina,NA,NA,girl
Zerlina,Spanish,10786,girl
Zephirine,Greek,NA,girl
Zephyrine,Greek,NA,girl
Zepharina,Spanish,NA,girl
Zenobja,NA,NA,girl
Zephira,Greek,NA,girl
Zenovia,NA,NA,girl
Zetana,Hebrew,NA,girl
Zephirina,Spanish,NA,girl
Zeta,Hebrew,8872,girl
Zeruiah,NA,NA,girl
Zetta,Hebrew,7491,girl
Zhade,British,NA,girl
Zigana,Hungarian,NA,girl
Zhakelina,French,NA,girl
Zerlinda,Spanish,NA,girl
Zephyra,Greek,10778,girl
Zia,Latin,2343,girl
Zhaqueline,French,NA,girl
Zhane,American,5660,girl
Ziazan,NA,NA,girl
Ziganna,Hungarian,NA,girl
Zilla,Hebrew,5738,girl
Zifira,Hebrew,NA,girl
Zila,Hebrew,10873,girl
Zilpah,Hebrew,1116,girl
Zillah,Hebrew,7069,girl
Zillpha,Hebrew,NA,girl
Zilvia,Latin,NA,girl
Zimra,NA,NA,girl
Zina,Greek,5660,girl
Zilpha,Hebrew,5406,girl
Zinara,Greek,NA,girl
Zinaida,Russian,NA,girl
Zinia,Latin,12335,girl
Zinaide,Russian,NA,girl
Zinovia,NA,NA,girl
Zinya,Latin,NA,girl
Ziporah,Hebrew,11696,girl
Zinnia,Latin,2688,girl
Zipporiah,NA,NA,girl
Zipora,Hebrew,11843,girl
Zinnya,Latin,NA,girl
Zipporah,Hebrew,3543,girl
Ziproh,NA,NA,girl
Zitomira,Slavic,NA,girl
Zita,Greek,7979,girl
Ziva,Hebrew,2586,girl
Zippora,Hebrew,NA,girl
Zivanka,Slavic,NA,girl
Zivah,Hebrew,6753,girl
Zitkalasa,NA,NA,girl
Zizi,Hungarian,11480,girl
Zlata,Slavic,5988,girl
Zivka,Slavic,NA,girl
Zlatina,Slavic,NA,girl
Zoee,Greek,3125,girl
Zlatka,Slavic,NA,girl
Zoelie,Greek,9985,girl
Zoanne,NA,NA,girl
Zoeline,Greek,NA,girl
Zoey,Greek,88,girl
Zoela,Italian,NA,girl
Zoelle,Greek,4063,girl
Zofia,Greek,3178,girl
Zofi,Greek,NA,girl
Zofya,Greek,NA,girl
Zohara,Hebrew,11480,girl
Zolia,Italian,NA,girl
Zoia,Russian,11283,girl
Zohreh,NA,NA,girl
Zohndra,Spanish,NA,girl
Zohra,Arabic,7979,girl
Zondra,Spanish,12503,girl
Zoie,Greek,1516,girl
Zonta,NA,NA,girl
Zoi,NA,NA,girl
Zola,Italian,2052,girl
Zona,Latin,9256,girl
Zonia,Latin,11262,girl
Zolaria,NA,NA,girl
Zooey,Greek,3890,girl
Zonda,NA,NA,girl
Zoila,NA,NA,girl
Zophia,NA,NA,girl
Zoraida,Spanish,9256,girl
Zora,Slavic,2224,girl
Zolynn,NA,NA,girl
Zorah,Slavic,7979,girl
Zorada,NA,NA,girl
Zoreena,NA,NA,girl
Zoraya,Slavic,6339,girl
Zorana,Slavic,9528,girl
Zoreen,Slavic,NA,girl
Zoraide,NA,NA,girl
Zoria,NA,NA,girl
Zorica,Latin,9662,girl
Zorina,Slavic,10778,girl
Zorine,Slavic,NA,girl
Zoriana,NA,NA,girl
Zowie,NA,NA,girl
Zorya,Slavic,12179,girl
ZsaZsa,Hungarian,9697,girl
Zosia,Greek,6753,girl
Zoya,Russian,1870,girl
Zorrah,Slavic,NA,girl
Zoyya,Russian,NA,girl
Zsanine,NA,NA,girl
Zoyenka,Russian,NA,girl
ZsiZsi,Hungarian,NA,girl
Zshakira,Arabic,10428,girl
Zsa Zsa,NA,NA,girl
Zsofia,Hungarian,10778,girl
Zsuzsanna,Hungarian,NA,girl
Zsuzsa,Hungarian,NA,girl
ZsuZsi,NA,NA,girl
Zubah,Hebrew,NA,girl
Zuma,Arabic,5457,girl
Zuleica,Arabic,10178,girl
Zubaida,NA,NA,girl
Zuleika,Arabic,5988,girl
Zulema,Arabic,4936,girl
Zuba,Hebrew,NA,girl
Zula,NA,NA,girl
Zulaica,Arabic,NA,girl
Zuleyma,Arabic,6339,girl
Zulima,Arabic,NA,girl
Zulma,Arabic,9256,girl
Zuleima,Arabic,8872,girl
Zuwena,NA,NA,girl
Zuraide,Spanish,NA,girl
Zureidy,Spanish,NA,girl
Zuri,NA,NA,girl
Zuzita,NA,NA,girl
Zuzana,NA,NA,girl
Zvezdana,NA,NA,girl
Zureida,Spanish,NA,girl
Zyna,Greek,NA,girl
Zuzanna,NA,NA,girl
Zylpha,Hebrew,5959,girl
Zylia,Hebrew,9865,girl
Zylvia,Latin,NA,girl
Zylina,Greek,NA,girl
Zyta,Greek,NA,girl
